time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/n_updates,train/std,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/loss,eval/mean_reward,eval/mean_ep_length
163,1,1200.0,4288.931958,12,2048,,,,,,,,,,,,,
159,2,1200.0,4297.9294273333335,25,4096,0.10795953,2592.928263092041,10,1.0002031326293945,-283.8886417388916,0.010038608408649452,0.687841796875,-0.0014255046844482422,0.2,0.0003,1066.0118408203125,,
,,,,,6000,0.058619685,2931.5798248291017,20,1.0008695125579834,-283.87486028671265,-0.01653404929675162,0.566796875,0.0,0.2,0.0003,1315.3016357421875,4380.8311133384705,1200.0
80,3,1200.0,4299.7002916,76,6144,,,,,,,,,,,,,
91,4,1200.0,4298.900403500001,89,8192,0.05194309,2800.485241699219,30,1.0014846324920654,-284.04709606170655,-0.016603153062897037,0.537060546875,1.1920928955078125e-07,0.2,0.0003,1245.3973388671875,,
99,5,1200.0,4293.764428875,102,10240,0.053613897,2720.0506637573244,40,1.0015766620635986,-284.0844162940979,-0.01711817862742464,0.50927734375,0.0,0.2,0.0003,1214.1107177734375,,
,,,,,12000,0.045694932,2569.8028511047364,50,1.0021024942398071,-284.12982950210574,-0.021401853568386288,0.489453125,0.0,0.2,0.0003,1134.086669921875,4773.21484541893,1200.0
92,6,1200.0,4293.048339,132,12288,,,,,,,,,,,,,
98,7,1200.0,4294.499982818182,146,14336,0.056631565,2475.5863349914553,60,1.0014119148254395,-284.106716632843,-0.017103050024888943,0.50078125,0.0,0.2,0.0003,1091.4173583984375,,
102,8,1200.0,4294.989722461539,159,16384,0.039092656,2411.042568588257,70,1.0021233558654785,-284.11973867416384,-0.02126770418835804,0.440478515625,0.0,0.2,0.0003,1074.6336669921875,,
,,,,,18000,0.044805508,2306.1275608062742,80,1.0029360055923462,-284.27825956344606,-0.026900570932775737,0.468603515625,0.0,0.2,0.0003,999.5232543945312,4488.426108121872,1200.0
102,9,1200.0,4295.1979514,179,18432,,,,,,,,,,,,,
106,10,1200.0,4295.80949982353,193,20480,0.045718536,2174.53395690918,90,1.002681851387024,-284.3220607757568,-0.025912309139675925,0.46044921875,-1.1920928955078125e-07,0.2,0.0003,975.1153564453125,,
109,11,1200.0,4295.519241000001,206,22528,0.043315936,2093.161149597168,100,1.0026001930236816,-284.2752326965332,-0.027739341495907864,0.446630859375,-1.1920928955078125e-07,0.2,0.0003,917.2012329101562,,
,,,,,24000,0.038810976,2026.9460048675537,110,1.0027704238891602,-284.29788608551024,-0.025622475116688293,0.43935546875,1.1920928955078125e-07,0.2,0.0003,872.6917114257812,4454.765504360199,1200.0
108,12,1200.0,4296.2223677500015,226,24576,,,,,,,,,,,,,
111,13,1200.0,4296.971294909092,239,26624,0.044896536,1909.232808303833,120,1.0035730600357056,-284.37124996185304,-0.03016197276156163,0.4296875,0.0,0.2,0.0003,860.2740478515625,,
