time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/loss,train/std,train/n_updates,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate
116640,1200.0,4491.208288,,,,,,,,,,,,,,,,
117488,,,1200.0,25,80,4315.4140126249995,1,,,,,,,,,,,
117840,1200.0,4596.355123,,,,,,-0.01979694573674351,2.0543943913653493,0.038936082,-283.215940284729,0.6669895052909851,0.998737633228302,570,0.0,0.2,0.360888671875,0.0003
119040,1200.0,4605.104924,,,,,,,,,,,,,,,,
119536,,,1200.0,65,62,4315.799647418367,2,,,,,,,,,,,
120240,1200.0,4580.427097,,,,,,-0.03156698406965006,2.128801463544369,0.04614435,-283.2014933586121,0.7360740303993225,0.9989158511161804,580,5.960464477539063e-08,0.2,0.39560546875,0.0003
121440,1200.0,4601.746676,,,,,,,,,,,,,,,,
121584,,,1200.0,106,57,4316.60036991,3,,,,,,,,,,,
122640,1200.0,4615.848466,,,,,,-0.02786490598518867,2.13563312292099,0.036392286,-283.208195400238,0.5855739116668701,0.9990556836128235,590,-1.1920928955078125e-07,0.2,0.342919921875,0.0003
123632,,,1200.0,137,59,4317.18475706,4,,,,,,,,,,,
123840,1200.0,4606.329342,,,,,,-0.032220769757987,1.5436405532062054,0.035939157,-283.084011554718,0.792647659778595,0.997902512550354,600,0.0,0.2,0.363720703125,0.0003
125040,1200.0,4598.929221,,,,,,,,,,,,,,,,
125680,,,1200.0,174,58,4318.28062515,5,,,,,,,,,,,
126240,1200.0,4524.727629,,,,,,-0.037561074263066985,2.027230727300048,0.038386717,-283.0114043235779,0.6828771233558655,0.9981231689453125,610,0.0,0.2,0.37119140625,0.0003
127440,1200.0,4519.139803,,,,,,,,,,,,,,,,
127728,,,1200.0,210,58,4319.03456701,6,,,,,,,,,,,
128640,1200.0,4509.911309,,,,,,-0.03393315193243325,1.9380985029041766,0.038230196,-283.0888889312744,0.7637858390808105,0.9987488389015198,620,0.0,0.2,0.362646484375,0.0003
129776,,,1200.0,238,60,4319.77692477,7,,,,,,,,,,,
129840,1200.0,4516.576513,,,,,,-0.028922549489652737,1.4072935989126563,0.034821052,-283.0485329627991,0.6341221928596497,0.9979881048202515,630,0.0,0.2,0.3384765625,0.0003
131040,1200.0,4486.791439,,,,,,,,,,,,,,,,
131824,,,1200.0,273,59,4321.32467351,8,,,,,,,,,,,
132240,1200.0,4574.152807,,,,,,-0.03137271299783606,1.1781586648896336,0.034574546,-282.9859899520874,0.666853666305542,0.9980090260505676,640,0.0,0.2,0.373681640625,0.0003
133440,1200.0,4572.893077,,,,,,,,,,,,,,,,
133872,,,1200.0,307,59,4322.861050059999,9,,,,,,,,,,,
134640,1200.0,4686.253192,,,,,,-0.03428362275590189,1.6277506140992046,0.03453567,-282.90468130111697,0.6734021306037903,0.9975849986076355,650,0.0,0.2,0.350439453125,0.0003
135840,1200.0,4660.376098,,,,,,,,,,,,,,,,
135920,,,1200.0,343,59,4324.201292299999,10,,,,,,,,,,,
137040,1200.0,4645.998597,,,,,,-0.03640553861332592,1.562030809558928,0.03239841,-282.89040355682374,0.7348650097846985,0.9977793097496033,660,-1.1920928955078125e-07,0.2,0.358984375,0.0003
137968,,,1200.0,369,60,4324.86468159,11,,,,,,,,,,,
138240,1200.0,4669.198977,,,,,,-0.0364937026402913,1.6420848231762648,0.03488167,-282.8388880729675,0.7958138585090637,0.9972553253173828,670,0.0,0.2,0.35126953125,0.0003
139440,1200.0,4678.032969,,,,,,,,,,,,,,,,
140016,,,1200.0,408,60,4326.153598280001,12,,,,,,,,,,,
140640,1200.0,4749.046271,,,,,,-0.035454968572594225,1.6107405085116624,0.03372966,-282.8956971168518,0.659003734588623,0.998054027557373,680,-1.1920928955078125e-07,0.2,0.3392578125,0.0003
141840,1200.0,4722.657427,,,,,,,,,,,,,,,,
142064,,,1200.0,443,60,4327.469206570001,13,,,,,,,,,,,
143040,1200.0,4714.241768,,,,,,-0.03881869310862385,1.5680433535948395,0.036710575,-282.9872278213501,0.5380914807319641,0.9984856247901917,690,0.0,0.2,0.375146484375,0.0003
144112,,,1200.0,474,60,4328.137640260001,14,,,,,,,,,,,
144240,1200.0,4688.261201,,,,,,-0.0344988208351424,1.4737781273201107,0.033785753,-283.06119718551633,0.5780562162399292,0.9986610412597656,700,0.0,0.2,0.35595703125,0.0003
145440,1200.0,4700.309534,,,,,,,,,,,,,,,,
146160,,,1200.0,508,60,4329.028785749999,15,,,,,,,,,,,
146640,1200.0,4715.952348,,,,,,-0.03861306714243255,1.3261701196432114,0.03537968,-283.0260482788086,0.6122563481330872,0.9983250498771667,710,0.0,0.2,0.3736328125,0.0003
147840,1200.0,4734.658717,,,,,,,,,,,,,,,,
148208,,,1200.0,543,60,4329.92160241,16,,,,,,,,,,,
149040,1200.0,4800.064947,,,,,,-0.03663959241821431,1.7242014653980733,0.03390991,-282.9762296676636,0.7584421634674072,0.9982680082321167,720,-1.1920928955078125e-07,0.2,0.353076171875,0.0003
150240,1200.0,4798.542432,,,,,,,,,,,,,,,,
150256,,,1200.0,577,60,4331.54918162,17,,,,,,,,,,,
151440,1200.0,4776.610947,,,,,,-0.03695736740191933,1.9211264848709106,0.03379621,-282.8714144706726,0.8249635696411133,0.9974848628044128,730,0.0,0.2,0.3658203125,0.0003
152304,,,1200.0,604,61,4332.0482171,18,,,,,,,,,,,
152640,1200.0,4863.70734,,,,,,-0.036993795406306165,1.5069927837699653,0.035733722,-282.9302548408508,0.7207217216491699,0.9984976053237915,740,5.960464477539063e-08,0.2,0.342822265625,0.0003
153840,1200.0,4870.69031,,,,,,,,,,,,,,,,
154352,,,1200.0,637,61,4333.37546172,19,,,,,,,,,,,
155040,1200.0,4929.326612,,,,,,-0.03551483345800079,1.3916911963373422,0.037557468,-282.99446144104,0.6648572683334351,0.9983300566673279,750,0.0,0.2,0.354833984375,0.0003
156240,1200.0,4910.587868,,,,,,,,,,,,,,,,
156400,,,1200.0,671,61,4334.43537188,20,,,,,,,,,,,
157440,1200.0,4956.695811,,,,,,-0.03645127287309151,1.4389804223552347,0.035243046,-282.9778172492981,0.5523702502250671,0.9982689619064331,760,0.0,0.2,0.365380859375,0.0003
158448,,,1200.0,696,61,4335.028638119999,21,,,,,,,,,,,
158640,1200.0,4874.812716,,,,,,-0.03833472344267648,1.6124991750344635,0.036170874,-283.00105104446413,0.7285474538803101,0.9986919164657593,770,0.0,0.2,0.368017578125,0.0003
159840,1200.0,4883.441923,,,,,,,,,,,,,,,,
160496,,,1200.0,729,61,4336.200547799999,22,,,,,,,,,,,
161040,1200.0,5055.732728,,,,,,-0.03264401982887648,1.3955838384106756,0.03802224,-282.93846588134767,0.8640748262405396,0.9980553388595581,780,0.0,0.2,0.36884765625,0.0003
162240,1200.0,5030.007864,,,,,,,,,,,,,,,,
162544,,,1200.0,766,61,4337.37400991,23,,,,,,,,,,,
163440,1200.0,4938.947358,,,,,,-0.031741084525128825,1.5136357443407178,0.034766085,-282.8702815055847,0.712553858757019,0.9978979229927063,790,0.0,0.2,0.355908203125,0.0003
164592,,,1200.0,793,61,4338.17409174,24,,,,,,,,,,,
164640,1200.0,5022.762325,,,,,,-0.0361795749689918,1.4672555305063724,0.03411465,-282.7775170326233,0.7374679446220398,0.997191846370697,800,0.0,0.2,0.35517578125,0.0003
165840,1200.0,5044.107108,,,,,,,,,,,,,,,,
166640,,,1200.0,827,61,4339.04440883,25,,,,,,,,,,,
167040,1200.0,5030.917106,,,,,,-0.03615071060776245,1.2821823514997959,0.03460963,-282.7548376083374,0.5367483496665955,0.9974987506866455,810,0.0,0.2,0.362060546875,0.0003
168240,1200.0,5068.660112,,,,,,,,,,,,,,,,
168688,,,1200.0,862,61,4339.900063540001,26,,,,,,,,,,,
169440,1200.0,5122.333348,,,,,,-0.03766757533885538,1.38310651704669,0.042619813,-282.79987201690676,0.7017809152603149,0.9977741837501526,820,5.960464477539063e-08,0.2,0.369775390625,0.0003
170640,1200.0,5140.84915,,,,,,,,,,,,,,,,
170736,,,1200.0,897,61,4341.564592760001,27,,,,,,,,,,,
171840,1200.0,5006.940831,,,,,,-0.035983321478124705,1.629567689821124,0.035725765,-282.870830821991,0.9338831901550293,0.9980137348175049,830,-1.1920928955078125e-07,0.2,0.36591796875,0.0003
172784,,,1200.0,923,62,4342.05551815,28,,,,,,,,,,,
173040,1200.0,5259.499759,,,,,,-0.035145540388475636,1.4858135307207703,0.034366325,-282.80834465026857,0.5629630088806152,0.9974322319030762,840,0.0,0.2,0.356640625,0.0003
174240,1200.0,5280.201024,,,,,,,,,,,,,,,,
174832,,,1200.0,958,61,4343.98832249,29,,,,,,,,,,,
175440,1200.0,5780.049409,,,,,,-0.03528845117107267,2.235905958339572,0.034875244,-282.73491897583006,0.7042104005813599,0.9975497722625732,850,-1.1920928955078125e-07,0.2,0.345751953125,0.0003
176640,1200.0,5784.034566,,,,,,,,,,,,,,,,
176880,,,1200.0,992,61,4345.850892480001,30,,,,,,,,,,,
177840,1200.0,5416.538631,,,,,,-0.03414391176484059,1.5380746623501182,0.029192295,-282.7276943206787,0.6229699850082397,0.997209906578064,860,0.0,0.2,0.3373046875,0.0003
178928,,,1200.0,1018,62,4346.36394623,31,,,,,,,,,,,
179040,1200.0,5138.491776,,,,,,-0.03728975148987956,1.2655129436403514,0.037444957,-282.7268778800964,0.3975343406200409,0.9975350499153137,870,1.1920928955078125e-07,0.2,0.370166015625,0.0003
180240,1200.0,5123.81884,,,,,,,,,,,,,,,,
180976,,,1200.0,1052,62,4347.84350044,32,,,,,,,,,,,
181440,1200.0,5251.13111,,,,,,-0.03583402837102767,1.3784249814227223,0.03250748,-282.67917890548705,0.5488794445991516,0.9970628619194031,880,0.0,0.2,0.3466796875,0.0003
182640,1200.0,5215.368579,,,,,,,,,,,,,,,,
183024,,,1200.0,1085,62,4348.97363459,33,,,,,,,,,,,
183840,1200.0,5491.570621,,,,,,-0.032968328034621665,1.3459635410457849,0.032211743,-282.53152046203616,0.64740389585495,0.9961128234863281,890,0.0,0.2,0.350830078125,0.0003
185040,1200.0,5480.466659,,,,,,,,,,,,,,,,
185072,,,1200.0,1119,62,4349.9452638,34,,,,,,,,,,,
186240,1200.0,5732.394164,,,,,,-0.037363364375778474,1.3581821905449032,0.037485547,-282.4391262054443,0.609010636806488,0.9960006475448608,900,0.0,0.2,0.36533203125,0.0003
187120,,,1200.0,1145,62,4350.559475810001,35,,,,,,,,,,,
187440,1200.0,5140.637824,,,,,,-0.03561526525008958,1.7731677759438753,0.03355095,-282.4826606750488,0.8736928701400757,0.9963929057121277,910,0.0,0.2,0.3556640625,0.0003
188640,1200.0,5119.681518,,,,,,,,,,,,,,,,
189168,,,1200.0,1179,62,4352.34034517,36,,,,,,,,,,,
189840,1200.0,5313.619553,,,,,,-0.03518260499695316,1.5449689883738755,0.031165823,-282.51396265029905,0.9815650582313538,0.9965221285820007,920,0.0,0.2,0.34892578125,0.0003
191040,1200.0,5326.474132,,,,,,,,,,,,,,,,
191216,,,1200.0,1214,62,4354.02559252,37,,,,,,,,,,,
192240,1200.0,5365.677008,,,,,,-0.03655241492087953,1.3082878973335028,0.03260554,-282.55695991516114,0.5821033716201782,0.9967755079269409,930,0.0,0.2,0.357080078125,0.0003
193264,,,1200.0,1240,62,4354.95126212,38,,,,,,,,,,,
193440,1200.0,7303.027815,,,,,,-0.028791286679916085,1.4643212880939245,0.03240719,-282.6000844955444,0.9330376982688904,0.9972753524780273,940,0.0,0.2,0.346826171875,0.0003
194640,1200.0,7298.673829,,,,,,,,,,,,,,,,
195312,,,1200.0,1275,62,4356.44377488,39,,,,,,,,,,,
195840,1200.0,7366.61915,,,,,,-0.03277908380841836,1.7478346694260836,0.030810677,-282.66952486038207,0.7344569563865662,0.9973344802856445,950,-1.1920928955078125e-07,0.2,0.3583984375,0.0003
197040,1200.0,7368.44936,,,,,,,,,,,,,,,,
