time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/std,train/entropy_loss,train/loss
235440,11862.337831,1200.0,,,,,,,,,,,,,,,,
236288,,,24,1,4385.293892690001,1200.0,85,,,,,,,,,,,
236640,9627.538552,1200.0,,,,,,0.2,2.384185791015625e-07,0.033930168,0.356396484375,-0.03341139026160818,2.198059459775686,1150,0.0003,0.9913314580917358,-281.3435391426086,1.0691630840301514
237840,9615.379294,1200.0,,,,,,,,,,,,,,,,
238336,,,61,2,4387.69757477,1200.0,66,,,,,,,,,,,
239040,9620.507698,1200.0,,,,,,0.2,0.0,0.033525378,0.360009765625,-0.036230006934783884,1.793555827997625,1160,0.0003,0.9910375475883484,-281.31278228759766,0.9487729072570801
240240,9584.950141,1200.0,,,,,,,,,,,,,,,,
240384,,,96,3,4390.14258555,1200.0,63,,,,,,,,,,,
241440,9838.900354,1200.0,,,,,,0.2,5.960464477539063e-08,0.032896042,0.363232421875,-0.035066015469783454,1.8282717814669014,1170,0.0003,0.9907296299934387,-281.23487558364866,1.0692342519760132
242432,,,123,4,4390.75116418,1200.0,66,,,,,,,,,,,
242640,11570.065649,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.032030214,0.357080078125,-0.037633828092657494,1.6531321061775088,1180,0.0003,0.9913147687911987,-281.2678957939148,0.7228177785873413
243840,11543.54598,1200.0,,,,,,,,,,,,,,,,
244480,,,157,5,4392.933956589999,1200.0,65,,,,,,,,,,,
245040,8359.468517,1200.0,,,,,,0.2,0.0,0.03927512,0.385693359375,-0.04250652075279504,1.865269273519516,1190,0.0003,0.9915949106216431,-281.3327854156494,0.709227979183197
246240,8361.178857,1200.0,,,,,,,,,,,,,,,,
246528,,,194,6,4394.86078707,1200.0,63,,,,,,,,,,,
247440,8047.81039,1200.0,,,,,,0.2,0.0,0.032318242,0.33935546875,-0.03516706438385882,1.6904965359717607,1200,0.0003,0.9918745160102844,-281.37765712738036,0.7936073541641235
248576,,,224,7,4395.915956790001,1200.0,63,,,,,,,,,,,
248640,10015.427074,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.039381407,0.379345703125,-0.040453676047036424,1.81022160500288,1210,0.0003,0.9915284514427185,-281.33401584625244,0.8205961585044861
249840,10029.803183,1200.0,,,,,,,,,,,,,,,,
250624,,,259,8,4398.073128970001,1200.0,63,,,,,,,,,,,
251040,10133.79587,1200.0,,,,,,0.2,0.0,0.03765917,0.38154296875,-0.03578277836204506,1.5961491212248802,1220,0.0003,0.9908947348594666,-281.2458975791931,1.1890770196914673
252240,10148.352256,1200.0,,,,,,,,,,,,,,,,
252672,,,295,9,4400.18075339,1200.0,62,,,,,,,,,,,
253440,9233.940089,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.037835523,0.37529296875,-0.03773869445722085,1.6211202193051577,1230,0.0003,0.9907559156417847,-281.13871784210204,0.9576135873794556
254640,9225.967675,1200.0,,,,,,,,,,,,,,,,
254720,,,331,10,4402.201332290001,1200.0,61,,,,,,,,,,,
255840,9992.728517,1200.0,,,,,,0.2,0.0,0.03504204,0.363720703125,-0.03738187038106844,1.88565525226295,1240,0.0003,0.9908428192138672,-281.1409576416016,0.647674560546875
256768,,,359,11,4403.14732988,1200.0,62,,,,,,,,,,,
257040,9835.834847,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.03379401,0.356640625,-0.03463659112167079,1.7136143278330564,1250,0.0003,0.9903409481048584,-281.0862650871277,1.0512676239013672
258240,9812.723711,1200.0,,,,,,,,,,,,,,,,
258816,,,394,12,4405.18108237,1200.0,62,,,,,,,,,,,
259440,11867.760146,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.03397718,0.366650390625,-0.03733388930850197,2.0500712621957065,1260,0.0003,0.9901530742645264,-280.98452482223513,1.391573429107666
260640,11845.202064,1200.0,,,,,,,,,,,,,,,,
260864,,,429,13,4406.8721335,1200.0,62,,,,,,,,,,,
261840,10793.116188,1200.0,,,,,,0.2,0.0,0.034682393,0.34970703125,-0.034821521627600306,1.3978532958775758,1270,0.0003,0.9910070300102234,-281.0881932258606,0.5310908555984497
262912,,,456,14,4407.8320209700005,1200.0,62,,,,,,,,,,,
263040,11477.999069,1200.0,,,,,,0.2,0.0,0.038255587,0.3990234375,-0.04026960183400661,1.831015234440565,1280,0.0003,0.9909608364105225,-281.1462684631348,1.1299018859863281
264240,11397.063878,1200.0,,,,,,,,,,,,,,,,
264960,,,492,15,4409.52226346,1200.0,62,,,,,,,,,,,
265440,12004.20718,1200.0,,,,,,0.2,0.0,0.033953432,0.36103515625,-0.038472117212950255,2.344071891158819,1290,0.0003,0.9902709722518921,-281.06093368530276,1.5925267934799194
266640,11961.996894,1200.0,,,,,,,,,,,,,,,,
267008,,,528,16,4411.94720346,1200.0,62,,,,,,,,,,,
267840,11094.418141,1200.0,,,,,,0.2,0.0,0.034468174,0.354296875,-0.03551083802885842,2.060786012560129,1300,0.0003,0.9908410310745239,-281.0449026107788,1.904173493385315
269040,11071.659774,1200.0,,,,,,,,,,,,,,,,
269056,,,562,17,4414.51648587,1200.0,61,,,,,,,,,,,
