time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_range,train/std,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/loss,train/value_loss,train/clip_fraction
807840,22784.060316,1200.0,,,,,,,,,,,,,,,,
808688,,,1200.0,10480.87779712,26,76,1,,,,,,,,,,,
809040,22849.068863,1200.0,,,,,,1.1920928955078125e-07,-246.8026963710785,3930,0.2,0.8600927591323853,0.036610264,-0.026594284630846232,0.0003,25.378314971923828,58.90357797145843,0.334228515625
810240,22868.521962,1200.0,,,,,,,,,,,,,,,,
810736,,,1200.0,10542.297736150002,62,65,2,,,,,,,,,,,
811440,21073.589879,1200.0,,,,,,0.0,-246.65140509605408,3940,0.2,0.8594004511833191,0.051368386,-0.025485729359206743,0.0003,19.80185317993164,48.14447330236435,0.345166015625
812640,21140.695065,1200.0,,,,,,,,,,,,,,,,
812784,,,1200.0,10602.48080271,99,61,3,,,,,,,,,,,
813840,21246.524278,1200.0,,,,,,0.0,-246.5859658241272,3950,0.2,0.8598976731300354,0.0388635,-0.025069593341322617,0.0003,15.413948059082031,56.005755400657655,0.3650390625
814832,,,1200.0,10634.031670960001,126,64,4,,,,,,,,,,,
815040,22761.083174,1200.0,,,,,,0.0,-246.51222910881043,3960,0.2,0.8590432405471802,0.056863353,-0.024527916364604607,0.0003,26.10416030883789,54.508166432380676,0.423828125
816240,22720.482686,1200.0,,,,,,,,,,,,,,,,
816880,,,1200.0,10694.72974932,162,63,5,,,,,,,,,,,
817440,22541.580845,1200.0,,,,,,0.0,-246.20462923049928,3970,0.2,0.8576747179031372,0.05920661,-0.025556088896701114,0.0003,19.953052520751953,56.40740506052971,0.3875
818640,22549.148902,1200.0,,,,,,,,,,,,,,,,
818928,,,1200.0,10754.81651929,196,62,6,,,,,,,,,,,
819840,23062.870553,1200.0,,,,,,-1.1920928955078125e-07,-245.8832742214203,3980,0.2,0.8567111492156982,0.0602293,-0.02264941844041459,0.0003,19.371397018432617,52.75952295064926,0.401220703125
820976,,,1200.0,10786.023383790001,225,63,7,,,,,,,,,,,
821040,21156.287444,1200.0,,,,,,0.0,-245.4910885810852,3990,0.2,0.8549854755401611,0.05988626,-0.020991521756513976,0.0003,23.313533782958984,52.3982631444931,0.4115234375
822240,21163.788622,1200.0,,,,,,,,,,,,,,,,
823024,,,1200.0,10844.85194815,262,62,8,,,,,,,,,,,
823440,21779.291285,1200.0,,,,,,0.0,-245.08516817092897,4000,0.2,0.8536765575408936,0.048752923,-0.023263931687688456,0.0003,25.10243797302246,49.74183836579323,0.378076171875
824640,21719.739274,1200.0,,,,,,,,,,,,,,,,
825072,,,1200.0,10909.556158690004,299,61,9,,,,,,,,,,,
825840,20163.36739,1200.0,,,,,,0.0,-244.70808100700378,4010,0.2,0.8525713682174683,0.06287763,-0.022970086339046247,0.0003,22.44562530517578,49.82530014514923,0.40244140625
827040,20203.000042,1200.0,,,,,,,,,,,,,,,,
827120,,,1200.0,10972.933297079999,333,61,10,,,,,,,,,,,
828240,20156.64752,1200.0,,,,,,0.0,-244.49003343582154,4020,0.2,0.8517152070999146,0.04536162,-0.026070414879359304,0.0003,17.020727157592773,56.88445214033127,0.37548828125
