time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl,train/std,train/policy_gradient_loss,train/n_updates,train/value_loss
372240,1200.0,16359.831689,,,,,,,,,,,,,,,,
373088,,,6,1200.0,326,1,4520.88769253,,,,,,,,,,,
373440,1200.0,16758.852441,,,,,,0.0003,0.2,-277.35670080184934,0.347900390625,1.4661438465118408,0.0,0.034049064,0.9744439125061035,-0.0345371909221285,1810,2.573254628479481
374640,1200.0,16780.249039,,,,,,,,,,,,,,,,
375136,,,15,1200.0,265,2,4523.647180940001,,,,,,,,,,,
375840,1200.0,15936.661571,,,,,,0.0003,0.2,-277.34972009658816,0.36728515625,0.7414466142654419,0.0,0.03542057,0.9746282696723938,-0.033543919802468736,1820,2.625782410427928
377040,1200.0,15917.168072,,,,,,,,,,,,,,,,
377184,,,24,1200.0,252,3,4527.10191824,,,,,,,,,,,
378240,1200.0,13279.790512,,,,,,0.0003,0.2,-277.2654329299927,0.372509765625,0.9909961819648743,0.0,0.036327608,0.9741946458816528,-0.03753266436542617,1830,2.0375874396413565
379232,,,31,1200.0,262,4,4528.84037725,,,,,,,,,,,
379440,1200.0,12369.022376,,,,,,0.0003,0.2,-277.18072175979614,0.34990234375,1.796900987625122,0.0,0.035835404,0.973660945892334,-0.03343525140662677,1840,2.872629291564226
380640,1200.0,12348.111084,,,,,,,,,,,,,,,,
381280,,,39,1200.0,256,5,4532.90226838,,,,,,,,,,,
381840,1200.0,14970.840353,,,,,,0.0003,0.2,-277.22455921173093,0.35595703125,1.3191044330596924,0.0,0.035466462,0.9743298888206482,-0.03534633863309864,1850,2.866559810936451
383040,1200.0,15023.284837,,,,,,,,,,,,,,,,
383328,,,48,1200.0,251,6,4535.88691648,,,,,,,,,,,
384240,1200.0,14218.395287,,,,,,0.0003,0.2,-277.2767566680908,0.39462890625,1.1254140138626099,-1.1920928955078125e-07,0.037204206,0.9744717478752136,-0.04024619649135275,1860,2.188660567253828
385376,,,55,1200.0,257,7,4537.54559703,,,,,,,,,,,
385440,1200.0,13588.711702,,,,,,0.0003,0.2,-277.2483673095703,0.371630859375,1.3874523639678955,0.0,0.038985338,0.9743887186050415,-0.038085370427870656,1870,2.6530924681574106
386640,1200.0,13589.072663,,,,,,,,,,,,,,,,
387424,,,64,1200.0,253,8,4541.26271625,,,,,,,,,,,
