eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean
180.0,1024,12.373477935791016,,,,,,,,,,,,,,,
180.0,2048,13.679651260375977,,,,,,,,,,,,,,,
180.0,3072,13.676213264465332,0.0003,0.4521484375,0.2,-0.045354135900561234,0.02807195,10,-5.8659550413489345,6.324441909790039,0.0017633438110351562,18.831897054612636,,,,,
180.0,4096,12.963783264160156,,,,,,,,,,,,,,,
180.0,5120,13.310810089111328,0.0003,0.417041015625,0.2,-0.04349610080826096,0.026845707,20,-5.836841045320034,15.194648742675781,0.0,15.603753808140755,,,,,
180.0,6144,13.826358795166016,,,,,,,,,,,,,,,
180.0,7168,13.632976531982422,0.0003,0.34443359375,0.2,-0.03407168202393222,0.020747755,30,-5.812481506168842,10.746973991394043,5.960464477539063e-08,14.888226720690728,,,,,
180.0,8192,13.115684509277344,,,,,,,,,,,,,,,
180.0,9216,13.89617919921875,0.0003,0.374560546875,0.2,-0.03896048058377346,0.020882867,40,-5.777803835272789,8.406946182250977,0.0,15.195214299857616,,,,,
180.0,10240,13.814252853393555,,,,,,,,,,,,,,,
180.0,11264,13.672014236450195,0.0003,0.376171875,0.2,-0.040531068517884704,0.02323794,50,-5.7480177789926525,12.563179016113281,-1.3113021850585938e-06,13.42088998556137,,,,,
180.0,12288,13.080172538757324,,,,,,,,,,,,,,,
180.0,13312,13.272701263427734,0.0003,0.3501953125,0.2,-0.03630980950401863,0.021464514,60,-5.726018330454826,11.982948303222656,-1.1920928955078125e-07,14.935643875598908,,,,,
180.0,14336,14.051626205444336,,,,,,,,,,,,,,,
180.0,15360,13.026573181152344,0.0003,0.32783203125,0.2,-0.032684559698100205,0.022514593,70,-5.7004683941602705,7.160469055175781,-1.1920928955078125e-07,14.654820102453233,,,,,
180.0,16384,13.026532173156738,,,,,,,,,,,,,,,
180.0,17408,13.931142807006836,0.0003,0.342041015625,0.2,-0.03359813125134679,0.02093032,80,-5.652705438435078,13.909204483032227,0.0,15.460157312452793,,,,,
180.0,18432,13.333497047424316,,,,,,,,,,,,,,,
180.0,19456,14.066064834594727,0.0003,0.384033203125,0.2,-0.039367091657186395,0.024024982,90,-5.621104198694229,2.823518991470337,0.0,13.273232294619083,,,,,
180.0,20480,13.399450302124023,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,463,44,180.0,10,13.42319117
180.0,21504,13.513216018676758,0.0003,0.369091796875,0.2,-0.03753096839500358,0.023106745,100,-5.582985992729664,8.324777603149414,0.0,14.98923663496971,,,,,
180.0,22528,13.708039283752441,,,,,,,,,,,,,,,
180.0,23552,14.20869255065918,0.0003,0.37587890625,0.2,-0.03539749811170623,0.024028422,110,-5.544653007388115,13.446503639221191,0.0,15.258480128645896,,,,,
180.0,24576,14.325697898864746,,,,,,,,,,,,,,,
180.0,25600,13.603425025939941,0.0003,0.37734375,0.2,-0.03657641871541273,0.023539856,120,-5.517677955329418,8.93094539642334,5.960464477539063e-08,14.693755595386028,,,,,
180.0,26624,14.350202560424805,,,,,,,,,,,,,,,
180.0,27648,14.918645858764648,0.0003,0.354736328125,0.2,-0.03503355536086019,0.021299748,130,-5.466566777229309,4.113078594207764,0.0,13.888468328863382,,,,,
180.0,28672,15.261369705200195,,,,,,,,,,,,,,,
180.0,29696,14.555809020996094,0.0003,0.337158203125,0.2,-0.03249984398717061,0.020030111,140,-5.428505712747574,5.6705498695373535,0.0,15.11417908668518,,,,,
180.0,30720,13.882915496826172,,,,,,,,,,,,,,,
180.0,31744,15.286195755004883,0.0003,0.375537109375,0.2,-0.03480919466674095,0.022015516,150,-5.3862463846802715,9.645788192749023,-1.1920928955078125e-07,16.131906244158746,,,,,
180.0,32768,15.382339477539062,,,,,,,,,,,,,,,
180.0,33792,14.826467514038086,0.0003,0.317041015625,0.2,-0.032947512013197414,0.022286972,160,-5.365295995771885,11.939067840576172,-1.1920928955078125e-07,15.376874718070031,,,,,
180.0,34816,13.495550155639648,,,,,,,,,,,,,,,
180.0,35840,14.747385025024414,0.0003,0.35146484375,0.2,-0.03354638479941059,0.021829683,170,-5.344158267974853,6.054762840270996,0.0,14.073224626481533,,,,,
180.0,36864,15.303079605102539,,,,,,,,,,,,,,,
180.0,37888,14.132030487060547,0.0003,0.359423828125,0.2,-0.03479218163556652,0.020823255,180,-5.3059187769889835,3.8053133487701416,0.0,14.434651914983988,,,,,
180.0,38912,15.153759002685547,,,,,,,,,,,,,,,
180.0,39936,14.645683288574219,0.0003,0.317431640625,0.2,-0.029357364805764518,0.020430706,190,-5.2606377571821215,7.553804397583008,0.0,14.552608953416348,,,,,
180.0,40960,16.02122688293457,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,461,88,180.0,20,14.867120830000003
180.0,41984,14.761701583862305,0.0003,0.338134765625,0.2,-0.031034751134575343,0.019713178,200,-5.235813489556312,7.525348663330078,0.0,13.742163057625294,,,,,
180.0,43008,17.604084014892578,,,,,,,,,,,,,,,
180.0,44032,17.00727653503418,0.0003,0.33134765625,0.2,-0.03198489827482263,0.020776216,210,-5.192258194088936,3.0694806575775146,0.0,15.080644726753235,,,,,
180.0,45056,16.4981689453125,,,,,,,,,,,,,,,
180.0,46080,15.717369079589844,0.0003,0.362109375,0.2,-0.0347480344993528,0.020929173,220,-5.128207384049892,12.827140808105469,1.1920928955078125e-07,14.85169977247715,,,,,
180.0,47104,16.71839141845703,,,,,,,,,,,,,,,
180.0,48128,16.314449310302734,0.0003,0.324609375,0.2,-0.030738907256454694,0.02105311,230,-5.1216790452599525,13.093326568603516,-1.1920928955078125e-07,15.205581815540791,,,,,
180.0,49152,16.728044509887695,,,,,,,,,,,,,,,
180.0,50176,16.912641525268555,0.0003,0.346484375,0.2,-0.03175168273301097,0.020949185,240,-5.092511376738548,7.136474132537842,-1.1920928955078125e-07,14.169970886409283,,,,,
180.0,51200,17.30237579345703,,,,,,,,,,,,,,,
180.0,52224,16.437362670898438,0.0003,0.292626953125,0.2,-0.030252807651413603,0.020309068,250,-5.084450894594193,6.786696434020996,0.0,13.692612832784652,,,,,
180.0,53248,16.97787094116211,,,,,,,,,,,,,,,
180.0,54272,15.63040542602539,0.0003,0.319873046875,0.2,-0.029951726281433368,0.019545969,260,-5.081764358282089,6.825080871582031,0.0,14.427419701218605,,,,,
180.0,55296,17.04920768737793,,,,,,,,,,,,,,,
180.0,56320,17.542499542236328,0.0003,0.31845703125,0.2,-0.0323039892653469,0.020891193,270,-5.077659122645855,7.9496355056762695,0.0,16.17298388928175,,,,,
180.0,57344,15.67321491241455,,,,,,,,,,,,,,,
180.0,58368,16.75004768371582,0.0003,0.32451171875,0.2,-0.02867594837443903,0.02024638,280,-5.050873897969723,12.260015487670898,-1.1920928955078125e-07,15.719396814703941,,,,,
180.0,59392,15.499645233154297,,,,,,,,,,,,,,,
180.0,60416,18.434545516967773,0.0003,0.32294921875,0.2,-0.031104574190976564,0.020363357,290,-5.0055070027709005,5.838120460510254,0.0,17.351527255773544,,,,,
180.0,61440,16.284648895263672,,,,,,,,,,,,,,,
,61440,,,,,,,,,,,,460,133,180.0,30,16.013111020000004
180.0,62464,17.045873641967773,0.0003,0.30498046875,0.2,-0.030967434399644844,0.01960093,300,-4.98637008368969,11.228287696838379,0.0,16.225911143422127,,,,,
180.0,63488,17.583498001098633,,,,,,,,,,,,,,,
180.0,64512,18.311153411865234,0.0003,0.33427734375,0.2,-0.03086533107998548,0.020551758,310,-4.927683655917645,4.378349781036377,0.0,16.39798297435045,,,,,
180.0,65536,17.195852279663086,,,,,,,,,,,,,,,
180.0,66560,17.202695846557617,0.0003,0.284130859375,0.2,-0.02703478472394636,0.018735588,320,-4.922158785164356,5.212583541870117,0.0,15.966131149232387,,,,,
180.0,67584,18.063392639160156,,,,,,,,,,,,,,,
180.0,68608,17.118919372558594,0.0003,0.307568359375,0.2,-0.029570256736769808,0.018968722,330,-4.8833514839410785,7.5085883140563965,5.960464477539063e-08,14.293504524230958,,,,,
180.0,69632,18.46333122253418,,,,,,,,,,,,,,,
180.0,70656,18.429824829101562,0.0003,0.29326171875,0.2,-0.027565408033842685,0.018596098,340,-4.839436526596546,11.551203727722168,0.0,15.633938726782798,,,,,
180.0,71680,17.568378448486328,,,,,,,,,,,,,,,
180.0,72704,16.635147094726562,0.0003,0.265283203125,0.2,-0.02611034346773522,0.021293925,350,-4.857251746952533,3.895540237426758,-1.1920928955078125e-07,18.091721826791762,,,,,
180.0,73728,17.37962532043457,,,,,,,,,,,,,,,
180.0,74752,17.51572036743164,0.0003,0.305322265625,0.2,-0.0286573092409526,0.020137979,360,-4.861129176616669,9.27692985534668,-1.1920928955078125e-07,14.655643625557422,,,,,
180.0,75776,18.156925201416016,,,,,,,,,,,,,,,
180.0,76800,18.237497329711914,0.0003,0.32548828125,0.2,-0.03127973087975988,0.021363614,370,-4.8112264752388,6.656917095184326,2.384185791015625e-07,18.0042382478714,,,,,
180.0,77824,19.599693298339844,,,,,,,,,,,,,,,
180.0,78848,18.830265045166016,0.0003,0.3125,0.2,-0.03094564079947304,0.020588249,380,-4.810218112170697,7.371917724609375,0.0,18.283449833095073,,,,,
180.0,79872,17.88555145263672,,,,,,,,,,,,,,,
180.0,80896,19.071744918823242,0.0003,0.33974609375,0.2,-0.031164782628184184,0.02151228,390,-4.782194916903973,6.224503040313721,0.0,15.872261442244053,,,,,
180.0,81920,19.525972366333008,,,,,,,,,,,,,,,
,81920,,,,,,,,,,,,460,177,180.0,40,17.80993005
180.0,82944,18.22034454345703,0.0003,0.328173828125,0.2,-0.03212968003354035,0.020403452,400,-4.7364580005407335,10.82961654663086,-1.1920928955078125e-07,16.04594555646181,,,,,
180.0,83968,19.990886688232422,,,,,,,,,,,,,,,
