eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/clip_range,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
40.0,45.38343048095703,1024,,,,,,,,,,,,,,,
40.0,49.701412200927734,2048,,,,,,,,,,,,,,,
40.0,43.394500732421875,3072,-2.7060508728027344e-05,0.0003,176390.55874023438,0.07628992,0.435888671875,-0.026365887603606097,90799.671875,10,-6.396795552968979,0.2,,,,,
40.0,47.860450744628906,4096,,,,,,,,,,,,,,,
40.0,48.60713577270508,5120,0.0,0.0003,174750.77856445312,0.07363643,0.4291015625,-0.03024372304789722,85911.609375,20,-6.396339190006256,0.2,,,,,
40.0,45.400115966796875,6144,,,,,,,,,,,,,,,
40.0,55.40381622314453,7168,0.0,0.0003,183239.7228515625,0.07336414,0.442919921875,-0.026488997714477592,81688.3828125,30,-6.395913018286228,0.2,,,,,
40.0,53.105289459228516,8192,,,,,,,,,,,,,,,
40.0,51.27040100097656,9216,-1.1920928955078125e-07,0.0003,183787.2849609375,0.07619496,0.42607421875,-0.03895130203163717,81852.703125,40,-6.395617654919624,0.2,,,,,
40.0,48.930870056152344,10240,,,,,,,,,,,,,,,
40.0,54.529781341552734,11264,1.1920928955078125e-07,0.0003,177290.98193359375,0.07585778,0.42822265625,-0.02954389094375074,94979.921875,50,-6.395284838974476,0.2,,,,,
40.0,42.86250305175781,12288,,,,,,,,,,,,,,,
40.0,50.37767028808594,13312,-1.1920928955078125e-07,0.0003,158971.04877929686,0.06945581,0.398486328125,-0.03385875697131269,79475.15625,60,-6.394876417517662,0.2,,,,,
40.0,54.66761779785156,14336,,,,,,,,,,,,,,,
40.0,45.009071350097656,15360,-1.1920928955078125e-07,0.0003,164768.16328125,0.0740085,0.40859375,-0.02625112556561362,71557.015625,70,-6.39434003084898,0.2,,,,,
