time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/value_loss,train/loss,train/entropy_loss,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/explained_variance
1,50.0,2048,486.11085247499994,222,9,,,,,,,,,,
2,50.0,4096,479.84960817283945,170,24,14305.793856811524,6038.234375,-5.29320769906044,10,0.0003,0.2,-0.026068048262095543,0.010962646,0.08017578125,-0.00016295909881591797
3,50.0,6144,476.89500759999993,213,28,14006.977764892577,6398.3837890625,-5.279854345321655,20,0.0003,0.2,-0.024630431779951324,0.0119611295,0.090673828125,-1.1920928955078125e-07
4,50.0,8192,468.11851086,246,33,14066.569073486327,5880.35791015625,-5.265529148280621,30,0.0003,0.2,-0.026816043321741746,0.011817662,0.1158203125,0.0
5,50.0,10240,464.15521609999996,271,37,13272.96452331543,5976.826171875,-5.256184197962284,40,0.0003,0.2,-0.025615421458496712,0.011834148,0.104052734375,-1.1920928955078125e-07
6,50.0,12288,458.2304153899999,291,42,12519.547338867187,5653.224609375,-5.24410263299942,50,0.0003,0.2,-0.028755077278765383,0.012913758,0.13955078125,-1.1920928955078125e-07
7,50.0,14336,453.61216847,307,46,12313.425604248047,6135.33203125,-5.2254846259951595,60,0.0003,0.2,-0.02621503768314142,0.012281965,0.116845703125,0.0
8,50.0,16384,464.87015605999994,319,51,11616.247723388671,6237.1650390625,-5.202887566387654,70,0.0003,0.2,-0.023864376998972148,0.01312436,0.111181640625,5.960464477539063e-08
9,50.0,18432,472.86346512999995,328,56,13547.719161987305,5593.31787109375,-5.188756282627582,80,0.0003,0.2,-0.024836691943346523,0.012140701,0.1080078125,5.960464477539063e-08
10,50.0,20480,469.90960678999994,336,60,12394.896740722656,7010.55517578125,-5.171870599687099,90,0.0003,0.2,-0.02411789650359424,0.011524018,0.12255859375,0.0
11,50.0,22528,472.16411603,344,65,12277.175927734375,6475.51025390625,-5.160202570259571,100,0.0003,0.2,-0.024315596467931754,0.012244403,0.110009765625,5.960464477539063e-08
12,50.0,24576,477.11114942,351,69,13319.914172363282,5961.93212890625,-5.142399457097054,110,0.0003,0.2,-0.025539671853766776,0.01317489,0.1234375,0.0
13,50.0,26624,481.6449851300001,357,74,12320.805926513673,4827.24169921875,-5.123163050413131,120,0.0003,0.2,-0.023873504472430796,0.012744215,0.123828125,1.7881393432617188e-07
