eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations
50.0,252404,31.253664016723633,,,,,,,,,,,,,,,
50.0,252904,30.715892791748047,,,,,,,,,,,,,,,
50.0,253404,32.860599517822266,,,,,,,,,,,,,,,
50.0,253904,32.46489715576172,,,,,,,,,,,,,,,
50.0,254404,29.556785583496094,0.07470703125,29987.083984375,-0.007340263496735134,-2.194402987509966,0.0,0.013974866,1240,0.0003,0.2,60440.483850097655,,,,,
50.0,254904,30.366222381591797,,,,,,,,,,,,,,,
50.0,255404,29.171222686767578,,,,,,,,,,,,,,,
50.0,255904,28.66358184814453,,,,,,,,,,,,,,,
50.0,256404,31.008255004882812,0.0966796875,26253.546875,-0.00916840755235171,-2.239782449603081,0.0,0.014118828,1250,0.0003,0.2,56103.2751953125,,,,,
50.0,256904,28.90639305114746,,,,,,,,,,,,,,,
50.0,257404,29.033445358276367,,,,,,,,,,,,,,,
50.0,257904,32.025001525878906,,,,,,,,,,,,,,,
50.0,258404,32.51352310180664,0.066845703125,32322.70703125,-0.0060964797565247865,-2.2920369833707808,0.0,0.014187628,1260,0.0003,0.2,57775.15223388672,,,,,
50.0,258904,29.801328659057617,,,,,,,,,,,,,,,
50.0,259404,32.379249572753906,,,,,,,,,,,,,,,
50.0,259904,30.94573974609375,,,,,,,,,,,,,,,
50.0,260404,31.618736267089844,0.085009765625,30646.150390625,-0.007454988241079263,-2.3069971852004527,0.0,0.015417794,1270,0.0003,0.2,59567.9459350586,,,,,
50.0,260904,29.269638061523438,,,,,,,,,,,,,,,
50.0,261404,32.17509841918945,,,,,,,,,,,,,,,
50.0,261904,31.993915557861328,,,,,,,,,,,,,,,
50.0,262404,28.87249755859375,0.052294921875,30098.484375,-0.004935972395469434,-2.2948665887117388,0.0,0.012810435,1280,0.0003,0.2,59662.870385742186,,,,,
50.0,262904,32.18588638305664,,,,,,,,,,,,,,,
50.0,263404,32.18413162231445,,,,,,,,,,,,,,,
50.0,263904,28.147686004638672,,,,,,,,,,,,,,,
50.0,264404,31.14335823059082,0.094384765625,28163.728515625,-0.008841692523856182,-2.326686646044254,0.0,0.015354867,1290,0.0003,0.2,57795.60837402344,,,,,
50.0,264904,30.092247009277344,,,,,,,,,,,,,,,
50.0,265404,31.519515991210938,,,,,,,,,,,,,,,
50.0,265904,32.702232360839844,,,,,,,,,,,,,,,
50.0,266404,29.10244369506836,0.10625,28490.400390625,-0.009509552241070196,-2.3540792472660543,-1.1920928955078125e-07,0.014290312,1300,0.0003,0.2,59892.898864746094,,,,,
50.0,266904,31.70502471923828,,,,,,,,,,,,,,,
50.0,267404,30.299699783325195,,,,,,,,,,,,,,,
50.0,267904,30.040996551513672,,,,,,,,,,,,,,,
50.0,268404,30.56798553466797,0.0974609375,29592.373046875,-0.009162385266972706,-2.338177176564932,0.0,0.0135579035,1310,0.0003,0.2,60572.04378662109,,,,,
50.0,268904,31.16008758544922,,,,,,,,,,,,,,,
50.0,269404,29.99651336669922,,,,,,,,,,,,,,,
50.0,269904,32.37018966674805,,,,,,,,,,,,,,,
50.0,270404,33.45823669433594,0.07314453125,28559.9296875,-0.006910903708194383,-2.3404933139681816,0.0,0.01433726,1320,0.0003,0.2,56568.50712890625,,,,,
50.0,270904,31.28514289855957,,,,,,,,,,,,,,,
50.0,271404,33.15056228637695,,,,,,,,,,,,,,,
50.0,271904,32.60017395019531,,,,,,,,,,,,,,,
,272384,,,,,,,,,,,,50.0,559,1261.01620179,36,10
50.0,272404,32.45409393310547,0.024462890625,29369.685546875,-0.0020339914975920693,-2.338703490793705,0.0,0.009334432,1330,0.0003,0.2,53516.18140869141,,,,,
50.0,272904,30.818950653076172,,,,,,,,,,,,,,,
50.0,273404,28.73871612548828,,,,,,,,,,,,,,,
50.0,273904,27.244766235351562,,,,,,,,,,,,,,,
50.0,274404,31.83843421936035,,,,,,,,,,,,,,,
50.0,274904,33.060218811035156,0.0400390625,26762.7578125,-0.004222055352875032,-2.3399353213608265,0.0,0.014802182,1340,0.0003,0.2,58969.91043701172,,,,,
50.0,275404,33.22895812988281,,,,,,,,,,,,,,,
50.0,275904,29.435165405273438,,,,,,,,,,,,,,,
50.0,276404,31.32464599609375,,,,,,,,,,,,,,,
50.0,276904,30.041851043701172,0.08740234375,26520.728515625,-0.008395637915236875,-2.346858982741833,5.960464477539063e-08,0.011729025,1350,0.0003,0.2,60576.044604492185,,,,,
50.0,277404,31.669103622436523,,,,,,,,,,,,,,,
50.0,277904,28.98236083984375,,,,,,,,,,,,,,,
50.0,278404,32.557132720947266,,,,,,,,,,,,,,,
50.0,278904,33.16581344604492,0.102294921875,34794.40234375,-0.00983532234095037,-2.3299888536334037,0.0,0.014064919,1360,0.0003,0.2,60988.76650390625,,,,,
50.0,279404,30.195934295654297,,,,,,,,,,,,,,,
50.0,279904,32.0951042175293,,,,,,,,,,,,,,,
50.0,280404,33.08641815185547,,,,,,,,,,,,,,,
50.0,280904,31.701148986816406,0.061376953125,28586.82421875,-0.005485531646991148,-2.315794699639082,0.0,0.013161773,1370,0.0003,0.2,57525.554138183594,,,,,
50.0,281404,28.034793853759766,,,,,,,,,,,,,,,
50.0,281904,28.397544860839844,,,,,,,,,,,,,,,
50.0,282404,29.81497573852539,,,,,,,,,,,,,,,
50.0,282904,31.466106414794922,0.096923828125,29197.970703125,-0.008814417535904794,-2.3329226300120354,0.0,0.015174731,1380,0.0003,0.2,59591.24812011719,,,,,
50.0,283404,30.842384338378906,,,,,,,,,,,,,,,
50.0,283904,30.72283363342285,,,,,,,,,,,,,,,
50.0,284404,29.444564819335938,,,,,,,,,,,,,,,
50.0,284904,27.876197814941406,0.04736328125,27767.98828125,-0.004221758194034919,-2.331647779047489,0.0,0.008885922,1390,0.0003,0.2,59162.42845458984,,,,,
50.0,285404,31.771156311035156,,,,,,,,,,,,,,,
50.0,285904,32.592071533203125,,,,,,,,,,,,,,,
50.0,286404,32.746315002441406,,,,,,,,,,,,,,,
50.0,286904,32.842628479003906,0.05234375,30806.26953125,-0.0051688685969566,-2.3025133304297922,0.0,0.012234589,1400,0.0003,0.2,57624.27130126953,,,,,
50.0,287404,32.51927947998047,,,,,,,,,,,,,,,
50.0,287904,32.92028045654297,,,,,,,,,,,,,,,
50.0,288404,33.30204772949219,,,,,,,,,,,,,,,
50.0,288904,32.32199478149414,0.023388671875,27869.853515625,-0.0021183372984523883,-2.296032263338566,-1.1920928955078125e-07,0.0078119244,1410,0.0003,0.2,56311.054748535156,,,,,
50.0,289404,33.403045654296875,,,,,,,,,,,,,,,
50.0,289904,29.289323806762695,,,,,,,,,,,,,,,
50.0,290404,31.653278350830078,,,,,,,,,,,,,,,
50.0,290904,31.507171630859375,0.06416015625,28354.048828125,-0.005752323113847524,-2.32499737739563,-1.1920928955078125e-07,0.011992923,1420,0.0003,0.2,56714.81181640625,,,,,
50.0,291404,26.16910171508789,,,,,,,,,,,,,,,
50.0,291904,30.41090202331543,,,,,,,,,,,,,,,
50.0,292404,32.1607780456543,,,,,,,,,,,,,,,
,292864,,,,,,,,,,,,50.0,661,1295.95451036,61,20
50.0,292904,30.236120223999023,0.03349609375,28667.7265625,-0.0036584731191396714,-2.323326823115349,0.0,0.011188223,1430,0.0003,0.2,58791.37655029297,,,,,
50.0,293404,31.680706024169922,,,,,,,,,,,,,,,
50.0,293904,32.96168518066406,,,,,,,,,,,,,,,
50.0,294404,29.113075256347656,,,,,,,,,,,,,,,
50.0,294904,30.556411743164062,,,,,,,,,,,,,,,
50.0,295404,32.67919921875,0.081591796875,27018.23046875,-0.00725272937270347,-2.2946836657822134,0.0,0.01355117,1440,0.0003,0.2,54936.320324707034,,,,,
50.0,295904,32.17383575439453,,,,,,,,,,,,,,,
50.0,296404,30.68331527709961,,,,,,,,,,,,,,,
50.0,296904,29.618244171142578,,,,,,,,,,,,,,,
50.0,297404,31.69817352294922,0.08896484375,26091.466796875,-0.008445901644881815,-2.3155437052249908,0.0,0.014194945,1450,0.0003,0.2,55413.842248535155,,,,,
50.0,297904,33.317169189453125,,,,,,,,,,,,,,,
50.0,298404,31.01116180419922,,,,,,,,,,,,,,,
50.0,298904,29.576828002929688,,,,,,,,,,,,,,,
