time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean
500,50.0,5.695388317108154,,,,,,,,,,,,,,,
1000,50.0,4.027299404144287,,,,,,,,,,,,,,,
1500,50.0,3.9417967796325684,,,,,,,,,,,,,,,
2000,50.0,4.980490684509277,,,,,,,,,,,,,,,
2500,50.0,4.666695594787598,10,0.011255705,0.0003,0.2,-5.293155825138092,13224.254748535157,-0.026266184778069145,6358.09033203125,0.098828125,-0.00039649009704589844,,,,,
3000,50.0,4.385500907897949,,,,,,,,,,,,,,,
3500,50.0,4.585806846618652,,,,,,,,,,,,,,,
4000,50.0,5.491701126098633,,,,,,,,,,,,,,,
4500,50.0,3.7638823986053467,20,0.009541195,0.0003,0.2,-5.283056817948818,13290.269897460938,-0.01915232385217678,6399.30712890625,0.0703125,5.960464477539063e-08,,,,,
5000,50.0,4.431302547454834,,,,,,,,,,,,,,,
5500,50.0,5.002769947052002,,,,,,,,,,,,,,,
6000,50.0,4.288356304168701,,,,,,,,,,,,,,,
6500,50.0,4.2932939529418945,30,0.012208231,0.0003,0.2,-5.26972486525774,12241.601873779297,-0.02611164530098904,5316.06884765625,0.11201171875,5.960464477539063e-08,,,,,
7000,50.0,6.9476423263549805,,,,,,,,,,,,,,,
7500,50.0,4.9705376625061035,,,,,,,,,,,,,,,
8000,50.0,4.026384353637695,,,,,,,,,,,,,,,
8500,50.0,5.0613508224487305,40,0.012789786,0.0003,0.2,-5.255528433620929,12730.671238708495,-0.026237298261548858,6401.22314453125,0.1140625,-1.1920928955078125e-07,,,,,
9000,50.0,6.1570000648498535,,,,,,,,,,,,,,,
9500,50.0,4.4063334465026855,,,,,,,,,,,,,,,
10000,50.0,5.008901119232178,,,,,,,,,,,,,,,
10500,50.0,4.806187629699707,50,0.013138248,0.0003,0.2,-5.235794577002525,12305.502725219727,-0.02610243636445375,7950.10498046875,0.12109375,-1.1920928955078125e-07,,,,,
11000,50.0,5.18816614151001,,,,,,,,,,,,,,,
11500,50.0,7.061429977416992,,,,,,,,,,,,,,,
12000,50.0,4.505362510681152,,,,,,,,,,,,,,,
12500,50.0,7.331435680389404,60,0.012384182,0.0003,0.2,-5.2195514142513275,11582.694372558593,-0.022912202496081592,5128.58251953125,0.1044921875,0.0,,,,,
13000,50.0,4.673084259033203,,,,,,,,,,,,,,,
13500,50.0,5.137326240539551,,,,,,,,,,,,,,,
14000,50.0,8.595407485961914,,,,,,,,,,,,,,,
14500,50.0,3.681550979614258,70,0.011386128,0.0003,0.2,-5.206477198004722,12088.709783935547,-0.02228774052200606,5047.2060546875,0.1091796875,-1.1920928955078125e-07,,,,,
15000,50.0,6.541337013244629,,,,,,,,,,,,,,,
15500,50.0,3.638767719268799,,,,,,,,,,,,,,,
16000,50.0,6.535194396972656,,,,,,,,,,,,,,,
