eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/learning_rate,train/n_updates,train/approx_kl,train/policy_gradient_loss,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed
50.0,500,5.358366012573242,,,,,,,,,,,,,,,
50.0,1000,4.039738655090332,,,,,,,,,,,,,,,
50.0,1500,5.337597846984863,,,,,,,,,,,,,,,
50.0,2000,3.8508989810943604,,,,,,,,,,,,,,,
50.0,2500,4.174684524536133,10960.117672729491,-5.293923957645893,0.389208984375,-4.9114227294921875e-05,0.2,6542.57421875,0.0003,10,0.04685921,-0.0883443524246104,,,,,
50.0,3000,5.159271240234375,,,,,,,,,,,,,,,
50.0,3500,4.311302185058594,,,,,,,,,,,,,,,
50.0,4000,5.598471641540527,,,,,,,,,,,,,,,
50.0,4500,6.138236045837402,13508.970837402343,-5.284381628036499,0.368896484375,0.0,0.2,6376.64697265625,0.0003,20,0.041920573,-0.08165850021177903,,,,,
50.0,5000,5.857206344604492,,,,,,,,,,,,,,,
50.0,5500,3.7761588096618652,,,,,,,,,,,,,,,
50.0,6000,4.884957313537598,,,,,,,,,,,,,,,
50.0,6500,5.101362228393555,11602.812330627441,-5.273329761624336,0.386328125,0.0,0.2,5063.69482421875,0.0003,30,0.044657595,-0.08673809128813445,,,,,
50.0,7000,4.66604471206665,,,,,,,,,,,,,,,
50.0,7500,4.223729610443115,,,,,,,,,,,,,,,
50.0,8000,3.903919219970703,,,,,,,,,,,,,,,
50.0,8500,3.455902576446533,11117.79427947998,-5.2596177607774734,0.364013671875,5.960464477539063e-08,0.2,6368.84228515625,0.0003,40,0.041127525,-0.08364889564691111,,,,,
50.0,9000,3.732301712036133,,,,,,,,,,,,,,,
50.0,9500,6.323530673980713,,,,,,,,,,,,,,,
50.0,10000,4.3643927574157715,,,,,,,,,,,,,,,
50.0,10500,6.039523124694824,12480.524615478516,-5.247835841774941,0.3796875,1.1920928955078125e-07,0.2,5930.5009765625,0.0003,50,0.045351297,-0.08735326713649556,,,,,
50.0,11000,5.286127090454102,,,,,,,,,,,,,,,
50.0,11500,4.694439888000488,,,,,,,,,,,,,,,
50.0,12000,4.446948528289795,,,,,,,,,,,,,,,
50.0,12500,4.08872127532959,13019.973762512207,-5.235641913115979,0.376513671875,1.1920928955078125e-07,0.2,7614.49853515625,0.0003,60,0.041769747,-0.07950867702020332,,,,,
50.0,13000,4.222960472106934,,,,,,,,,,,,,,,
50.0,13500,5.5013275146484375,,,,,,,,,,,,,,,
50.0,14000,4.002715110778809,,,,,,,,,,,,,,,
50.0,14500,4.559917449951172,12625.919706726074,-5.2296486556529995,0.381689453125,0.0,0.2,5800.3505859375,0.0003,70,0.043256614,-0.08347803137730807,,,,,
50.0,15000,6.543896198272705,,,,,,,,,,,,,,,
50.0,15500,5.179113388061523,,,,,,,,,,,,,,,
50.0,16000,4.296463966369629,,,,,,,,,,,,,,,
50.0,16500,4.924034595489502,11615.061654663086,-5.221119417250156,0.3857421875,0.0,0.2,6017.3623046875,0.0003,80,0.04536605,-0.08465162736829371,,,,,
50.0,17000,5.284482002258301,,,,,,,,,,,,,,,
50.0,17500,4.024932384490967,,,,,,,,,,,,,,,
50.0,18000,5.39837646484375,,,,,,,,,,,,,,,
50.0,18500,5.185929775238037,11924.748027038575,-5.209857514500618,0.344189453125,-1.1920928955078125e-07,0.2,6343.42626953125,0.0003,90,0.039392706,-0.08449706091778353,,,,,
50.0,19000,4.172215938568115,,,,,,,,,,,,,,,
50.0,19500,5.069756984710693,,,,,,,,,,,,,,,
50.0,20000,4.337004661560059,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,465,50.0,446.12673695999996,10,44
50.0,20500,4.815797328948975,10236.791011047364,-5.1999455213546755,0.39384765625,-1.1920928955078125e-07,0.2,4484.9169921875,0.0003,100,0.044816487,-0.07947811220074072,,,,,
50.0,21000,4.075126647949219,,,,,,,,,,,,,,,
50.0,21500,5.8816657066345215,,,,,,,,,,,,,,,
50.0,22000,4.036736488342285,,,,,,,,,,,,,,,
50.0,22500,4.167328834533691,,,,,,,,,,,,,,,
50.0,23000,4.132057189941406,11009.37709197998,-5.185937033593655,0.3794921875,0.0,0.2,7169.48388671875,0.0003,110,0.046224408,-0.08528359942138194,,,,,
50.0,23500,5.4669389724731445,,,,,,,,,,,,,,,
50.0,24000,5.655008316040039,,,,,,,,,,,,,,,
50.0,24500,6.92927360534668,,,,,,,,,,,,,,,
50.0,25000,5.82162618637085,10814.269566345214,-5.172668609023094,0.37236328125,5.960464477539063e-08,0.2,5114.38232421875,0.0003,120,0.04175128,-0.0814510186901316,,,,,
50.0,25500,3.882678985595703,,,,,,,,,,,,,,,
50.0,26000,4.216525077819824,,,,,,,,,,,,,,,
50.0,26500,4.770395278930664,,,,,,,,,,,,,,,
50.0,27000,4.078914165496826,11273.502645874023,-5.169022479653359,0.396044921875,0.0,0.2,5672.15966796875,0.0003,130,0.047067564,-0.08684456362389029,,,,,
50.0,27500,5.571559906005859,,,,,,,,,,,,,,,
50.0,28000,4.193355083465576,,,,,,,,,,,,,,,
50.0,28500,4.2600202560424805,,,,,,,,,,,,,,,
50.0,29000,5.325270652770996,10893.6215133667,-5.169631741940975,0.3947265625,0.0,0.2,5187.3310546875,0.0003,140,0.04709412,-0.08333965023048222,,,,,
50.0,29500,5.598895072937012,,,,,,,,,,,,,,,
50.0,30000,4.993159294128418,,,,,,,,,,,,,,,
50.0,30500,4.041551113128662,,,,,,,,,,,,,,,
50.0,31000,3.8266830444335938,10159.381770324708,-5.159436121582985,0.400927734375,0.0,0.2,4363.03466796875,0.0003,150,0.047955677,-0.08770920370006934,,,,,
50.0,31500,3.9588401317596436,,,,,,,,,,,,,,,
50.0,32000,6.533470153808594,,,,,,,,,,,,,,,
50.0,32500,6.127459526062012,,,,,,,,,,,,,,,
50.0,33000,4.421858787536621,10547.184295654297,-5.142209856212139,0.394873046875,1.7881393432617188e-07,0.2,5370.68603515625,0.0003,160,0.044364244,-0.08299284314271063,,,,,
50.0,33500,4.575307846069336,,,,,,,,,,,,,,,
50.0,34000,5.26097297668457,,,,,,,,,,,,,,,
50.0,34500,3.9181933403015137,,,,,,,,,,,,,,,
50.0,35000,4.3565168380737305,10688.971768188476,-5.123919904232025,0.387109375,0.0,0.2,6018.072265625,0.0003,170,0.043347307,-0.08443229870172217,,,,,
50.0,35500,4.0141730308532715,,,,,,,,,,,,,,,
50.0,36000,7.16961669921875,,,,,,,,,,,,,,,
50.0,36500,3.5592217445373535,,,,,,,,,,,,,,,
50.0,37000,5.281672954559326,10702.791552734376,-5.110653460025787,0.3927734375,0.0,0.2,5130.7705078125,0.0003,180,0.04423593,-0.08409488761099056,,,,,
50.0,37500,5.462141036987305,,,,,,,,,,,,,,,
50.0,38000,8.436894416809082,,,,,,,,,,,,,,,
50.0,38500,4.204167366027832,,,,,,,,,,,,,,,
50.0,39000,4.276344299316406,10142.021142578125,-5.092153669893742,0.397265625,-1.1920928955078125e-07,0.2,5067.03857421875,0.0003,190,0.04616773,-0.08228129914496093,,,,,
50.0,39500,3.8734946250915527,,,,,,,,,,,,,,,
50.0,40000,5.06451416015625,,,,,,,,,,,,,,,
50.0,40500,4.528624534606934,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,582,50.0,445.17380154,20,70
50.0,41000,5.160181999206543,8689.522015380859,-5.087047038972377,0.392529296875,-1.1920928955078125e-07,0.2,3443.464111328125,0.0003,200,0.047122277,-0.08513391272863373,,,,,
50.0,41500,4.891269683837891,,,,,,,,,,,,,,,
50.0,42000,5.384919166564941,,,,,,,,,,,,,,,
50.0,42500,5.2788543701171875,,,,,,,,,,,,,,,
50.0,43000,3.7780728340148926,,,,,,,,,,,,,,,
50.0,43500,4.138274192810059,10293.269361877441,-5.080127470195293,0.39365234375,-1.1920928955078125e-07,0.2,5590.2802734375,0.0003,210,0.044692956,-0.08275483504403383,,,,,
50.0,44000,5.032137393951416,,,,,,,,,,,,,,,
50.0,44500,6.8889265060424805,,,,,,,,,,,,,,,
50.0,45000,4.096368789672852,,,,,,,,,,,,,,,
50.0,45500,5.190176010131836,9385.51489868164,-5.073142194747925,0.391650390625,0.0,0.2,4974.76953125,0.0003,220,0.046422645,-0.08212946645217016,,,,,
50.0,46000,7.066303253173828,,,,,,,,,,,,,,,
50.0,46500,4.553707599639893,,,,,,,,,,,,,,,
50.0,47000,3.8846518993377686,,,,,,,,,,,,,,,
50.0,47500,5.559110641479492,9929.690364074708,-5.049644386768341,0.372265625,0.0,0.2,3840.96728515625,0.0003,230,0.042137932,-0.0803028296562843,,,,,
50.0,48000,6.055150032043457,,,,,,,,,,,,,,,
50.0,48500,7.76509952545166,,,,,,,,,,,,,,,
50.0,49000,4.828941345214844,,,,,,,,,,,,,,,
50.0,49500,6.9158124923706055,10793.91798248291,-5.028454433381557,0.41484375,0.0,0.2,5039.3017578125,0.0003,240,0.052527905,-0.08415333211887628,,,,,
50.0,50000,5.395221710205078,,,,,,,,,,,,,,,
50.0,50500,6.347477912902832,,,,,,,,,,,,,,,
50.0,51000,4.934516429901123,,,,,,,,,,,,,,,
50.0,51500,5.363663673400879,10068.631747436524,-5.000075587630272,0.4013671875,0.0,0.2,4903.44140625,0.0003,250,0.04918179,-0.08372761608334259,,,,,
50.0,52000,4.360233783721924,,,,,,,,,,,,,,,
50.0,52500,4.266877174377441,,,,,,,,,,,,,,,
50.0,53000,5.824347496032715,,,,,,,,,,,,,,,
50.0,53500,4.097878456115723,9973.950802612304,-4.995256888866424,0.406591796875,0.0,0.2,5346.85986328125,0.0003,260,0.042263538,-0.08414668441982939,,,,,
50.0,54000,6.827631950378418,,,,,,,,,,,,,,,
