time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/clip_fraction,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean
512,50.0,20.340002059936523,,,,,,,,,,,,,,,
1024,50.0,21.776458740234375,,,,,,,,,,,,,,,
1536,50.0,17.024211883544922,,,,,,,,,,,,,,,
2048,50.0,22.730602264404297,,,,,,,,,,,,,,,
2560,50.0,22.36233901977539,0.0,10,0.07592371459468268,-5.297141560912133,0.118126124,84884.77585449218,46210.48046875,0.0003,0.2,0.294921875,,,,,
3072,50.0,20.33160972595215,,,,,,,,,,,,,,,
3584,50.0,18.704713821411133,,,,,,,,,,,,,,,
4096,50.0,21.126033782958984,,,,,,,,,,,,,,,
4608,50.0,18.157917022705078,0.0,20,0.061943724955199286,-5.29293182939291,0.12228559,83870.54979248047,40757.98828125,0.0003,0.2,0.315087890625,,,,,
5120,50.0,17.129505157470703,,,,,,,,,,,,,,,
5632,50.0,22.059123992919922,,,,,,,,,,,,,,,
6144,50.0,24.525638580322266,,,,,,,,,,,,,,,
6656,50.0,21.675174713134766,0.0,30,0.07107137904386036,-5.288950935006142,0.12413186,80539.6541015625,35492.27734375,0.0003,0.2,0.352001953125,,,,,
7168,50.0,17.92754364013672,,,,,,,,,,,,,,,
7680,50.0,21.659061431884766,,,,,,,,,,,,,,,
8192,50.0,23.00446128845215,,,,,,,,,,,,,,,
8704,50.0,23.337980270385742,0.0,40,0.07488744457368739,-5.285432091355323,0.1230837,94059.0853515625,43871.2734375,0.0003,0.2,0.375439453125,,,,,
9216,50.0,24.031810760498047,,,,,,,,,,,,,,,
9728,50.0,18.601608276367188,,,,,,,,,,,,,,,
10240,50.0,21.924938201904297,,,,,,,,,,,,,,,
10752,50.0,16.989154815673828,-1.1920928955078125e-07,50,0.0704738412896404,-5.281220589578152,0.12704727,86342.13874511719,41014.7421875,0.0003,0.2,0.3787109375,,,,,
11264,50.0,19.40211296081543,,,,,,,,,,,,,,,
11776,50.0,21.384824752807617,,,,,,,,,,,,,,,
12288,50.0,21.644458770751953,,,,,,,,,,,,,,,
12800,50.0,18.51655387878418,0.0,60,0.07029603607370519,-5.278573320806027,0.12201297,83212.09779052735,40561.67578125,0.0003,0.2,0.385302734375,,,,,
13312,50.0,18.039682388305664,,,,,,,,,,,,,,,
13824,50.0,20.142959594726562,,,,,,,,,,,,,,,
14336,50.0,19.599811553955078,,,,,,,,,,,,,,,
14848,50.0,19.025632858276367,-1.1920928955078125e-07,70,0.06879793188127223,-5.279562817513943,0.121695764,84195.59594726562,42677.11328125,0.0003,0.2,0.371875,,,,,
15360,50.0,19.834060668945312,,,,,,,,,,,,,,,
15872,50.0,23.327863693237305,,,,,,,,,,,,,,,
16384,50.0,17.67893409729004,,,,,,,,,,,,,,,
16896,50.0,19.2241268157959,-1.1920928955078125e-07,80,0.07802788994158619,-5.279080091416835,0.12812217,84126.4033203125,40474.5859375,0.0003,0.2,0.402783203125,,,,,
17408,50.0,20.731674194335938,,,,,,,,,,,,,,,
17920,50.0,17.993871688842773,,,,,,,,,,,,,,,
18432,50.0,19.60987663269043,,,,,,,,,,,,,,,
18944,50.0,20.166915893554688,2.384185791015625e-07,90,0.0646060238359496,-5.277539202570916,0.12247128,78287.38863525391,36419.0390625,0.0003,0.2,0.385791015625,,,,,
19456,50.0,23.538110733032227,,,,,,,,,,,,,,,
19968,50.0,21.117332458496094,,,,,,,,,,,,,,,
20480,50.0,21.707626342773438,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,60,50.0,10,337,1054.45256592
20992,50.0,22.550220489501953,0.0,100,0.06017985791841056,-5.27339036166668,0.13277113,70511.07391357422,32127.279296875,0.0003,0.2,0.408544921875,,,,,
21504,50.0,20.898075103759766,,,,,,,,,,,,,,,
22016,50.0,20.061460494995117,,,,,,,,,,,,,,,
22528,50.0,21.31953239440918,,,,,,,,,,,,,,,
23040,50.0,14.974919319152832,0.0,110,0.07633705757616553,-5.270907105505467,0.13000003,87514.05655517578,45059.9921875,0.0003,0.2,0.41669921875,,,,,
23552,50.0,18.655607223510742,,,,,,,,,,,,,,,
24064,50.0,20.09103012084961,,,,,,,,,,,,,,,
24576,50.0,22.359163284301758,,,,,,,,,,,,,,,
25088,50.0,18.296131134033203,0.0,120,0.06826554620929529,-5.2694907784461975,0.1266934,76005.91033935547,38009.8984375,0.0003,0.2,0.38095703125,,,,,
25600,50.0,19.2116756439209,,,,,,,,,,,,,,,
26112,50.0,22.169797897338867,,,,,,,,,,,,,,,
