time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
512,50.0,20.340511322021484,,,,,,,,,,,,,,,
1024,50.0,20.6058349609375,,,,,,,,,,,,,,,
1536,50.0,23.634620666503906,,,,,,,,,,,,,,,
2048,50.0,17.318275451660156,,,,,,,,,,,,,,,
2560,50.0,22.686527252197266,10,0.07110646781511605,0.120297864,48274.3984375,0.3166015625,-0.00021195411682128906,0.2,0.0003,97634.23552246093,-5.296856209635735,,,,,
3072,50.0,23.733388900756836,,,,,,,,,,,,,,,
3584,50.0,22.55539321899414,,,,,,,,,,,,,,,
4096,50.0,21.498355865478516,,,,,,,,,,,,,,,
4608,50.0,15.773445129394531,20,0.06871505295857787,0.118902855,47123.63671875,0.330712890625,0.0,0.2,0.0003,93185.07641601562,-5.292624044418335,,,,,
5120,50.0,19.08682632446289,,,,,,,,,,,,,,,
5632,50.0,21.4630126953125,,,,,,,,,,,,,,,
6144,50.0,25.569007873535156,,,,,,,,,,,,,,,
6656,50.0,21.19251251220703,30,0.06941985585144721,0.12524498,50289.1875,0.3556640625,-1.1920928955078125e-07,0.2,0.0003,98520.9525390625,-5.289019234478474,,,,,
7168,50.0,19.987829208374023,,,,,,,,,,,,,,,
7680,50.0,21.396080017089844,,,,,,,,,,,,,,,
8192,50.0,21.273962020874023,,,,,,,,,,,,,,,
8704,50.0,22.033405303955078,40,0.08326526915188878,0.124937825,46487.08984375,0.357470703125,0.0,0.2,0.0003,90268.68059082031,-5.28583694845438,,,,,
9216,50.0,21.662710189819336,,,,,,,,,,,,,,,
9728,50.0,19.15725326538086,,,,,,,,,,,,,,,
10240,50.0,24.134017944335938,,,,,,,,,,,,,,,
10752,50.0,24.623607635498047,50,0.06951394896022975,0.12530746,45819.5859375,0.3724609375,0.0,0.2,0.0003,91182.8772216797,-5.2826876670122145,,,,,
11264,50.0,14.599191665649414,,,,,,,,,,,,,,,
11776,50.0,20.19881248474121,,,,,,,,,,,,,,,
12288,50.0,18.553468704223633,,,,,,,,,,,,,,,
12800,50.0,19.946903228759766,60,0.08877449340652674,0.12252427,49210.81640625,0.37607421875,5.960464477539063e-08,0.2,0.0003,98855.74072265625,-5.281785573065281,,,,,
13312,50.0,15.987823486328125,,,,,,,,,,,,,,,
13824,50.0,19.520793914794922,,,,,,,,,,,,,,,
14336,50.0,24.974946975708008,,,,,,,,,,,,,,,
14848,50.0,20.826580047607422,70,0.061778332995891104,0.12279325,43611.39453125,0.358349609375,0.0,0.2,0.0003,94951.81513671875,-5.2805412977933885,,,,,
15360,50.0,20.56290054321289,,,,,,,,,,,,,,,
15872,50.0,20.1663761138916,,,,,,,,,,,,,,,
16384,50.0,17.489253997802734,,,,,,,,,,,,,,,
16896,50.0,22.054468154907227,80,0.06511041813646443,0.11905804,51188.24609375,0.3712890625,1.1920928955078125e-07,0.2,0.0003,98533.97290039062,-5.279173116385937,,,,,
17408,50.0,20.515823364257812,,,,,,,,,,,,,,,
17920,50.0,24.373695373535156,,,,,,,,,,,,,,,
18432,50.0,17.611125946044922,,,,,,,,,,,,,,,
18944,50.0,14.370698928833008,90,0.06756675269862171,0.12178999,40807.6328125,0.389599609375,0.0,0.2,0.0003,87053.21735839844,-5.278071916103363,,,,,
19456,50.0,14.201892852783203,,,,,,,,,,,,,,,
19968,50.0,15.753664016723633,,,,,,,,,,,,,,,
20480,50.0,23.514854431152344,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,1135.67249627,44,463,10,50.0
20992,50.0,21.14315414428711,100,0.07198342265328392,0.13023205,39694.10546875,0.41142578125,1.1920928955078125e-07,0.2,0.0003,86135.4537109375,-5.274689024686813,,,,,
21504,50.0,22.525344848632812,,,,,,,,,,,,,,,
22016,50.0,23.135482788085938,,,,,,,,,,,,,,,
22528,50.0,20.804874420166016,,,,,,,,,,,,,,,
23040,50.0,18.704177856445312,110,0.0662471803923836,0.117062815,46619.9765625,0.39951171875,5.960464477539063e-08,0.2,0.0003,86562.17846679688,-5.274087829887867,,,,,
23552,50.0,20.499252319335938,,,,,,,,,,,,,,,
24064,50.0,22.439659118652344,,,,,,,,,,,,,,,
24576,50.0,20.013690948486328,,,,,,,,,,,,,,,
25088,50.0,24.380048751831055,120,0.06178525606228504,0.12601303,45951.6796875,0.396337890625,0.0,0.2,0.0003,90059.85046386719,-5.270889286696911,,,,,
25600,50.0,23.68090057373047,,,,,,,,,,,,,,,
26112,50.0,17.67542839050293,,,,,,,,,,,,,,,
26624,50.0,22.66607666015625,,,,,,,,,,,,,,,
27136,50.0,23.05687713623047,130,0.06622916130581871,0.12357939,35571.33984375,0.39912109375,0.0,0.2,0.0003,80949.00988769531,-5.268379510939122,,,,,
27648,50.0,28.12866973876953,,,,,,,,,,,,,,,
28160,50.0,22.956777572631836,,,,,,,,,,,,,,,
28672,50.0,20.99282455444336,,,,,,,,,,,,,,,
29184,50.0,13.307464599609375,140,0.058106523157039194,0.12828736,43650.296875,0.4177734375,0.0,0.2,0.0003,80080.26856689453,-5.265182645618916,,,,,
29696,50.0,23.20008087158203,,,,,,,,,,,,,,,
30208,50.0,21.379274368286133,,,,,,,,,,,,,,,
30720,50.0,21.53500747680664,,,,,,,,,,,,,,,
31232,50.0,20.207571029663086,150,0.06830666000023485,0.13331012,47339.828125,0.39892578125,0.0,0.2,0.0003,90614.76015625,-5.264705508947372,,,,,
31744,50.0,16.33228874206543,,,,,,,,,,,,,,,
32256,50.0,17.235200881958008,,,,,,,,,,,,,,,
32768,50.0,16.65916633605957,,,,,,,,,,,,,,,
33280,50.0,21.11285400390625,160,0.0659630811016541,0.13340113,44718.85546875,0.424365234375,0.0,0.2,0.0003,86801.48229980469,-5.265377761423588,,,,,
33792,50.0,23.58454704284668,,,,,,,,,,,,,,,
34304,50.0,20.761804580688477,,,,,,,,,,,,,,,
34816,50.0,22.19058609008789,,,,,,,,,,,,,,,
35328,50.0,20.061735153198242,170,0.07567132579279132,0.13313946,48392.47265625,0.420654296875,-1.1920928955078125e-07,0.2,0.0003,98266.94216308594,-5.265411885082722,,,,,
35840,50.0,20.20037841796875,,,,,,,,,,,,,,,
36352,50.0,19.50006103515625,,,,,,,,,,,,,,,
36864,50.0,27.66690444946289,,,,,,,,,,,,,,,
37376,50.0,24.142410278320312,180,0.07439186706906184,0.12973256,40487.89453125,0.446044921875,0.0,0.2,0.0003,84837.97373046874,-5.264672055840492,,,,,
37888,50.0,15.462600708007812,,,,,,,,,,,,,,,
