eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/policy_gradient_loss,train/value_loss,train/clip_range,train/entropy_loss,train/n_updates,train/clip_fraction,train/learning_rate,train/explained_variance,train/loss,train/approx_kl,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps
50.0,512,20.98992347717285,,,,,,,,,,,,,,,
50.0,1024,22.41260528564453,,,,,,,,,,,,,,,
50.0,1536,18.335296630859375,,,,,,,,,,,,,,,
50.0,2048,24.258907318115234,,,,,,,,,,,,,,,
50.0,2560,18.511587142944336,-0.04714351790316869,56.99181599617005,0.2,-5.278375366330147,10,0.522509765625,0.0003,0.0013211369514465332,26.5596981048584,0.14693955,,,,,
50.0,3072,18.717124938964844,,,,,,,,,,,,,,,
50.0,3584,20.924015045166016,,,,,,,,,,,,,,,
50.0,4096,22.55148696899414,,,,,,,,,,,,,,,
50.0,4608,19.84532928466797,-0.03231365338724572,57.98430082201958,0.2,-5.255401703715324,20,0.547265625,0.0003,3.844499588012695e-05,43.00157165527344,0.16356066,,,,,
50.0,5120,20.45500373840332,,,,,,,,,,,,,,,
50.0,5632,20.33722686767578,,,,,,,,,,,,,,,
50.0,6144,23.281803131103516,,,,,,,,,,,,,,,
50.0,6656,21.96339225769043,-0.03951004256960004,55.10142606496811,0.2,-5.237541607022285,30,0.57421875,0.0003,5.960464477539063e-08,29.350969314575195,0.16822341,,,,,
50.0,7168,17.463634490966797,,,,,,,,,,,,,,,
50.0,7680,26.13799476623535,,,,,,,,,,,,,,,
50.0,8192,18.58966827392578,,,,,,,,,,,,,,,
50.0,8704,20.196548461914062,-0.029916784225497393,50.55105748772621,0.2,-5.221764843165874,40,0.585400390625,0.0003,0.0,18.40993881225586,0.16936359,,,,,
50.0,9216,18.285137176513672,,,,,,,,,,,,,,,
50.0,9728,27.4991455078125,,,,,,,,,,,,,,,
50.0,10240,22.090351104736328,,,,,,,,,,,,,,,
50.0,10752,30.05986785888672,-0.029350018088007346,55.227868831157686,0.2,-5.215029528737068,50,0.580517578125,0.0003,0.0,21.041589736938477,0.17137691,,,,,
50.0,11264,28.380464553833008,,,,,,,,,,,,,,,
50.0,11776,22.825916290283203,,,,,,,,,,,,,,,
50.0,12288,18.16402816772461,,,,,,,,,,,,,,,
50.0,12800,26.189929962158203,-0.030993190460139885,51.99022454619408,0.2,-5.208785019814968,60,0.576171875,0.0003,1.1920928955078125e-07,23.779815673828125,0.17680624,,,,,
50.0,13312,25.591167449951172,,,,,,,,,,,,,,,
50.0,13824,23.83730125427246,,,,,,,,,,,,,,,
50.0,14336,20.429784774780273,,,,,,,,,,,,,,,
50.0,14848,21.190908432006836,-0.023310146303265354,53.712777787446974,0.2,-5.20650342553854,70,0.573095703125,0.0003,1.1920928955078125e-07,22.580232620239258,0.16913876,,,,,
50.0,15360,17.553924560546875,,,,,,,,,,,,,,,
50.0,15872,20.138710021972656,,,,,,,,,,,,,,,
50.0,16384,21.37055206298828,,,,,,,,,,,,,,,
50.0,16896,22.938650131225586,-0.03762077356368536,48.75441228747368,0.2,-5.205837516486644,80,0.58916015625,0.0003,0.0,22.95416831970215,0.17231715,,,,,
50.0,17408,24.11334991455078,,,,,,,,,,,,,,,
50.0,17920,19.36786460876465,,,,,,,,,,,,,,,
50.0,18432,18.905155181884766,,,,,,,,,,,,,,,
50.0,18944,17.533559799194336,-0.024209683744993528,54.34464007616043,0.2,-5.216888172924518,90,0.614208984375,0.0003,-1.1920928955078125e-07,34.69721603393555,0.16744998,,,,,
50.0,19456,15.877220153808594,,,,,,,,,,,,,,,
50.0,19968,24.27678680419922,,,,,,,,,,,,,,,
50.0,20480,25.870126724243164,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,50.0,10,76,21.573235599999997,268
50.0,20992,24.040172576904297,-0.026589528474141845,51.90707893371582,0.2,-5.223554584383964,100,0.59052734375,0.0003,0.0,20.559343338012695,0.16276318,,,,,
50.0,21504,21.02437973022461,,,,,,,,,,,,,,,
50.0,22016,28.30954933166504,,,,,,,,,,,,,,,
50.0,22528,22.803016662597656,,,,,,,,,,,,,,,
50.0,23040,17.219467163085938,-0.03241150688991183,55.69987481832504,0.2,-5.212813495099544,110,0.583642578125,0.0003,-1.1920928955078125e-07,17.718074798583984,0.16479416,,,,,
50.0,23552,19.227157592773438,,,,,,,,,,,,,,,
50.0,24064,28.016376495361328,,,,,,,,,,,,,,,
50.0,24576,15.442326545715332,,,,,,,,,,,,,,,
50.0,25088,30.990707397460938,-0.02408250059525017,54.40030775666237,0.2,-5.224621219933033,120,0.595849609375,0.0003,0.0,25.25560760498047,0.17004216,,,,,
50.0,25600,18.908615112304688,,,,,,,,,,,,,,,
50.0,26112,22.114151000976562,,,,,,,,,,,,,,,
50.0,26624,19.536453247070312,,,,,,,,,,,,,,,
50.0,27136,19.881683349609375,-0.026002465480996762,47.36620969772339,0.2,-5.216527800261974,130,0.5724609375,0.0003,5.960464477539063e-08,19.890886306762695,0.17541113,,,,,
50.0,27648,21.557138442993164,,,,,,,,,,,,,,,
50.0,28160,16.651185989379883,,,,,,,,,,,,,,,
50.0,28672,22.52173614501953,,,,,,,,,,,,,,,
50.0,29184,17.780099868774414,-0.04172168581208098,52.2499596297741,0.2,-5.214498199522495,140,0.5763671875,0.0003,0.0,23.955982208251953,0.16295141,,,,,
50.0,29696,25.744518280029297,,,,,,,,,,,,,,,
50.0,30208,25.14305305480957,,,,,,,,,,,,,,,
50.0,30720,22.764938354492188,,,,,,,,,,,,,,,
50.0,31232,21.30096435546875,-0.025260804523713886,56.8701448738575,0.2,-5.211478365957737,150,0.58095703125,0.0003,0.0,27.19832992553711,0.1714392,,,,,
50.0,31744,18.53499412536621,,,,,,,,,,,,,,,
50.0,32256,22.878177642822266,,,,,,,,,,,,,,,
50.0,32768,21.83361053466797,,,,,,,,,,,,,,,
50.0,33280,15.93208122253418,-0.020207864456460813,46.90479885339737,0.2,-5.211452981829643,160,0.5869140625,0.0003,0.0,22.681058883666992,0.18148391,,,,,
50.0,33792,21.669038772583008,,,,,,,,,,,,,,,
50.0,34304,23.02608871459961,,,,,,,,,,,,,,,
50.0,34816,26.65130615234375,,,,,,,,,,,,,,,
50.0,35328,21.003398895263672,-0.035043321130797264,51.69222128391266,0.2,-5.202765718102455,170,0.58798828125,0.0003,0.0,21.382843017578125,0.17609966,,,,,
50.0,35840,21.23110008239746,,,,,,,,,,,,,,,
50.0,36352,20.80091094970703,,,,,,,,,,,,,,,
50.0,36864,24.547447204589844,,,,,,,,,,,,,,,
50.0,37376,17.36459732055664,-0.030926250563788928,45.34219640493393,0.2,-5.20020563006401,180,0.593505859375,0.0003,0.0,21.095495223999023,0.17336276,,,,,
50.0,37888,19.908021926879883,,,,,,,,,,,,,,,
50.0,38400,19.984699249267578,,,,,,,,,,,,,,,
50.0,38912,22.207340240478516,,,,,,,,,,,,,,,
50.0,39424,26.384387969970703,-0.030675518640782683,50.33493242263794,0.2,-5.182900811731815,190,0.56494140625,0.0003,0.0,17.38651466369629,0.17146808,,,,,
50.0,39936,21.50582504272461,,,,,,,,,,,,,,,
50.0,40448,22.376089096069336,,,,,,,,,,,,,,,
50.0,40960,27.16604995727539,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,50.0,20,131,21.066490080000005,311
50.0,41472,21.70589256286621,-0.024856799964618405,51.39950448870659,0.2,-5.200887942314148,200,0.589697265625,0.0003,5.960464477539063e-08,25.4368896484375,0.18035145,,,,,
50.0,41984,20.686664581298828,,,,,,,,,,,,,,,
50.0,42496,21.462200164794922,,,,,,,,,,,,,,,
50.0,43008,21.701486587524414,,,,,,,,,,,,,,,
50.0,43520,25.005020141601562,-0.024384239779465133,56.28752529621124,0.2,-5.236621788144111,210,0.56826171875,0.0003,0.0,30.963375091552734,0.15807554,,,,,
50.0,44032,21.19265365600586,,,,,,,,,,,,,,,
50.0,44544,24.746967315673828,,,,,,,,,,,,,,,
50.0,45056,21.42537498474121,,,,,,,,,,,,,,,
50.0,45568,19.826244354248047,-0.0223799724233686,52.30552293658256,0.2,-5.239046630263329,220,0.57001953125,0.0003,-1.1920928955078125e-07,26.452470779418945,0.16210628,,,,,
50.0,46080,18.597475051879883,,,,,,,,,,,,,,,
50.0,46592,20.415571212768555,,,,,,,,,,,,,,,
50.0,47104,25.946979522705078,,,,,,,,,,,,,,,
50.0,47616,23.710819244384766,-0.024915953527670353,45.87645208835602,0.2,-5.2299422979354855,230,0.57939453125,0.0003,0.0,20.29413604736328,0.15753876,,,,,
50.0,48128,27.72602653503418,,,,,,,,,,,,,,,
50.0,48640,18.007699966430664,,,,,,,,,,,,,,,
50.0,49152,20.695213317871094,,,,,,,,,,,,,,,
50.0,49664,22.77427101135254,-0.031847146592917853,51.432636719942096,0.2,-5.229982267320156,240,0.55654296875,0.0003,0.0,15.80276870727539,0.16319598,,,,,
50.0,50176,21.754131317138672,,,,,,,,,,,,,,,
50.0,50688,18.931621551513672,,,,,,,,,,,,,,,
50.0,51200,20.21109962463379,,,,,,,,,,,,,,,
50.0,51712,23.022319793701172,-0.03675546509912238,52.18941237926483,0.2,-5.229824790358544,250,0.58330078125,0.0003,0.0,24.61366844177246,0.15725501,,,,,
50.0,52224,19.557151794433594,,,,,,,,,,,,,,,
50.0,52736,19.308307647705078,,,,,,,,,,,,,,,
50.0,53248,20.411867141723633,,,,,,,,,,,,,,,
50.0,53760,20.111356735229492,-0.045641277509275824,53.88604737520218,0.2,-5.233985830843449,260,0.5689453125,0.0003,0.0,24.994243621826172,0.15892377,,,,,
50.0,54272,21.35982322692871,,,,,,,,,,,,,,,
50.0,54784,23.878955841064453,,,,,,,,,,,,,,,
50.0,55296,23.520288467407227,,,,,,,,,,,,,,,
50.0,55808,28.26066780090332,-0.03310253092640778,48.59931257963181,0.2,-5.233275240659713,270,0.564794921875,0.0003,0.0,23.703210830688477,0.15839133,,,,,
50.0,56320,20.507518768310547,,,,,,,,,,,,,,,
50.0,56832,23.79669189453125,,,,,,,,,,,,,,,
50.0,57344,19.144840240478516,,,,,,,,,,,,,,,
50.0,57856,19.92840576171875,-0.020397335509187542,52.6330663561821,0.2,-5.213959296047688,280,0.556591796875,0.0003,0.0,26.85814666748047,0.15657008,,,,,
50.0,58368,18.86664581298828,,,,,,,,,,,,,,,
50.0,58880,13.061111450195312,,,,,,,,,,,,,,,
50.0,59392,20.624309539794922,,,,,,,,,,,,,,,
50.0,59904,25.42312240600586,-0.028147740926942787,57.26356792449951,0.2,-5.20715411156416,290,0.582861328125,0.0003,0.0,31.160579681396484,0.16930936,,,,,
50.0,60416,26.040122985839844,,,,,,,,,,,,,,,
50.0,60928,19.448749542236328,,,,,,,,,,,,,,,
50.0,61440,20.520565032958984,,,,,,,,,,,,,,,
,61440,,,,,,,,,,,,50.0,30,187,20.29459511,327
50.0,61952,19.15550994873047,-0.03323624967888463,50.08998323082924,0.2,-5.20402195751667,300,0.569921875,0.0003,0.0,21.616649627685547,0.16465566,,,,,
50.0,62464,20.753677368164062,,,,,,,,,,,,,,,
50.0,62976,21.663602828979492,,,,,,,,,,,,,,,
50.0,63488,23.878995895385742,,,,,,,,,,,,,,,
50.0,64000,24.68764877319336,-0.03211839037394384,52.04992985129356,0.2,-5.196649250388146,310,0.5912109375,0.0003,-1.1920928955078125e-07,32.44163131713867,0.15934628,,,,,
50.0,64512,25.609432220458984,,,,,,,,,,,,,,,
50.0,65024,18.543439865112305,,,,,,,,,,,,,,,
50.0,65536,18.083589553833008,,,,,,,,,,,,,,,
50.0,66048,26.41071891784668,-0.03622051911443123,50.35391391515732,0.2,-5.184022505581379,320,0.5912109375,0.0003,0.0,28.13880157470703,0.17126149,,,,,
50.0,66560,18.575660705566406,,,,,,,,,,,,,,,
50.0,67072,23.423871994018555,,,,,,,,,,,,,,,
50.0,67584,24.04938507080078,,,,,,,,,,,,,,,
50.0,68096,28.579219818115234,-0.023210012954950798,49.886013901233675,0.2,-5.215615947544575,330,0.553125,0.0003,5.960464477539063e-08,20.795717239379883,0.16333449,,,,,
50.0,68608,23.051286697387695,,,,,,,,,,,,,,,
50.0,69120,17.74552345275879,,,,,,,,,,,,,,,
50.0,69632,21.635417938232422,,,,,,,,,,,,,,,
50.0,70144,18.3549747467041,-0.03781470330868615,53.05463836193085,0.2,-5.196133098006248,340,0.565234375,0.0003,0.0,28.29204559326172,0.16477305,,,,,
50.0,70656,27.961711883544922,,,,,,,,,,,,,,,
50.0,71168,27.31879425048828,,,,,,,,,,,,,,,
50.0,71680,22.653827667236328,,,,,,,,,,,,,,,
50.0,72192,23.06873893737793,-0.027519351374940014,59.80500626564026,0.2,-5.18694693595171,350,0.5873046875,0.0003,0.0,27.139249801635742,0.16207811,,,,,
50.0,72704,19.802248001098633,,,,,,,,,,,,,,,
50.0,73216,23.032947540283203,,,,,,,,,,,,,,,
50.0,73728,26.17906951904297,,,,,,,,,,,,,,,
50.0,74240,20.336275100708008,-0.026102810495649463,56.25422034263611,0.2,-5.2069209352135655,360,0.573291015625,0.0003,5.960464477539063e-08,41.188438415527344,0.17306107,,,,,
50.0,74752,19.191518783569336,,,,,,,,,,,,,,,
50.0,75264,18.489120483398438,,,,,,,,,,,,,,,
50.0,75776,20.47403335571289,,,,,,,,,,,,,,,
50.0,76288,24.244789123535156,-0.018541643102071247,47.33134531378746,0.2,-5.216792449355125,370,0.559619140625,0.0003,0.0,25.07169532775879,0.15761074,,,,,
50.0,76800,19.630069732666016,,,,,,,,,,,,,,,
