time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/entropy_loss,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
512,40.0,23.369983673095703,,,,,,,,,,,,,,,
1024,40.0,24.704452514648438,,,,,,,,,,,,,,,
1536,40.0,23.629621505737305,,,,,,,,,,,,,,,
2048,40.0,21.334606170654297,,,,,,,,,,,,,,,
2560,40.0,27.497316360473633,-5.297018338739872,9.167194366455078e-05,10,0.0003,0.3748046875,0.15081033,86809.95637207032,0.03033691166783683,37670.50390625,0.2,,,,,
3072,40.0,21.309276580810547,,,,,,,,,,,,,,,
3584,40.0,29.241018295288086,,,,,,,,,,,,,,,
4096,40.0,24.26629638671875,,,,,,,,,,,,,,,
4608,40.0,19.351322174072266,-5.293374614417553,0.0,20,0.0003,0.392236328125,0.150321,86104.86977539063,0.0333249296003487,41558.87890625,0.2,,,,,
5120,40.0,15.302803993225098,,,,,,,,,,,,,,,
5632,40.0,23.581504821777344,,,,,,,,,,,,,,,
6144,40.0,14.889347076416016,,,,,,,,,,,,,,,
6656,40.0,29.064571380615234,-5.2895053893327715,1.7881393432617188e-07,30,0.0003,0.412109375,0.1527456,83738.47749023438,0.02915910216543125,46293.87890625,0.2,,,,,
7168,40.0,32.67985534667969,,,,,,,,,,,,,,,
7680,40.0,28.9085693359375,,,,,,,,,,,,,,,
8192,40.0,29.0273380279541,,,,,,,,,,,,,,,
8704,40.0,28.895523071289062,-5.286174704134464,5.960464477539063e-08,40,0.0003,0.408837890625,0.1483778,86370.7767578125,0.021308222085644958,44504.125,0.2,,,,,
9216,40.0,27.24600601196289,,,,,,,,,,,,,,,
9728,40.0,25.684682846069336,,,,,,,,,,,,,,,
10240,40.0,25.105003356933594,,,,,,,,,,,,,,,
10752,40.0,33.217350006103516,-5.284673875570297,0.0,50,0.0003,0.416064453125,0.15392399,82918.02385253906,0.028115353494649754,43858.31640625,0.2,,,,,
11264,40.0,31.26287078857422,,,,,,,,,,,,,,,
11776,40.0,33.75139617919922,,,,,,,,,,,,,,,
12288,40.0,18.985366821289062,,,,,,,,,,,,,,,
12800,40.0,16.774133682250977,-5.280931279063225,0.0,60,0.0003,0.435546875,0.15321252,77912.3842163086,0.037696507717191706,36377.21484375,0.2,,,,,
13312,40.0,19.61007308959961,,,,,,,,,,,,,,,
13824,40.0,20.494218826293945,,,,,,,,,,,,,,,
14336,40.0,26.913827896118164,,,,,,,,,,,,,,,
14848,40.0,20.867855072021484,-5.27846861332655,0.0,70,0.0003,0.43466796875,0.15473214,80048.07517089843,0.025032085977727547,39731.3125,0.2,,,,,
15360,40.0,20.72821044921875,,,,,,,,,,,,,,,
15872,40.0,26.45830535888672,,,,,,,,,,,,,,,
16384,40.0,26.922592163085938,,,,,,,,,,,,,,,
16896,40.0,24.029211044311523,-5.276956909894944,5.960464477539063e-08,80,0.0003,0.4490234375,0.15771472,79717.87587890626,0.030846834057592788,32186.955078125,0.2,,,,,
17408,40.0,21.012264251708984,,,,,,,,,,,,,,,
17920,40.0,23.528810501098633,,,,,,,,,,,,,,,
18432,40.0,23.894315719604492,,,,,,,,,,,,,,,
18944,40.0,25.182937622070312,-5.274674108624458,5.960464477539063e-08,90,0.0003,0.460791015625,0.16730109,75804.36004638672,0.023344944331620356,37450.46484375,0.2,,,,,
19456,40.0,34.49522399902344,,,,,,,,,,,,,,,
19968,40.0,29.010343551635742,,,,,,,,,,,,,,,
20480,40.0,25.227581024169922,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,10,52,393,40.0,910.77466429
20992,40.0,19.110673904418945,-5.27077000439167,0.0,100,0.0003,0.459765625,0.15212853,78082.92947998046,0.022916621758486144,41711.1328125,0.2,,,,,
21504,40.0,20.701892852783203,,,,,,,,,,,,,,,
22016,40.0,29.591882705688477,,,,,,,,,,,,,,,
22528,40.0,29.69628143310547,,,,,,,,,,,,,,,
23040,40.0,16.749448776245117,-5.266853685677051,0.0,110,0.0003,0.455615234375,0.15524086,79591.30466308593,0.040177871228661385,40587.359375,0.2,,,,,
23552,40.0,24.130970001220703,,,,,,,,,,,,,,,
24064,40.0,19.13961410522461,,,,,,,,,,,,,,,
24576,40.0,20.092700958251953,,,,,,,,,,,,,,,
25088,40.0,19.561708450317383,-5.265272375941277,5.960464477539063e-08,120,0.0003,0.45927734375,0.15145937,74325.8692993164,0.04018097353982739,41435.5859375,0.2,,,,,
25600,40.0,25.4388370513916,,,,,,,,,,,,,,,
26112,40.0,23.802078247070312,,,,,,,,,,,,,,,
26624,40.0,27.105670928955078,,,,,,,,,,,,,,,
27136,40.0,26.644397735595703,-5.264481481909752,5.960464477539063e-08,130,0.0003,0.4369140625,0.1558915,77997.0031982422,0.02481629329849966,35268.34765625,0.2,,,,,
27648,40.0,28.908153533935547,,,,,,,,,,,,,,,
28160,40.0,23.400724411010742,,,,,,,,,,,,,,,
28672,40.0,20.225120544433594,,,,,,,,,,,,,,,
29184,40.0,22.52109146118164,-5.265654867887497,5.960464477539063e-08,140,0.0003,0.4484375,0.1616572,79025.69521484376,0.031214097600604875,36513.6640625,0.2,,,,,
29696,40.0,19.91168212890625,,,,,,,,,,,,,,,
30208,40.0,18.447595596313477,,,,,,,,,,,,,,,
30720,40.0,25.233999252319336,,,,,,,,,,,,,,,
31232,40.0,25.979995727539062,-5.2679557502269745,5.960464477539063e-08,150,0.0003,0.446484375,0.15618685,76889.29501953124,0.03174475252453703,35961.1171875,0.2,,,,,
31744,40.0,27.038835525512695,,,,,,,,,,,,,,,
32256,40.0,20.913345336914062,,,,,,,,,,,,,,,
32768,40.0,24.02105712890625,,,,,,,,,,,,,,,
33280,40.0,31.8056640625,-5.268862850964069,-1.1920928955078125e-07,160,0.0003,0.445849609375,0.1461268,77902.88675537109,0.025480472194612958,43045.265625,0.2,,,,,
33792,40.0,20.58121681213379,,,,,,,,,,,,,,,
34304,40.0,23.214397430419922,,,,,,,,,,,,,,,
34816,40.0,29.40271759033203,,,,,,,,,,,,,,,
35328,40.0,22.118154525756836,-5.268526688218117,-1.1920928955078125e-07,170,0.0003,0.44951171875,0.1501826,88868.99208984376,0.042134184601309244,38500.12109375,0.2,,,,,
35840,40.0,18.946657180786133,,,,,,,,,,,,,,,
36352,40.0,21.196121215820312,,,,,,,,,,,,,,,
36864,40.0,24.049148559570312,,,,,,,,,,,,,,,
37376,40.0,25.944225311279297,-5.269986353814602,0.0,180,0.0003,0.440625,0.15029347,79877.79473876953,0.03588573392480612,38062.390625,0.2,,,,,
37888,40.0,22.125732421875,,,,,,,,,,,,,,,
38400,40.0,30.738828659057617,,,,,,,,,,,,,,,
38912,40.0,31.45340347290039,,,,,,,,,,,,,,,
39424,40.0,26.917247772216797,-5.269227162003517,0.0,190,0.0003,0.441552734375,0.15995055,75610.19136962891,0.023996959179930853,37612.72265625,0.2,,,,,
39936,40.0,16.828615188598633,,,,,,,,,,,,,,,
40448,40.0,29.242023468017578,,,,,,,,,,,,,,,
40960,40.0,21.6005859375,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,20,105,388,40.0,932.60177036
41472,40.0,30.7078800201416,-5.267078970372677,0.0,200,0.0003,0.46005859375,0.15787391,78624.78646240235,0.026800765804364347,39577.14453125,0.2,,,,,
41984,40.0,28.814220428466797,,,,,,,,,,,,,,,
42496,40.0,32.09200668334961,,,,,,,,,,,,,,,
43008,40.0,24.530780792236328,,,,,,,,,,,,,,,
43520,40.0,21.895999908447266,-5.269510671496391,5.960464477539063e-08,210,0.0003,0.43740234375,0.15662998,74385.98214111329,0.031037566805025563,37622.89453125,0.2,,,,,
44032,40.0,24.142784118652344,,,,,,,,,,,,,,,
44544,40.0,27.734554290771484,,,,,,,,,,,,,,,
45056,40.0,27.467342376708984,,,,,,,,,,,,,,,
45568,40.0,30.30420684814453,-5.272105896472931,1.1920928955078125e-07,220,0.0003,0.45234375,0.15646815,72279.99930419921,0.027280696335947142,29770.94921875,0.2,,,,,
46080,40.0,23.435138702392578,,,,,,,,,,,,,,,
46592,40.0,30.610965728759766,,,,,,,,,,,,,,,
47104,40.0,20.856388092041016,,,,,,,,,,,,,,,
47616,40.0,20.343852996826172,-5.272360923886299,0.0,230,0.0003,0.436376953125,0.15369233,67536.56108398437,0.030845239383052104,31008.693359375,0.2,,,,,
48128,40.0,31.131019592285156,,,,,,,,,,,,,,,
48640,40.0,17.610939025878906,,,,,,,,,,,,,,,
49152,40.0,24.771560668945312,,,,,,,,,,,,,,,
49664,40.0,21.089679718017578,-5.269453531503677,-1.1920928955078125e-07,240,0.0003,0.454345703125,0.1556077,74894.9176147461,0.027751429210184142,33303.6015625,0.2,,,,,
50176,40.0,25.319454193115234,,,,,,,,,,,,,,,
50688,40.0,28.19167137145996,,,,,,,,,,,,,,,
51200,40.0,27.241777420043945,,,,,,,,,,,,,,,
51712,40.0,24.23017120361328,-5.266299080848694,-1.1920928955078125e-07,250,0.0003,0.454638671875,0.15169391,71960.03104248046,0.02695160892471904,32662.482421875,0.2,,,,,
52224,40.0,29.630964279174805,,,,,,,,,,,,,,,
52736,40.0,26.120054244995117,,,,,,,,,,,,,,,
53248,40.0,18.892364501953125,,,,,,,,,,,,,,,
53760,40.0,24.39435577392578,-5.262869493663311,0.0,260,0.0003,0.460205078125,0.15220025,68118.2954711914,0.03524234800715931,32261.59765625,0.2,,,,,
54272,40.0,24.137868881225586,,,,,,,,,,,,,,,
54784,40.0,24.38881492614746,,,,,,,,,,,,,,,
55296,40.0,21.632671356201172,,,,,,,,,,,,,,,
55808,40.0,26.701377868652344,-5.2601492837071415,0.0,270,0.0003,0.4736328125,0.16338123,75959.89539794922,0.03440816805377835,33381.73046875,0.2,,,,,
56320,40.0,21.03595733642578,,,,,,,,,,,,,,,
56832,40.0,21.462453842163086,,,,,,,,,,,,,,,
57344,40.0,22.96018409729004,,,,,,,,,,,,,,,
57856,40.0,24.22005844116211,-5.262179334461689,1.7881393432617188e-07,280,0.0003,0.46123046875,0.16414262,69972.44759521485,0.03847272388084093,33472.03125,0.2,,,,,
58368,40.0,27.087778091430664,,,,,,,,,,,,,,,
58880,40.0,23.656585693359375,,,,,,,,,,,,,,,
59392,40.0,21.853107452392578,,,,,,,,,,,,,,,
59904,40.0,26.013399124145508,-5.2619961440563205,1.7881393432617188e-07,290,0.0003,0.44990234375,0.15764992,75808.46104736328,0.027723913347290362,37568.22265625,0.2,,,,,
60416,40.0,26.57238006591797,,,,,,,,,,,,,,,
60928,40.0,19.15985679626465,,,,,,,,,,,,,,,
61440,40.0,26.349620819091797,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,30,160,383,40.0,929.0108176599999
61952,40.0,26.12799072265625,-5.25989181548357,-1.1920928955078125e-07,300,0.0003,0.44345703125,0.15203962,71676.8384399414,0.02776932209962979,36683.140625,0.2,,,,,
62464,40.0,20.836915969848633,,,,,,,,,,,,,,,
62976,40.0,26.729480743408203,,,,,,,,,,,,,,,
63488,40.0,20.947641372680664,,,,,,,,,,,,,,,
64000,40.0,26.025535583496094,-5.260499531030655,-2.384185791015625e-07,310,0.0003,0.46416015625,0.1580097,64994.437280273436,0.0338746695080772,30521.787109375,0.2,,,,,
64512,40.0,22.209514617919922,,,,,,,,,,,,,,,
65024,40.0,27.473018646240234,,,,,,,,,,,,,,,
65536,40.0,23.571067810058594,,,,,,,,,,,,,,,
66048,40.0,27.02938461303711,-5.259330733120441,0.0,320,0.0003,0.44384765625,0.15468737,70426.9856201172,0.032159030002367216,33874.5625,0.2,,,,,
66560,40.0,29.69416046142578,,,,,,,,,,,,,,,
67072,40.0,26.611417770385742,,,,,,,,,,,,,,,
67584,40.0,22.439058303833008,,,,,,,,,,,,,,,
68096,40.0,20.89904022216797,-5.2559440895915035,1.7881393432617188e-07,330,0.0003,0.46064453125,0.15781401,68688.42469482422,0.031510335741040764,43512.97265625,0.2,,,,,
68608,40.0,26.913799285888672,,,,,,,,,,,,,,,
69120,40.0,25.339509963989258,,,,,,,,,,,,,,,
69632,40.0,23.532499313354492,,,,,,,,,,,,,,,
70144,40.0,25.843578338623047,-5.251210531592369,-1.1920928955078125e-07,340,0.0003,0.4640625,0.15741807,74344.39938964843,0.01957432246854296,37114.57421875,0.2,,,,,
70656,40.0,26.066673278808594,,,,,,,,,,,,,,,
71168,40.0,37.606563568115234,,,,,,,,,,,,,,,
71680,40.0,26.403940200805664,,,,,,,,,,,,,,,
72192,40.0,26.387592315673828,-5.245776154100895,0.0,350,0.0003,0.471875,0.16581343,67649.82670898437,0.031139659888867754,36178.72265625,0.2,,,,,
72704,40.0,23.85873794555664,,,,,,,,,,,,,,,
73216,40.0,25.528928756713867,,,,,,,,,,,,,,,
73728,40.0,18.5948429107666,,,,,,,,,,,,,,,
74240,40.0,21.4966983795166,-5.243964836001396,0.0,360,0.0003,0.449951171875,0.16385965,71037.94317626953,0.025911201164126395,30323.583984375,0.2,,,,,
74752,40.0,22.990999221801758,,,,,,,,,,,,,,,
75264,40.0,21.328746795654297,,,,,,,,,,,,,,,
75776,40.0,31.26409149169922,,,,,,,,,,,,,,,
76288,40.0,21.11546516418457,-5.243104845285416,0.0,370,0.0003,0.45791015625,0.15637079,69927.54442138672,0.03955115613644011,37499.859375,0.2,,,,,
76800,40.0,25.91366958618164,,,,,,,,,,,,,,,
77312,40.0,27.634761810302734,,,,,,,,,,,,,,,
77824,40.0,27.124629974365234,,,,,,,,,,,,,,,
78336,40.0,18.822891235351562,-5.241588680446148,0.0,380,0.0003,0.4609375,0.15665899,62906.74282226562,0.01863691308972193,32284.7890625,0.2,,,,,
78848,40.0,25.57852554321289,,,,,,,,,,,,,,,
79360,40.0,22.819835662841797,,,,,,,,,,,,,,,
79872,40.0,27.574085235595703,,,,,,,,,,,,,,,
80384,40.0,24.922191619873047,-5.249942012131214,0.0,390,0.0003,0.47958984375,0.1686756,68515.25302734374,0.03647649035192444,33404.875,0.2,,,,,
80896,40.0,29.409656524658203,,,,,,,,,,,,,,,
81408,40.0,19.919355392456055,,,,,,,,,,,,,,,
81920,40.0,15.856611251831055,,,,,,,,,,,,,,,
