eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps
27.0,1024,45.369903564453125,,,,,,,,,,,,,,,
27.0,2048,34.974430084228516,,,,,,,,,,,,,,,
27.0,3072,40.74858093261719,0.2,45086.59375,-5.269050598144531e-05,-5.885615514218808,0.0003,84467.46333007813,0.025581667,-0.06390618267469109,10,0.276708984375,,,,,
27.0,4096,37.802757263183594,,,,,,,,,,,,,,,
27.0,5120,43.83500671386719,0.2,41561.71484375,1.1920928955078125e-07,-5.884304547309876,0.0003,84799.78193359375,0.028145684,-0.06277144346386195,20,0.290234375,,,,,
27.0,6144,43.85308074951172,,,,,,,,,,,,,,,
27.0,7168,45.8078498840332,0.2,46769.25390625,0.0,-5.883251106739044,0.0003,84459.03508300781,0.029016832,-0.06249804093968123,30,0.296728515625,,,,,
27.0,8192,35.8780403137207,,,,,,,,,,,,,,,
27.0,9216,41.50099182128906,0.2,40222.80859375,0.0,-5.882099194824695,0.0003,83744.37760009765,0.031333707,-0.059100089315325025,40,0.3044921875,,,,,
27.0,10240,39.459739685058594,,,,,,,,,,,,,,,
27.0,11264,40.18566131591797,0.2,41443.78125,0.0,-5.88044640570879,0.0003,82979.00893554688,0.030302498,-0.061621764220763,50,0.3099609375,,,,,
27.0,12288,38.313636779785156,,,,,,,,,,,,,,,
27.0,13312,35.85047912597656,0.2,43918.28515625,-1.1920928955078125e-07,-5.8784324184060095,0.0003,89106.54064941406,0.03101678,-0.06106231360463425,60,0.29287109375,,,,,
27.0,14336,38.792301177978516,,,,,,,,,,,,,,,
27.0,15360,38.79872131347656,0.2,39281.625,0.0,-5.876334737241268,0.0003,83442.345703125,0.02798694,-0.06218715497525409,70,0.289404296875,,,,,
27.0,16384,44.248931884765625,,,,,,,,,,,,,,,
27.0,17408,34.44966125488281,0.2,43298.8046875,0.0,-5.874957078695298,0.0003,82544.00096435547,0.026529284,-0.0618713412899524,80,0.28681640625,,,,,
27.0,18432,36.513790130615234,,,,,,,,,,,,,,,
27.0,19456,43.72532653808594,0.2,37663.45703125,0.0,-5.8739132836461065,0.0003,82290.5954345703,0.0290916,-0.060033356538042426,90,0.305810546875,,,,,
27.0,20480,34.55461883544922,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,704.58831405,68,10,27.0,297
27.0,21504,34.935096740722656,0.2,32578.99609375,-2.384185791015625e-07,-5.872543253004551,0.0003,76562.61434326172,0.030355988,-0.061306310456711796,100,0.2947265625,,,,,
27.0,22528,40.0687141418457,,,,,,,,,,,,,,,
27.0,23552,38.947975158691406,0.2,42493.98828125,0.0,-5.871437802910805,0.0003,81386.28713378907,0.030879281,-0.0636213288991712,110,0.314208984375,,,,,
27.0,24576,46.42127990722656,,,,,,,,,,,,,,,
27.0,25600,36.01933288574219,0.2,42424.66796875,0.0,-5.87016741335392,0.0003,84137.03884277344,0.028562497,-0.06223952763248235,120,0.2826171875,,,,,
27.0,26624,39.698265075683594,,,,,,,,,,,,,,,
27.0,27648,44.03703308105469,0.2,35124.2734375,0.0,-5.868224309384823,0.0003,73526.96934814453,0.02809009,-0.06175956758670509,130,0.29755859375,,,,,
27.0,28672,39.09577178955078,,,,,,,,,,,,,,,
27.0,29696,41.72237777709961,0.2,36056.94921875,-1.1920928955078125e-07,-5.8662493750452995,0.0003,79980.1271118164,0.028597001,-0.05807898982893676,140,0.301708984375,,,,,
27.0,30720,37.079139709472656,,,,,,,,,,,,,,,
27.0,31744,38.55486297607422,0.2,37612.95703125,0.0,-5.864687915146351,0.0003,77509.47839355469,0.029342307,-0.06091985477833077,150,0.2978515625,,,,,
27.0,32768,39.81761169433594,,,,,,,,,,,,,,,
27.0,33792,41.18651580810547,0.2,39314.71875,1.7881393432617188e-07,-5.862896598875523,0.0003,80582.57385253906,0.03083859,-0.06391280631069093,160,0.29892578125,,,,,
27.0,34816,44.718597412109375,,,,,,,,,,,,,,,
27.0,35840,39.05105209350586,0.2,36944.4765625,0.0,-5.861266650259495,0.0003,73733.22312011718,0.02709695,-0.060941208445001394,170,0.283984375,,,,,
27.0,36864,37.12599563598633,,,,,,,,,,,,,,,
27.0,37888,38.886661529541016,0.2,39505.4140625,0.0,-5.860225217044354,0.0003,78235.97019042968,0.03085059,-0.06230133215431124,180,0.294677734375,,,,,
27.0,38912,40.801536560058594,,,,,,,,,,,,,,,
27.0,39936,39.43438720703125,0.2,37911.37890625,0.0,-5.8581463396549225,0.0003,78374.62764892579,0.028810252,-0.06031678079161793,190,0.290625,,,,,
27.0,40960,36.83992004394531,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,716.3437761800001,137,20,27.0,298
27.0,41984,35.75556182861328,0.2,42333.81640625,-2.384185791015625e-07,-5.85643999427557,0.0003,78824.74509277343,0.032507084,-0.058446673618163913,200,0.317578125,,,,,
27.0,43008,40.952781677246094,,,,,,,,,,,,,,,
27.0,44032,41.16123580932617,0.2,39747.54296875,0.0,-5.855029617249966,0.0003,78701.0540649414,0.030657284,-0.06198300984688103,210,0.309228515625,,,,,
27.0,45056,42.434608459472656,,,,,,,,,,,,,,,
27.0,46080,44.9589729309082,0.2,35383.1015625,0.0,-5.853713577985763,0.0003,76905.47945556641,0.030684892,-0.05912122786976397,220,0.3076171875,,,,,
27.0,47104,40.232852935791016,,,,,,,,,,,,,,,
27.0,48128,39.72370147705078,0.2,40640.6953125,1.7881393432617188e-07,-5.852558225393295,0.0003,78445.4532836914,0.028910585,-0.06124379960820079,230,0.2943359375,,,,,
27.0,49152,40.50046920776367,,,,,,,,,,,,,,,
27.0,50176,39.8846321105957,0.2,42655.49609375,-1.1920928955078125e-07,-5.851986771821975,0.0003,79648.36303710938,0.02717944,-0.06122207825537771,240,0.28251953125,,,,,
27.0,51200,37.99308776855469,,,,,,,,,,,,,,,
27.0,52224,38.1004638671875,0.2,36275.984375,-2.384185791015625e-07,-5.851453492045403,0.0003,72091.31496582032,0.0278562,-0.05851123734610155,250,0.2990234375,,,,,
27.0,53248,39.17378234863281,,,,,,,,,,,,,,,
27.0,54272,38.19424819946289,0.2,34417.0390625,-2.384185791015625e-07,-5.8499175876379015,0.0003,77335.21119384766,0.030911773,-0.06177734789671376,260,0.317724609375,,,,,
27.0,55296,44.10089874267578,,,,,,,,,,,,,,,
27.0,56320,37.820770263671875,0.2,35525.38671875,-1.1920928955078125e-07,-5.847543047368527,0.0003,78115.22962646485,0.028516822,-0.05741449483903125,270,0.2916015625,,,,,
27.0,57344,38.738059997558594,,,,,,,,,,,,,,,
27.0,58368,36.687843322753906,0.2,36539.7734375,-1.1920928955078125e-07,-5.8434538632631305,0.0003,73678.68309326172,0.0331436,-0.06293489047093317,280,0.31259765625,,,,,
27.0,59392,42.20228576660156,,,,,,,,,,,,,,,
27.0,60416,42.038536071777344,0.2,35845.828125,1.1920928955078125e-07,-5.841371105611325,0.0003,71220.18460693359,0.030586332,-0.05911400730255991,290,0.29990234375,,,,,
27.0,61440,40.62047576904297,,,,,,,,,,,,,,,
,61440,,,,,,,,,,,,706.3654338299999,206,30,27.0,298
27.0,62464,37.76445770263672,0.2,35940.12109375,1.7881393432617188e-07,-5.8411894455552105,0.0003,73254.75302734374,0.03274718,-0.05963220177218318,300,0.31484375,,,,,
27.0,63488,39.47739028930664,,,,,,,,,,,,,,,
27.0,64512,41.45861053466797,0.2,39521.4140625,-1.1920928955078125e-07,-5.839075301587582,0.0003,76371.68449707031,0.031501867,-0.058277708292007444,310,0.309130859375,,,,,
27.0,65536,40.86219787597656,,,,,,,,,,,,,,,
27.0,66560,38.190006256103516,0.2,34974.81640625,-1.1920928955078125e-07,-5.836342568695545,0.0003,71411.498828125,0.028940706,-0.05692530862870626,320,0.2978515625,,,,,
27.0,67584,36.922428131103516,,,,,,,,,,,,,,,
27.0,68608,38.01536178588867,0.2,37104.0859375,0.0,-5.835619932413101,0.0003,70065.08818359375,0.03121065,-0.058666345197707415,330,0.318359375,,,,,
27.0,69632,41.33396911621094,,,,,,,,,,,,,,,
27.0,70656,40.00104904174805,0.2,31428.3984375,-2.384185791015625e-07,-5.835074751079082,0.0003,70226.1622680664,0.02922266,-0.06240590837551281,340,0.291455078125,,,,,
27.0,71680,43.19171905517578,,,,,,,,,,,,,,,
27.0,72704,40.466705322265625,0.2,31671.810546875,1.7881393432617188e-07,-5.833575665950775,0.0003,69102.86241455078,0.03198633,-0.058730339049361646,350,0.298046875,,,,,
27.0,73728,35.174869537353516,,,,,,,,,,,,,,,
27.0,74752,40.00505828857422,0.2,31867.78125,0.0,-5.829800672829151,0.0003,70538.87197265626,0.029814925,-0.06498414191883058,360,0.298486328125,,,,,
27.0,75776,37.871925354003906,,,,,,,,,,,,,,,
27.0,76800,39.25190734863281,0.2,38836.48828125,-2.384185791015625e-07,-5.826167486608028,0.0003,74503.6891845703,0.028478786,-0.058129155018832535,370,0.2853515625,,,,,
27.0,77824,38.68050003051758,,,,,,,,,,,,,,,
27.0,78848,39.00099182128906,0.2,35055.01953125,1.1920928955078125e-07,-5.823894876241684,0.0003,77884.27073974609,0.032174103,-0.05683722849935293,380,0.31552734375,,,,,
27.0,79872,44.33194351196289,,,,,,,,,,,,,,,
27.0,80896,35.51121520996094,0.2,34812.87890625,0.0,-5.821772855520249,0.0003,71507.60989990234,0.029261013,-0.061534885736182335,390,0.287841796875,,,,,
27.0,81920,41.18817138671875,,,,,,,,,,,,,,,
,81920,,,,,,,,,,,,724.65147658,275,40,27.0,297
27.0,82944,40.76531219482422,0.2,38886.24609375,1.1920928955078125e-07,-5.825593461096287,0.0003,72162.536328125,0.031908527,-0.05391315298038535,400,0.305810546875,,,,,
27.0,83968,36.20390319824219,,,,,,,,,,,,,,,
27.0,84992,41.5853157043457,0.2,36569.42578125,0.0,-5.827272453904152,0.0003,68568.18552246093,0.02892566,-0.05897172306431457,410,0.29345703125,,,,,
