eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/loss,train/value_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
36.0,781312,54.57732009887695,,,,,,,,,,,,,,,
36.0,782336,55.870941162109375,,,,,,,,,,,,,,,
36.0,783360,56.87249755859375,26199.615234375,52357.59829101562,0.30390625,0.0,-0.01407304275489878,3820,0.0003,-5.080475977063179,0.029302232,0.2,,,,,
36.0,784384,58.45606994628906,,,,,,,,,,,,,,,
36.0,785408,58.401573181152344,31578.091796875,53787.100317382814,0.32275390625,0.0,-0.009151593723800033,3830,0.0003,-5.074301365017891,0.03103782,0.2,,,,,
36.0,786432,57.719268798828125,,,,,,,,,,,,,,,
36.0,787456,63.52018737792969,21923.29296875,48711.854711914064,0.332275390625,0.0,-0.017630033608293162,3840,0.0003,-5.055899357795715,0.034354024,0.2,,,,,
36.0,788480,55.682857513427734,,,,,,,,,,,,,,,
36.0,789504,59.21818923950195,23754.81640625,50723.90693359375,0.27841796875,0.0,-0.007381668078596704,3850,0.0003,-5.04234094619751,0.028079888,0.2,,,,,
36.0,790528,54.644405364990234,,,,,,,,,,,,,,,
36.0,791552,59.40082931518555,25604.720703125,52597.331640625,0.31376953125,1.7881393432617188e-07,-0.010609479865524917,3860,0.0003,-5.034998565912247,0.03184242,0.2,,,,,
36.0,792576,57.110233306884766,,,,,,,,,,,,,,,
36.0,793600,56.89329528808594,26532.734375,52510.56517333984,0.301611328125,1.1920928955078125e-07,-0.01370273920474574,3870,0.0003,-5.044552063941955,0.030193117,0.2,,,,,
36.0,794624,54.195068359375,,,,,,,,,,,,,,,
36.0,795648,57.28158187866211,23594.751953125,48038.68806152344,0.282421875,0.0,-0.0058274601789889855,3880,0.0003,-5.062881594896316,0.029448237,0.2,,,,,
36.0,796672,63.27421569824219,,,,,,,,,,,,,,,
36.0,797696,58.927528381347656,28184.462890625,52958.87557373047,0.3181640625,0.0,-0.018827434425475076,3890,0.0003,-5.04832684546709,0.030205935,0.2,,,,,
36.0,798720,58.539066314697266,,,,,,,,,,,,,,,
36.0,799744,58.6104850769043,26946.60546875,51208.76511230469,0.269970703125,0.0,-0.0155664301244542,3900,0.0003,-5.051281182467937,0.025645722,0.2,,,,,
36.0,800768,60.714820861816406,,,,,,,,,,,,,,,
,800768,,,,,,,,,,,,10,190,107,36.0,1351.1248371799998
36.0,801792,59.80375289916992,23592.650390625,48098.244079589844,0.31162109375,0.0,-0.014151853919611313,3910,0.0003,-5.071576614677906,0.028897243,0.2,,,,,
36.0,802816,63.34444808959961,,,,,,,,,,,,,,,
36.0,803840,56.23846435546875,22992.119140625,51117.1220703125,0.324560546875,-1.1920928955078125e-07,-0.014744898542994633,3920,0.0003,-5.059264548122883,0.031153828,0.2,,,,,
36.0,804864,58.21413040161133,,,,,,,,,,,,,,,
36.0,805888,64.62842559814453,25357.076171875,46783.28016357422,0.310693359375,0.0,-0.012835323545732535,3930,0.0003,-5.050968381762504,0.03053606,0.2,,,,,
36.0,806912,60.685302734375,,,,,,,,,,,,,,,
36.0,807936,55.724281311035156,25257.587890625,52626.93256835938,0.33232421875,0.0,-0.008178133130422793,3940,0.0003,-5.026035729050636,0.03219674,0.2,,,,,
36.0,808960,58.42497253417969,,,,,,,,,,,,,,,
36.0,809984,57.887351989746094,23820.021484375,47375.53813476562,0.286767578125,0.0,-0.011414022021926939,3950,0.0003,-5.021190990507603,0.02955313,0.2,,,,,
36.0,811008,61.825340270996094,,,,,,,,,,,,,,,
36.0,812032,59.27463150024414,21246.578125,42854.62022705078,0.354296875,0.0,0.00012035003019263967,3960,0.0003,-5.014250274002552,0.03499355,0.2,,,,,
36.0,813056,61.93614959716797,,,,,,,,,,,,,,,
36.0,814080,62.79878234863281,24228.994140625,48553.34005126953,0.32236328125,-2.384185791015625e-07,-0.01070259983825963,3970,0.0003,-5.00704583376646,0.03080913,0.2,,,,,
36.0,815104,59.16536331176758,,,,,,,,,,,,,,,
36.0,816128,58.69725799560547,21933.822265625,50373.068090820314,0.3291015625,0.0,-0.005424608613247983,3980,0.0003,-4.994205182790756,0.03202603,0.2,,,,,
36.0,817152,62.045692443847656,,,,,,,,,,,,,,,
36.0,818176,65.36550903320312,26347.166015625,46795.90468139648,0.3046875,1.1920928955078125e-07,-0.0021386933425674216,3990,0.0003,-4.994884662330151,0.029211426,0.2,,,,,
36.0,819200,59.775787353515625,,,,,,,,,,,,,,,
36.0,820224,57.76493835449219,21615.48046875,48210.4244140625,0.309375,0.0,-0.01203659903985681,4000,0.0003,-4.961004149913788,0.027400497,0.2,,,,,
36.0,821248,58.529441833496094,,,,,,,,,,,,,,,
,821248,,,,,,,,,,,,20,384,106,36.0,1348.89801694
36.0,822272,62.067100524902344,22670.09375,44443.48704833984,0.2580078125,0.0,-0.011532290850300341,4010,0.0003,-4.92899175286293,0.025088824,0.2,,,,,
36.0,823296,60.952239990234375,,,,,,,,,,,,,,,
36.0,824320,62.99488830566406,16549.732421875,44950.592578125,0.30546875,-1.1920928955078125e-07,-0.011982536074356176,4020,0.0003,-4.9007059097290036,0.02938487,0.2,,,,,
36.0,825344,61.34479904174805,,,,,,,,,,,,,,,
36.0,826368,62.091270446777344,19317.70703125,42391.153411865234,0.309521484375,0.0,-0.009572457853937521,4030,0.0003,-4.878525687754154,0.029911384,0.2,,,,,
36.0,827392,60.777198791503906,,,,,,,,,,,,,,,
36.0,828416,59.030914306640625,27201.46875,54727.83195800781,0.289794921875,0.0,-0.0025711615846375933,4040,0.0003,-4.896059940755367,0.028384643,0.2,,,,,
36.0,829440,61.704315185546875,,,,,,,,,,,,,,,
36.0,830464,59.19437026977539,22266.35546875,47533.39080810547,0.2849609375,0.0,-0.015688126353779808,4050,0.0003,-4.901837582886219,0.028683081,0.2,,,,,
36.0,831488,53.53216552734375,,,,,,,,,,,,,,,
36.0,832512,58.112735748291016,16420.208984375,47641.455883789065,0.296240234375,0.0,-0.007338624223484658,4060,0.0003,-4.902329467236996,0.028010346,0.2,,,,,
36.0,833536,65.9684829711914,,,,,,,,,,,,,,,
36.0,834560,55.428077697753906,24063.275390625,48464.98864746094,0.2748046875,0.0,-0.011689114305772819,4070,0.0003,-4.924405255913735,0.027318344,0.2,,,,,
36.0,835584,56.94516372680664,,,,,,,,,,,,,,,
36.0,836608,58.36888122558594,27234.736328125,53755.87420654297,0.30419921875,0.0,-0.010799848427996039,4080,0.0003,-4.912683954834938,0.032003038,0.2,,,,,
36.0,837632,60.71224594116211,,,,,,,,,,,,,,,
36.0,838656,64.35344696044922,26727.447265625,50295.2848022461,0.32158203125,-1.1920928955078125e-07,-0.009137140597158578,4090,0.0003,-4.883157978951931,0.029019829,0.2,,,,,
36.0,839680,61.687931060791016,,,,,,,,,,,,,,,
36.0,840704,62.255680084228516,24091.70703125,44097.01552734375,0.292138671875,0.0,-0.015456790552707388,4100,0.0003,-4.8553805753588675,0.026570184,0.2,,,,,
36.0,841728,57.737003326416016,,,,,,,,,,,,,,,
,841728,,,,,,,,,,,,30,576,106,36.0,1382.3310568600002
36.0,842752,57.59269714355469,25705.35546875,52359.81303710937,0.3162109375,5.960464477539063e-08,-0.008985714201116934,4110,0.0003,-4.83651307374239,0.032059155,0.2,,,,,
36.0,843776,61.32548522949219,,,,,,,,,,,,,,,
36.0,844800,58.94392395019531,18875.537109375,46613.74321289062,0.278173828125,0.0,-0.009188827138859778,4120,0.0003,-4.822978010773658,0.024729345,0.2,,,,,
36.0,845824,61.310768127441406,,,,,,,,,,,,,,,
36.0,846848,61.94096374511719,22748.724609375,48721.091809082034,0.281591796875,0.0,-0.009603926388081163,4130,0.0003,-4.811221973598004,0.027168244,0.2,,,,,
36.0,847872,59.668426513671875,,,,,,,,,,,,,,,
36.0,848896,60.75535583496094,26078.03515625,48273.991223144534,0.323486328125,0.0,-0.01003923178941477,4140,0.0003,-4.815976226329804,0.03102054,0.2,,,,,
36.0,849920,63.1708984375,,,,,,,,,,,,,,,
36.0,850944,57.26885223388672,24624.72265625,45786.83874511719,0.288037109375,-1.1920928955078125e-07,-0.009960851637879386,4150,0.0003,-4.789848200976849,0.028496355,0.2,,,,,
36.0,851968,60.8908576965332,,,,,,,,,,,,,,,
36.0,852992,55.68230438232422,25120.333984375,46933.02744140625,0.268115234375,0.0,-0.012985803186893463,4160,0.0003,-4.75449625402689,0.02645792,0.2,,,,,
36.0,854016,58.992835998535156,,,,,,,,,,,,,,,
36.0,855040,61.11613082885742,17721.189453125,46251.05828857422,0.26904296875,0.0,-0.008026068442268297,4170,0.0003,-4.7380230844020845,0.024816666,0.2,,,,,
36.0,856064,59.541847229003906,,,,,,,,,,,,,,,
36.0,857088,63.27146911621094,22497.228515625,45860.12756347656,0.2294921875,-1.1920928955078125e-07,-0.010824094834970311,4180,0.0003,-4.730621716380119,0.021230977,0.2,,,,,
36.0,858112,59.3446044921875,,,,,,,,,,,,,,,
36.0,859136,59.93528747558594,23003.3359375,49477.341967773435,0.28740234375,-1.1920928955078125e-07,-0.007956497595296241,4190,0.0003,-4.721271978318692,0.02818381,0.2,,,,,
36.0,860160,64.98039245605469,,,,,,,,,,,,,,,
36.0,861184,57.22438430786133,25980.47265625,49368.94921875,0.2662109375,-1.1920928955078125e-07,-0.009507686652068515,4200,0.0003,-4.705351720750332,0.023618888,0.2,,,,,
36.0,862208,61.58123779296875,,,,,,,,,,,,,,,
,862208,,,,,,,,,,,,40,757,108,36.0,1383.9871914499997
36.0,863232,52.69601821899414,19024.125,43323.899249267575,0.23408203125,1.1920928955078125e-07,-0.0059332502278266475,4210,0.0003,-4.702239938080311,0.021690972,0.2,,,,,
36.0,864256,57.662269592285156,,,,,,,,,,,,,,,
36.0,865280,62.622066497802734,25992.6953125,52443.840295410155,0.239599609375,0.0,-0.007022656293702312,4220,0.0003,-4.721786646544933,0.022924429,0.2,,,,,
36.0,866304,61.49082946777344,,,,,,,,,,,,,,,
36.0,867328,58.731319427490234,23084.20703125,47697.78481445312,0.27822265625,1.1920928955078125e-07,-0.007461263443110511,4230,0.0003,-4.691060902178288,0.026530197,0.2,,,,,
36.0,868352,64.49303436279297,,,,,,,,,,,,,,,
36.0,869376,57.95026397705078,23073.720703125,43359.47650756836,0.255615234375,0.0,-0.0039235249321791345,4240,0.0003,-4.667908865213394,0.023006966,0.2,,,,,
36.0,870400,65.7305908203125,,,,,,,,,,,,,,,
36.0,871424,63.55891036987305,22488.546875,45483.00678710938,0.267626953125,0.0,-0.007116456309449859,4250,0.0003,-4.668115550279618,0.024485474,0.2,,,,,
36.0,872448,57.37664794921875,,,,,,,,,,,,,,,
36.0,873472,60.68989562988281,22227.74609375,44697.70571899414,0.24638671875,-1.1920928955078125e-07,-0.009967774283722974,4260,0.0003,-4.651292726397514,0.02300271,0.2,,,,,
36.0,874496,63.14682388305664,,,,,,,,,,,,,,,
36.0,875520,60.8837890625,28201.1328125,47358.16645507813,0.252197265625,0.0,0.0023936846264405176,4270,0.0003,-4.666797249019146,0.026245482,0.2,,,,,
36.0,876544,59.12797546386719,,,,,,,,,,,,,,,
36.0,877568,56.521751403808594,26405.53125,51277.6134765625,0.2578125,-1.1920928955078125e-07,-0.0061620127817150205,4280,0.0003,-4.682647912204265,0.02275439,0.2,,,,,
36.0,878592,60.99359130859375,,,,,,,,,,,,,,,
36.0,879616,64.8470687866211,25645.18359375,47892.59195556641,0.27783203125,0.0,-0.0028704754426144064,4290,0.0003,-4.666643698513508,0.025786953,0.2,,,,,
36.0,880640,59.30393981933594,,,,,,,,,,,,,,,
36.0,881664,61.6395263671875,23301.861328125,47035.47712402344,0.26376953125,1.1920928955078125e-07,-0.008539281258708797,4300,0.0003,-4.652661700546742,0.024871618,0.2,,,,,
