eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean
40.0,47.58815002441406,1024,,,,,,,,,,,,,,,
40.0,55.766807556152344,2048,,,,,,,,,,,,,,,
40.0,51.407752990722656,3072,2.1457672119140625e-06,108464.3359375,-6.396827030181885,0.4037109375,0.2,-0.039523664221633226,0.0003,212761.6015625,10,0.0720233,,,,,
40.0,51.88800048828125,4096,,,,,,,,,,,,,,,
40.0,50.86461639404297,5120,-1.1920928955078125e-07,109506.2578125,-6.396499851346016,0.426953125,0.2,-0.03339445631136186,0.0003,221388.03012695312,20,0.07440999,,,,,
40.0,54.45161819458008,6144,,,,,,,,,,,,,,,
40.0,46.95598602294922,7168,-1.1920928955078125e-07,113121.9921875,-6.3961700171232225,0.420556640625,0.2,-0.03740997453569435,0.0003,223405.1416015625,30,0.075618245,,,,,
40.0,54.90341567993164,8192,,,,,,,,,,,,,,,
40.0,55.06052780151367,9216,-1.1920928955078125e-07,103993.328125,-6.395819261670113,0.4205078125,0.2,-0.04067698615253903,0.0003,219097.3296386719,40,0.07880728,,,,,
40.0,52.9850959777832,10240,,,,,,,,,,,,,,,
40.0,46.25009536743164,11264,0.0,116173.0703125,-6.395492421090603,0.412451171875,0.2,-0.0413069641799666,0.0003,241880.5454589844,50,0.074862,,,,,
40.0,53.767093658447266,12288,,,,,,,,,,,,,,,
40.0,50.250823974609375,13312,0.0,103997.8046875,-6.395179842412472,0.4197265625,0.2,-0.03493096177116968,0.0003,221604.90014648438,60,0.0800973,,,,,
40.0,48.82643127441406,14336,,,,,,,,,,,,,,,
40.0,52.25008773803711,15360,0.0,120814.3203125,-6.394844588637352,0.409423828125,0.2,-0.03962069529807195,0.0003,220816.10908203124,70,0.06981886,,,,,
40.0,53.4686279296875,16384,,,,,,,,,,,,,,,
40.0,55.375701904296875,17408,0.0,103301.7421875,-6.394557642936706,0.405224609375,0.2,-0.03737664436339401,0.0003,212791.508203125,80,0.069653496,,,,,
40.0,57.03716278076172,18432,,,,,,,,,,,,,,,
40.0,46.541847229003906,19456,5.960464477539063e-08,103428.7578125,-6.394229637086392,0.433203125,0.2,-0.03473260124155786,0.0003,200456.78784179688,90,0.0761418,,,,,
40.0,51.399818420410156,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,1417.04697896,530,10,38,40.0
40.0,54.24748229980469,21504,0.0,109087.015625,-6.3939394146204,0.425537109375,0.2,-0.035576468173530884,0.0003,208127.80502929687,100,0.073561236,,,,,
40.0,49.52210998535156,22528,,,,,,,,,,,,,,,
40.0,56.001853942871094,23552,1.7881393432617188e-07,103656.03125,-6.393590320646763,0.412548828125,0.2,-0.04146009926334955,0.0003,220550.32709960936,110,0.076601356,,,,,
40.0,52.490848541259766,24576,,,,,,,,,,,,,,,
40.0,56.221778869628906,25600,5.960464477539063e-08,107563.0390625,-6.393194450438022,0.421240234375,0.2,-0.03195723362150602,0.0003,212118.62036132812,120,0.07602917,,,,,
40.0,47.05684280395508,26624,,,,,,,,,,,,,,,
40.0,52.476890563964844,27648,0.0,104651.5234375,-6.392801880836487,0.4177734375,0.2,-0.039457778475480154,0.0003,205215.93046875,130,0.07442785,,,,,
40.0,50.26581573486328,28672,,,,,,,,,,,,,,,
40.0,51.691741943359375,29696,0.0,108782.3046875,-6.392394125461578,0.41591796875,0.2,-0.03640767990727909,0.0003,202081.70922851562,140,0.0731328,,,,,
