eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
50.0,6.2949371337890625,500,,,,,,,,,,,,,,,
50.0,6.773556709289551,1000,,,,,,,,,,,,,,,
50.0,4.655177116394043,1500,,,,,,,,,,,,,,,
50.0,4.525567054748535,2000,,,,,,,,,,,,,,,
50.0,5.8254475593566895,2500,0.0003,0.062659934,-0.0001329183578491211,0.2,0.06217349372454919,16153.544070434571,10,0.2322265625,6287.32177734375,-3.9051013216376305,,,,,
50.0,3.90692138671875,3000,,,,,,,,,,,,,,,
50.0,4.904295921325684,3500,,,,,,,,,,,,,,,
50.0,5.718148231506348,4000,,,,,,,,,,,,,,,
50.0,5.915593147277832,4500,0.0003,0.06659129,0.0,0.2,0.058798254576686304,15983.88916015625,20,0.313525390625,7796.0595703125,-3.8970849961042404,,,,,
50.0,4.745061874389648,5000,,,,,,,,,,,,,,,
50.0,4.277855396270752,5500,,,,,,,,,,,,,,,
50.0,8.318411827087402,6000,,,,,,,,,,,,,,,
50.0,4.581414699554443,6500,0.0003,0.05923815,0.0,0.2,0.06345963954227045,15587.640936279297,30,0.328173828125,8198.306640625,-3.897946598380804,,,,,
50.0,5.820146560668945,7000,,,,,,,,,,,,,,,
50.0,4.868434906005859,7500,,,,,,,,,,,,,,,
50.0,4.962871074676514,8000,,,,,,,,,,,,,,,
50.0,5.9574103355407715,8500,0.0003,0.06512196,-1.1920928955078125e-07,0.2,0.07281393660232424,15120.486532592773,40,0.321923828125,8564.330078125,-3.8943508148193358,,,,,
50.0,6.921979904174805,9000,,,,,,,,,,,,,,,
50.0,7.1773529052734375,9500,,,,,,,,,,,,,,,
50.0,6.053662300109863,10000,,,,,,,,,,,,,,,
50.0,4.279651641845703,10500,0.0003,0.06699516,5.960464477539063e-08,0.2,0.06880630937812385,13313.155236816407,50,0.3328125,5849.28173828125,-3.8915087573230265,,,,,
50.0,4.592810153961182,11000,,,,,,,,,,,,,,,
50.0,4.952314376831055,11500,,,,,,,,,,,,,,,
50.0,5.982991695404053,12000,,,,,,,,,,,,,,,
50.0,7.985629558563232,12500,0.0003,0.061229765,0.0,0.2,0.07378733004879905,16639.427365112304,60,0.363671875,8265.599609375,-3.89494501799345,,,,,
50.0,6.120260238647461,13000,,,,,,,,,,,,,,,
50.0,5.582641124725342,13500,,,,,,,,,,,,,,,
50.0,7.98026180267334,14000,,,,,,,,,,,,,,,
50.0,5.575554847717285,14500,0.0003,0.06761094,0.0,0.2,0.06378798242658376,16202.786923217773,70,0.331884765625,8042.0703125,-3.8955650851130486,,,,,
50.0,6.967382431030273,15000,,,,,,,,,,,,,,,
50.0,7.082365989685059,15500,,,,,,,,,,,,,,,
50.0,6.419797897338867,16000,,,,,,,,,,,,,,,
50.0,7.425107002258301,16500,0.0003,0.06444724,-2.384185791015625e-07,0.2,0.0742840072431136,15609.093783569337,80,0.320263671875,6450.48974609375,-3.8978487573564053,,,,,
50.0,5.299967288970947,17000,,,,,,,,,,,,,,,
50.0,4.261476516723633,17500,,,,,,,,,,,,,,,
50.0,5.127100944519043,18000,,,,,,,,,,,,,,,
50.0,6.947518348693848,18500,0.0003,0.06391479,0.0,0.2,0.06743057427811436,14247.082638549804,90,0.280908203125,6670.47900390625,-3.897683723270893,,,,,
50.0,4.23824405670166,19000,,,,,,,,,,,,,,,
50.0,4.648228645324707,19500,,,,,,,,,,,,,,,
50.0,5.009914398193359,20000,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,41,10,503.0449572400001,50.0,489
50.0,6.949965476989746,20500,0.0003,0.066897854,0.0,0.2,0.07263176786946132,15623.417098999023,100,0.314404296875,7292.1171875,-3.8957999907433987,,,,,
50.0,4.0606279373168945,21000,,,,,,,,,,,,,,,
50.0,5.527840614318848,21500,,,,,,,,,,,,,,,
50.0,5.953616142272949,22000,,,,,,,,,,,,,,,
50.0,5.230600357055664,22500,,,,,,,,,,,,,,,
50.0,8.387308120727539,23000,0.0003,0.062734246,1.1920928955078125e-07,0.2,0.06670126699318643,13211.477590942382,110,0.328466796875,5061.0791015625,-3.8957903869450092,,,,,
50.0,9.96158218383789,23500,,,,,,,,,,,,,,,
50.0,7.886324882507324,24000,,,,,,,,,,,,,,,
50.0,5.4921555519104,24500,,,,,,,,,,,,,,,
50.0,4.485716819763184,25000,0.0003,0.06498915,0.0,0.2,0.06781797294970601,13968.541818237305,120,0.317041015625,6272.78857421875,-3.8969370529055594,,,,,
50.0,6.269962787628174,25500,,,,,,,,,,,,,,,
50.0,5.644423484802246,26000,,,,,,,,,,,,,,,
50.0,6.911240100860596,26500,,,,,,,,,,,,,,,
50.0,3.966346263885498,27000,0.0003,0.06845146,0.0,0.2,0.0656201058300212,16017.001821899414,130,0.331640625,8895.9052734375,-3.8962247632443905,,,,,
50.0,6.805790901184082,27500,,,,,,,,,,,,,,,
50.0,6.693868637084961,28000,,,,,,,,,,,,,,,
50.0,7.607177257537842,28500,,,,,,,,,,,,,,,
50.0,7.111042022705078,29000,0.0003,0.06350129,0.0,0.2,0.06599226356047438,14497.485256958007,140,0.31123046875,6801.3056640625,-3.8949631534516813,,,,,
50.0,9.558324813842773,29500,,,,,,,,,,,,,,,
50.0,7.05858039855957,30000,,,,,,,,,,,,,,,
50.0,6.113149642944336,30500,,,,,,,,,,,,,,,
50.0,8.444766998291016,31000,0.0003,0.06789588,0.0,0.2,0.05933466858987231,14445.031268310548,150,0.282666015625,7336.42578125,-3.890286833047867,,,,,
50.0,7.293410301208496,31500,,,,,,,,,,,,,,,
50.0,7.206127166748047,32000,,,,,,,,,,,,,,,
50.0,6.875595569610596,32500,,,,,,,,,,,,,,,
50.0,8.49791145324707,33000,0.0003,0.07096489,-2.384185791015625e-07,0.2,0.07618539545801468,15304.266677856445,160,0.3287109375,7917.7333984375,-3.887952022254467,,,,,
50.0,6.394872665405273,33500,,,,,,,,,,,,,,,
50.0,7.358108997344971,34000,,,,,,,,,,,,,,,
50.0,7.317831993103027,34500,,,,,,,,,,,,,,,
50.0,5.101099967956543,35000,0.0003,0.066881426,0.0,0.2,0.06062191096134484,13380.34725036621,170,0.312744140625,5475.2470703125,-3.893674284219742,,,,,
50.0,5.6433610916137695,35500,,,,,,,,,,,,,,,
50.0,5.3302202224731445,36000,,,,,,,,,,,,,,,
50.0,5.057623863220215,36500,,,,,,,,,,,,,,,
50.0,4.966374397277832,37000,0.0003,0.06859626,0.0,0.2,0.06781291061197407,13265.201068115235,180,0.337841796875,7570.0361328125,-3.8946014545857905,,,,,
50.0,6.8079681396484375,37500,,,,,,,,,,,,,,,
50.0,5.927867889404297,38000,,,,,,,,,,,,,,,
50.0,6.732706546783447,38500,,,,,,,,,,,,,,,
50.0,7.556632041931152,39000,0.0003,0.05917973,5.960464477539063e-08,0.2,0.06286796248750762,11648.411698913575,190,0.308203125,5362.43408203125,-3.8962633974850176,,,,,
50.0,5.283474445343018,39500,,,,,,,,,,,,,,,
50.0,4.9419074058532715,40000,,,,,,,,,,,,,,,
50.0,7.145098686218262,40500,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,85,20,491.48118594,50.0,478
50.0,7.433523178100586,41000,0.0003,0.06678853,-1.1920928955078125e-07,0.2,0.0627848005402484,11476.156504821778,200,0.331689453125,4446.642578125,-3.8934423208236693,,,,,
50.0,5.950958251953125,41500,,,,,,,,,,,,,,,
50.0,4.784241676330566,42000,,,,,,,,,,,,,,,
50.0,6.9816508293151855,42500,,,,,,,,,,,,,,,
50.0,6.417977333068848,43000,,,,,,,,,,,,,,,
50.0,5.705358982086182,43500,0.0003,0.06816356,0.0,0.2,0.0647927368801902,12570.466900634765,210,0.32099609375,5906.06982421875,-3.888045524805784,,,,,
50.0,6.349486827850342,44000,,,,,,,,,,,,,,,
50.0,4.144804000854492,44500,,,,,,,,,,,,,,,
50.0,4.132286071777344,45000,,,,,,,,,,,,,,,
50.0,5.284557819366455,45500,0.0003,0.06397996,0.0,0.2,0.06789204199594678,13419.119665527343,220,0.333203125,6260.458984375,-3.8898194365203382,,,,,
50.0,5.47507381439209,46000,,,,,,,,,,,,,,,
50.0,6.793760776519775,46500,,,,,,,,,,,,,,,
50.0,6.33193302154541,47000,,,,,,,,,,,,,,,
50.0,3.6821346282958984,47500,0.0003,0.061812557,0.0,0.2,0.06225416057568509,11760.414880371094,230,0.310400390625,5889.43310546875,-3.8939034439623357,,,,,
50.0,4.382925987243652,48000,,,,,,,,,,,,,,,
50.0,5.072125434875488,48500,,,,,,,,,,,,,,,
50.0,5.977006912231445,49000,,,,,,,,,,,,,,,
50.0,4.059468746185303,49500,0.0003,0.07301796,-1.1920928955078125e-07,0.2,0.062144893818185665,10795.109548950195,240,0.355419921875,5775.173828125,-3.89169335514307,,,,,
50.0,4.286881446838379,50000,,,,,,,,,,,,,,,
50.0,6.2867889404296875,50500,,,,,,,,,,,,,,,
50.0,3.9282479286193848,51000,,,,,,,,,,,,,,,
50.0,6.457352638244629,51500,0.0003,0.06441635,0.0,0.2,0.06986389780067839,12290.673678588868,250,0.29033203125,5897.9931640625,-3.895984976738691,,,,,
50.0,5.474946022033691,52000,,,,,,,,,,,,,,,
50.0,4.1841206550598145,52500,,,,,,,,,,,,,,,
50.0,4.677180290222168,53000,,,,,,,,,,,,,,,
50.0,5.460580825805664,53500,0.0003,0.060909897,5.960464477539063e-08,0.2,0.05938515986781567,13560.05231628418,260,0.32431640625,6246.37939453125,-3.897172802686691,,,,,
50.0,5.651355266571045,54000,,,,,,,,,,,,,,,
50.0,5.683066368103027,54500,,,,,,,,,,,,,,,
50.0,6.324819564819336,55000,,,,,,,,,,,,,,,
50.0,4.461363792419434,55500,0.0003,0.06535437,0.0,0.2,0.06564362773206085,11732.52002105713,270,0.3142578125,5265.40673828125,-3.8944996543228627,,,,,
50.0,3.9362072944641113,56000,,,,,,,,,,,,,,,
50.0,6.84068489074707,56500,,,,,,,,,,,,,,,
50.0,4.129063129425049,57000,,,,,,,,,,,,,,,
50.0,4.273008823394775,57500,0.0003,0.063911974,0.0,0.2,0.0638850465300493,12721.93974609375,280,0.314306640625,6102.72412109375,-3.8943134531378747,,,,,
50.0,6.006889820098877,58000,,,,,,,,,,,,,,,
50.0,7.548255920410156,58500,,,,,,,,,,,,,,,
50.0,5.860017776489258,59000,,,,,,,,,,,,,,,
50.0,7.059467315673828,59500,0.0003,0.06167268,0.0,0.2,0.06007138651912101,11478.547180175781,290,0.280908203125,5807.14208984375,-3.8958194218575954,,,,,
50.0,6.506464004516602,60000,,,,,,,,,,,,,,,
50.0,4.265046119689941,60500,,,,,,,,,,,,,,,
50.0,4.333984375,61000,,,,,,,,,,,,,,,
,,61440,,,,,,,,,,,129,30,511.27143983,50.0,474
50.0,7.109528541564941,61500,0.0003,0.059474304,0.0,0.2,0.06604335203301162,11586.461096191406,300,0.32705078125,5435.25341796875,-3.8936385795474053,,,,,
50.0,5.812858581542969,62000,,,,,,,,,,,,,,,
50.0,9.468643188476562,62500,,,,,,,,,,,,,,,
50.0,7.078023910522461,63000,,,,,,,,,,,,,,,
50.0,7.92427396774292,63500,0.0003,0.06856409,0.0,0.2,0.06834438634832622,12279.883081054688,310,0.3236328125,5508.37841796875,-3.8928988099098207,,,,,
50.0,5.403227806091309,64000,,,,,,,,,,,,,,,
50.0,4.631235122680664,64500,,,,,,,,,,,,,,,
50.0,4.572413921356201,65000,,,,,,,,,,,,,,,
50.0,5.849665641784668,65500,,,,,,,,,,,,,,,
50.0,4.662527561187744,66000,0.0003,0.065323,0.0,0.2,0.0637543808988994,10822.849716186523,320,0.33095703125,5166.171875,-3.893950829654932,,,,,
50.0,7.290645599365234,66500,,,,,,,,,,,,,,,
50.0,5.57388973236084,67000,,,,,,,,,,,,,,,
50.0,6.1748528480529785,67500,,,,,,,,,,,,,,,
50.0,4.807029724121094,68000,0.0003,0.06506467,-1.1920928955078125e-07,0.2,0.06349227505270391,11232.92926940918,330,0.31943359375,4783.22802734375,-3.89456994086504,,,,,
50.0,5.432076454162598,68500,,,,,,,,,,,,,,,
50.0,7.180522918701172,69000,,,,,,,,,,,,,,,
50.0,4.1813483238220215,69500,,,,,,,,,,,,,,,
50.0,7.586020469665527,70000,0.0003,0.066693544,0.0,0.2,0.07812237883335911,10205.934695434571,340,0.299609375,4024.341552734375,-3.893688910454512,,,,,
50.0,7.511371612548828,70500,,,,,,,,,,,,,,,
50.0,5.8385009765625,71000,,,,,,,,,,,,,,,
50.0,5.528118133544922,71500,,,,,,,,,,,,,,,
50.0,5.9981584548950195,72000,0.0003,0.06547935,0.0,0.2,0.06997913938830606,10376.182748413086,350,0.350341796875,5485.71875,-3.8929948404431345,,,,,
50.0,7.502547264099121,72500,,,,,,,,,,,,,,,
50.0,5.772751331329346,73000,,,,,,,,,,,,,,,
50.0,6.244884014129639,73500,,,,,,,,,,,,,,,
50.0,3.8522276878356934,74000,0.0003,0.06313685,5.960464477539063e-08,0.2,0.06801751126768067,9713.386352539062,360,0.323828125,4449.61474609375,-3.897351337224245,,,,,
50.0,6.383493900299072,74500,,,,,,,,,,,,,,,
50.0,5.091888427734375,75000,,,,,,,,,,,,,,,
50.0,5.447343826293945,75500,,,,,,,,,,,,,,,
50.0,5.024068355560303,76000,0.0003,0.06386353,0.0,0.2,0.05926437669986626,10473.644491577148,370,0.293017578125,4990.79150390625,-3.8980763122439384,,,,,
50.0,3.9333746433258057,76500,,,,,,,,,,,,,,,
50.0,7.677648544311523,77000,,,,,,,,,,,,,,,
50.0,4.117890357971191,77500,,,,,,,,,,,,,,,
50.0,6.981034278869629,78000,0.0003,0.06589322,5.960464477539063e-08,0.2,0.059666661504888904,10411.49252319336,380,0.303125,5595.28564453125,-3.8906167961657045,,,,,
50.0,5.982895851135254,78500,,,,,,,,,,,,,,,
50.0,5.984175205230713,79000,,,,,,,,,,,,,,,
50.0,8.568944931030273,79500,,,,,,,,,,,,,,,
50.0,6.47337007522583,80000,0.0003,0.06957252,0.0,0.2,0.06940913339785766,9502.992008972167,390,0.346630859375,5295.14306640625,-3.8895750500261785,,,,,
50.0,5.663201332092285,80500,,,,,,,,,,,,,,,
50.0,4.613580703735352,81000,,,,,,,,,,,,,,,
50.0,7.20298957824707,81500,,,,,,,,,,,,,,,
,,81920,,,,,,,,,,,171,40,502.07331548999997,50.0,476
50.0,7.530882835388184,82000,0.0003,0.06823037,0.0,0.2,0.07420062205637805,9571.977487182618,400,0.3205078125,4621.00341796875,-3.8936301983892916,,,,,
50.0,5.121949195861816,82500,,,,,,,,,,,,,,,
50.0,4.299037933349609,83000,,,,,,,,,,,,,,,
50.0,5.947990417480469,83500,,,,,,,,,,,,,,,
50.0,6.778918266296387,84000,0.0003,0.06437981,0.0,0.2,0.06457947223389056,8361.017092895509,410,0.333349609375,4415.25439453125,-3.8976720049977303,,,,,
50.0,5.9566192626953125,84500,,,,,,,,,,,,,,,
50.0,4.291843414306641,85000,,,,,,,,,,,,,,,
50.0,6.426982402801514,85500,,,,,,,,,,,,,,,
50.0,6.0407257080078125,86000,,,,,,,,,,,,,,,
50.0,8.299044609069824,86500,0.0003,0.06921326,0.0,0.2,0.06525074685778236,9996.05654449463,420,0.327294921875,4399.35302734375,-3.8935219652950765,,,,,
50.0,7.344925403594971,87000,,,,,,,,,,,,,,,
50.0,4.713850498199463,87500,,,,,,,,,,,,,,,
50.0,5.766864776611328,88000,,,,,,,,,,,,,,,
50.0,7.205184459686279,88500,0.0003,0.058958314,0.0,0.2,0.06207386133028194,10235.43408203125,430,0.31708984375,5307.0703125,-3.8966391414403914,,,,,
50.0,8.156604766845703,89000,,,,,,,,,,,,,,,
50.0,4.447593688964844,89500,,,,,,,,,,,,,,,
50.0,4.635531425476074,90000,,,,,,,,,,,,,,,
50.0,6.756848335266113,90500,0.0003,0.058546595,0.0,0.2,0.066149812360527,10442.741535949706,440,0.265087890625,5846.2724609375,-3.899415998160839,,,,,
50.0,4.4413347244262695,91000,,,,,,,,,,,,,,,
50.0,4.259692192077637,91500,,,,,,,,,,,,,,,
50.0,5.42360782623291,92000,,,,,,,,,,,,,,,
50.0,5.758164405822754,92500,0.0003,0.06807099,0.0,0.2,0.05878355301101692,9395.559658813476,450,0.3626953125,3831.727294921875,-3.8963256172835825,,,,,
50.0,5.590693473815918,93000,,,,,,,,,,,,,,,
50.0,4.793671607971191,93500,,,,,,,,,,,,,,,
50.0,9.044158935546875,94000,,,,,,,,,,,,,,,
