time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_fraction,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed
1024,13.565926551818848,180.0,,,,,,,,,,,,,,,
2048,14.1104736328125,180.0,,,,,,,,,,,,,,,
3072,13.977170944213867,180.0,0.39443359375,-5.867973712086678,0.0003,41.696086117625235,0.024456725,0.003768444061279297,22.532062530517578,-0.038053346252127085,10,0.2,,,,,
4096,14.456110954284668,180.0,,,,,,,,,,,,,,,
5120,13.328941345214844,180.0,0.341015625,-5.851704317331314,0.0003,38.129598398506644,0.024813121,0.0,12.688157081604004,-0.03442670788936084,20,0.2,,,,,
6144,13.81926155090332,180.0,,,,,,,,,,,,,,,
7168,14.444684982299805,180.0,0.357275390625,-5.819655418395996,0.0003,45.17375598847866,0.023023836,0.0,17.626441955566406,-0.03860086523491191,30,0.2,,,,,
8192,14.3624906539917,180.0,,,,,,,,,,,,,,,
9216,15.108222961425781,180.0,0.336767578125,-5.803001163899898,0.0003,46.42741012573242,0.023717325,5.960464477539063e-08,29.971797943115234,-0.0332826211117208,40,0.2,,,,,
10240,14.65811538696289,180.0,,,,,,,,,,,,,,,
11264,14.50967788696289,180.0,0.37294921875,-5.787023533880711,0.0003,33.36658989191055,0.026523074,0.0,5.046673774719238,-0.03618255085457349,50,0.2,,,,,
12288,13.729801177978516,180.0,,,,,,,,,,,,,,,
13312,14.812253952026367,180.0,0.382958984375,-5.756725744903088,0.0003,38.560510450601576,0.02312285,0.0,21.130512237548828,-0.04096507145150099,60,0.2,,,,,
14336,14.298047065734863,180.0,,,,,,,,,,,,,,,
15360,16.459999084472656,180.0,0.35771484375,-5.740026606619358,0.0003,36.940155655145645,0.02356141,0.0,13.45164966583252,-0.03878051508436329,70,0.2,,,,,
16384,14.11478042602539,180.0,,,,,,,,,,,,,,,
17408,14.04659652709961,180.0,0.326220703125,-5.712360280752182,0.0003,38.136223524808884,0.022115164,0.0,18.767541885375977,-0.03248815058323089,80,0.2,,,,,
18432,15.549699783325195,180.0,,,,,,,,,,,,,,,
19456,14.719185829162598,180.0,0.3728515625,-5.675929999351501,0.0003,42.26343147456646,0.022586223,1.1920928955078125e-07,36.063289642333984,-0.0390325470463722,90,0.2,,,,,
20480,13.898880958557129,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,180.0,132,10,14.42243923,154
21504,14.558452606201172,180.0,0.35439453125,-5.664076437056065,0.0003,32.11948148608208,0.021785362,-3.5762786865234375e-07,23.76313018798828,-0.03718317132006632,100,0.2,,,,,
22528,14.99909496307373,180.0,,,,,,,,,,,,,,,
23552,15.442695617675781,180.0,0.364501953125,-5.629933527112007,0.0003,38.68642500340938,0.024538197,0.0,23.740962982177734,-0.0392752765386831,110,0.2,,,,,
24576,14.19210433959961,180.0,,,,,,,,,,,,,,,
25600,15.080257415771484,180.0,0.350732421875,-5.5997297912836075,0.0003,38.30485459566116,0.021388447,-1.1920928955078125e-07,23.280132293701172,-0.035051378693606236,120,0.2,,,,,
26624,14.772994995117188,180.0,,,,,,,,,,,,,,,
27648,16.334152221679688,180.0,0.387353515625,-5.583095116913318,0.0003,35.58696834146976,0.024006937,0.0,12.099398612976074,-0.03382051293592667,130,0.2,,,,,
28672,13.910665512084961,180.0,,,,,,,,,,,,,,,
29696,17.444690704345703,180.0,0.354296875,-5.545679323375225,0.0003,41.49681051671505,0.023154603,0.0,24.6887149810791,-0.0365630981294089,140,0.2,,,,,
30720,16.217987060546875,180.0,,,,,,,,,,,,,,,
31744,16.19706916809082,180.0,0.3689453125,-5.5308733522892,0.0003,35.02789466381073,0.02234834,0.0,14.800822257995605,-0.03736370506230742,150,0.2,,,,,
32768,16.728599548339844,180.0,,,,,,,,,,,,,,,
33792,14.817276000976562,180.0,0.344970703125,-5.528187735378742,0.0003,38.402416837215426,0.023872226,0.0,19.470434188842773,-0.033847464770951775,160,0.2,,,,,
34816,14.985077857971191,180.0,,,,,,,,,,,,,,,
35840,14.969478607177734,180.0,0.32509765625,-5.5088210791349415,0.0003,40.09350381195545,0.022099182,-1.1920928955078125e-07,15.33973217010498,-0.033987291253288275,170,0.2,,,,,
36864,15.245862007141113,180.0,,,,,,,,,,,,,,,
37888,16.04129981994629,180.0,0.32783203125,-5.48841602653265,0.0003,40.20892766714096,0.023173667,0.0,26.874107360839844,-0.03329226856003516,180,0.2,,,,,
38912,18.13538360595703,180.0,,,,,,,,,,,,,,,
39936,16.163623809814453,180.0,0.370703125,-5.473891983926296,0.0003,42.5532323628664,0.022037506,0.0,20.369449615478516,-0.03838433822093066,190,0.2,,,,,
40960,18.106229782104492,180.0,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,180.0,139,20,15.903473400000003,294
41984,15.601425170898438,180.0,0.33349609375,-5.4233277007937435,0.0003,40.80059975683689,0.019492406,0.0,24.14691162109375,-0.033559017418883744,200,0.2,,,,,
43008,17.73233985900879,180.0,,,,,,,,,,,,,,,
44032,17.017518997192383,180.0,0.329052734375,-5.37861690223217,0.0003,33.37964404821396,0.020990212,0.0,18.28873062133789,-0.029202439804794266,210,0.2,,,,,
45056,17.74903106689453,180.0,,,,,,,,,,,,,,,
46080,17.54082489013672,180.0,0.34091796875,-5.3590582549571995,0.0003,40.45585743784905,0.020384246,1.7523765563964844e-05,20.613924026489258,-0.03483348071458749,220,0.2,,,,,
47104,18.085372924804688,180.0,,,,,,,,,,,,,,,
48128,18.949356079101562,180.0,0.375390625,-5.3306680276989935,0.0003,35.56823672950268,0.023116201,0.0,19.599668502807617,-0.038490177528001365,230,0.2,,,,,
49152,18.034366607666016,180.0,,,,,,,,,,,,,,,
50176,15.752307891845703,180.0,0.271728515625,-5.3464223220944405,0.0003,43.102963930368425,0.01977285,-1.1920928955078125e-07,21.354585647583008,-0.028527825474156998,240,0.2,,,,,
51200,17.299880981445312,180.0,,,,,,,,,,,,,,,
52224,17.74608039855957,180.0,0.314697265625,-5.322407132387161,0.0003,40.105089807510375,0.020704169,0.0,30.756431579589844,-0.025795300901518204,250,0.2,,,,,
53248,15.990311622619629,180.0,,,,,,,,,,,,,,,
54272,17.784955978393555,180.0,0.328466796875,-5.288545173406601,0.0003,34.78722380697727,0.021858998,0.0,11.806025505065918,-0.03314152803286561,260,0.2,,,,,
55296,16.522422790527344,180.0,,,,,,,,,,,,,,,
56320,18.579591751098633,180.0,0.33603515625,-5.26757785230875,0.0003,44.614866089820865,0.020849459,0.0,16.280454635620117,-0.033729031011898766,270,0.2,,,,,
57344,20.39142608642578,180.0,,,,,,,,,,,,,,,
58368,17.186182022094727,180.0,0.30458984375,-5.240634927153588,0.0003,40.50898996889591,0.019962214,5.841255187988281e-06,17.72441864013672,-0.030786178939160892,280,0.2,,,,,
59392,17.577621459960938,180.0,,,,,,,,,,,,,,,
60416,19.0455265045166,180.0,0.304248046875,-5.210077960789204,0.0003,41.02816336452961,0.02065289,1.7881393432617188e-07,25.81907081604004,-0.03354805090930313,290,0.2,,,,,
61440,19.031715393066406,180.0,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,180.0,138,30,17.897418849999998,443
62464,18.945377349853516,180.0,0.335400390625,-5.179331707954407,0.0003,43.78688532114029,0.020749927,-2.384185791015625e-07,17.225055694580078,-0.0313290606442024,300,0.2,,,,,
63488,17.990863800048828,180.0,,,,,,,,,,,,,,,
64512,19.656421661376953,180.0,0.314013671875,-5.121051375567913,0.0003,45.19037022888661,0.019931313,-1.1920928955078125e-07,12.431021690368652,-0.03049655051872833,310,0.2,,,,,
65536,20.451597213745117,180.0,,,,,,,,,,,,,,,
66560,19.410377502441406,180.0,0.33251953125,-5.0633638352155685,0.0003,40.74096588492394,0.02160122,0.0,31.584787368774414,-0.03137900942165288,320,0.2,,,,,
67584,21.6065673828125,180.0,,,,,,,,,,,,,,,
68608,20.514724731445312,180.0,0.3232421875,-5.043320581316948,0.0003,36.42134783565998,0.021432158,0.0,26.457977294921875,-0.03169860456546303,330,0.2,,,,,
69632,20.977642059326172,180.0,,,,,,,,,,,,,,,
70656,20.742769241333008,180.0,0.30419921875,-4.958754155039787,0.0003,42.621416580677035,0.020285647,0.0,23.97439956665039,-0.027791794907534494,340,0.2,,,,,
71680,23.876829147338867,180.0,,,,,,,,,,,,,,,
72704,21.827289581298828,180.0,0.325634765625,-4.909199123084545,0.0003,47.11290608346462,0.020357803,0.0,25.211069107055664,-0.030615048996696714,350,0.2,,,,,
73728,22.28219223022461,180.0,,,,,,,,,,,,,,,
74752,24.86947250366211,180.0,0.279541015625,-4.8439238861203195,0.0003,36.56625582277775,0.020090356,-1.1920928955078125e-07,19.92845916748047,-0.025408388205687516,360,0.2,,,,,
75776,24.690799713134766,180.0,,,,,,,,,,,,,,,
76800,25.792490005493164,180.0,0.283251953125,-4.740470115840435,0.0003,40.1132554590702,0.019171791,0.0,9.758835792541504,-0.026663930714130403,370,0.2,,,,,
77824,24.21307373046875,180.0,,,,,,,,,,,,,,,
78848,24.341270446777344,180.0,0.34306640625,-4.668269909918308,0.0003,32.486167791485784,0.020594377,0.0,4.4618682861328125,-0.03188625256952946,380,0.2,,,,,
79872,23.453716278076172,180.0,,,,,,,,,,,,,,,
80896,23.333053588867188,180.0,0.286962890625,-4.637455248832703,0.0003,43.809431463479996,0.018895874,0.0,29.790117263793945,-0.027270972677797545,390,0.2,,,,,
81920,25.639488220214844,180.0,,,,,,,,,,,,,,,
81920,,,,,,,,,,,,,180.0,139,40,22.70565703000001,587
82944,27.59300994873047,180.0,0.301123046875,-4.547207455337047,0.0003,47.71295005679131,0.02062254,0.0,27.819416046142578,-0.02754279026048607,400,0.2,,,,,
83968,23.537551879882812,180.0,,,,,,,,,,,,,,,
84992,29.50225067138672,180.0,0.246337890625,-4.455325165390969,0.0003,45.98944999575615,0.01837558,-1.1920928955078125e-07,15.839629173278809,-0.024969517983845436,410,0.2,,,,,
86016,27.331802368164062,180.0,,,,,,,,,,,,,,,
87040,25.756084442138672,180.0,0.24990234375,-4.447743923962117,0.0003,47.77473292350769,0.018526018,0.0,24.68077278137207,-0.023004590600612572,420,0.2,,,,,
88064,29.079357147216797,180.0,,,,,,,,,,,,,,,
89088,26.530174255371094,180.0,0.288623046875,-4.421557562053204,0.0003,44.50619920790196,0.021066304,-2.384185791015625e-07,16.7175235748291,-0.029720118481782264,430,0.2,,,,,
90112,28.518848419189453,180.0,,,,,,,,,,,,,,,
91136,29.68094253540039,180.0,0.310498046875,-4.357289220392704,0.0003,41.88568241596222,0.022214234,-1.1920928955078125e-07,17.954984664916992,-0.031546601126319726,440,0.2,,,,,
92160,31.375503540039062,180.0,,,,,,,,,,,,,,,
93184,29.867006301879883,180.0,0.2609375,-4.3307898715138435,0.0003,40.66148167550564,0.019105807,-1.1920928955078125e-07,20.14273452758789,-0.024494654973386785,450,0.2,,,,,
94208,34.131431579589844,180.0,,,,,,,,,,,,,,,
95232,27.301918029785156,180.0,0.270068359375,-4.382217362523079,0.0003,47.38191567063332,0.020684034,0.0,13.718910217285156,-0.026033433944394346,460,0.2,,,,,
96256,23.24205780029297,180.0,,,,,,,,,,,,,,,
97280,28.0938720703125,180.0,0.273193359375,-4.399188680946827,0.0003,46.65036218166351,0.02059593,1.7881393432617188e-07,34.63304138183594,-0.027171245928911958,470,0.2,,,,,
98304,30.757129669189453,180.0,,,,,,,,,,,,,,,
99328,32.09056854248047,180.0,0.308447265625,-4.3336906969547275,0.0003,46.35493910908699,0.020740006,0.0,17.59695053100586,-0.027634223228960763,480,0.2,,,,,
100352,30.538555145263672,180.0,,,,,,,,,,,,,,,
101376,33.009559631347656,180.0,0.21728515625,-4.306055934727192,0.0003,42.751656860113144,0.01738219,0.0,12.438336372375488,-0.018907809430675115,490,0.2,,,,,
102400,33.282875061035156,180.0,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,180.0,139,50,28.581824499999996,732
103424,37.261199951171875,180.0,0.261376953125,-4.199791456758976,0.0003,46.293970197439194,0.018031761,0.0,15.898646354675293,-0.025242513042758218,500,0.2,,,,,
104448,35.65082931518555,180.0,,,,,,,,,,,,,,,
105472,32.95439147949219,180.0,0.246533203125,-4.193686570227146,0.0003,40.88809441626072,0.017678823,0.0,19.89605712890625,-0.023519676715659445,510,0.2,,,,,
106496,35.89683151245117,180.0,,,,,,,,,,,,,,,
107520,34.51783752441406,180.0,0.264599609375,-4.114715315401554,0.0003,43.84380283355713,0.01703779,5.960464477539063e-08,24.066987991333008,-0.02348429201374529,520,0.2,,,,,
108544,40.0232048034668,180.0,,,,,,,,,,,,,,,
109568,38.65898132324219,180.0,0.221630859375,-4.039962225407362,0.0003,45.63901038169861,0.016948491,0.0,32.00733947753906,-0.019099964316410478,530,0.2,,,,,
110592,38.89390563964844,180.0,,,,,,,,,,,,,,,
