time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed
1024,55.55259704589844,40.0,,,,,,,,,,,,,,,
2048,54.13916778564453,40.0,,,,,,,,,,,,,,,
3072,36.687042236328125,40.0,-0.10329477621708065,0.0003,0.618408203125,104.76925740242004,10,0.2,-6.35159622579813,32.495330810546875,-0.0011036396026611328,0.18014821,,,,,
4096,49.90397644042969,40.0,,,,,,,,,,,,,,,
5120,46.97036361694336,40.0,-0.07367657950380817,0.0003,0.546142578125,110.31960381269455,20,0.2,-6.278894984722138,26.35946273803711,-2.384185791015625e-07,0.12590969,,,,,
6144,52.81559371948242,40.0,,,,,,,,,,,,,,,
7168,62.60035705566406,40.0,-0.08121235824655741,0.0003,0.536376953125,120.2606444120407,30,0.2,-6.230357736349106,57.222007751464844,0.0,0.12946819,,,,,
8192,49.94994354248047,40.0,,,,,,,,,,,,,,,
9216,51.608306884765625,40.0,-0.08397557414136828,0.0003,0.5431640625,103.62911258935928,40,0.2,-6.185154576599598,42.59877014160156,0.0,0.12969534,,,,,
10240,49.4333610534668,40.0,,,,,,,,,,,,,,,
11264,52.992393493652344,40.0,-0.08653213613433763,0.0003,0.565576171875,98.20791574716569,50,0.2,-6.136045117676258,33.22996139526367,0.0,0.1350728,,,,,
12288,58.430328369140625,40.0,,,,,,,,,,,,,,,
13312,54.20785140991211,40.0,-0.07872446316760033,0.0003,0.56904296875,89.87217836380005,60,0.2,-6.071603825688362,38.99580383300781,0.0,0.14168054,,,,,
14336,49.00310516357422,40.0,,,,,,,,,,,,,,,
15360,51.891990661621094,40.0,-0.06942879890557378,0.0003,0.551171875,71.77461001873016,70,0.2,-5.996769115328789,25.315235137939453,5.960464477539063e-08,0.14139372,,,,,
16384,53.639495849609375,40.0,,,,,,,,,,,,,,,
17408,55.620513916015625,40.0,-0.07538610645569861,0.0003,0.581982421875,74.83562889099122,80,0.2,-5.908919551968575,22.951913833618164,0.0,0.14852574,,,,,
18432,46.227317810058594,40.0,,,,,,,,,,,,,,,
19456,56.582298278808594,40.0,-0.07545772584853694,0.0003,0.57001953125,71.49503947496414,90,0.2,-5.811498637497425,28.05851936340332,0.0,0.14130986,,,,,
20480,54.75452423095703,40.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,409,40.0,51.66453899000001,10,50
21504,60.63447570800781,40.0,-0.0643340218171943,0.0003,0.5423828125,56.08570185303688,100,0.2,-5.7102483689785,19.933704376220703,5.960464477539063e-08,0.122638434,,,,,
22528,55.374786376953125,40.0,,,,,,,,,,,,,,,
23552,57.46034240722656,40.0,-0.05836105353664607,0.0003,0.5626953125,60.85554386973381,110,0.2,-5.589430329203606,15.166836738586426,0.0,0.12561181,,,,,
24576,52.602569580078125,40.0,,,,,,,,,,,,,,,
25600,53.80975341796875,40.0,-0.06236507038702257,0.0003,0.54169921875,62.28579117059708,120,0.2,-5.490419381856919,30.603519439697266,0.0,0.1272285,,,,,
26624,46.94416427612305,40.0,,,,,,,,,,,,,,,
27648,51.61415100097656,40.0,-0.06702939388342202,0.0003,0.550927734375,58.653003132343294,130,0.2,-5.382688899338246,34.35433578491211,0.0,0.12793587,,,,,
28672,50.192100524902344,40.0,,,,,,,,,,,,,,,
29696,58.932411193847656,40.0,-0.06381291222642176,0.0003,0.533642578125,57.13772553801537,140,0.2,-5.265190444886684,18.62944984436035,0.0,0.11560873,,,,,
30720,61.47322082519531,40.0,,,,,,,,,,,,,,,
31744,60.49047088623047,40.0,-0.07260999119025655,0.0003,0.5458984375,57.654238402843475,150,0.2,-5.207390981912613,26.3112735748291,0.0,0.11300425,,,,,
32768,60.41272735595703,40.0,,,,,,,,,,,,,,,
33792,55.85646057128906,40.0,-0.063444531839923,0.0003,0.532861328125,50.511877685785294,160,0.2,-5.149312773346901,25.13560676574707,-1.1920928955078125e-07,0.100128844,,,,,
34816,58.01298904418945,40.0,,,,,,,,,,,,,,,
35840,62.412933349609375,40.0,-0.0628624355449574,0.0003,0.53115234375,46.84506680369377,170,0.2,-5.0670392081141475,26.049468994140625,0.0,0.11159976,,,,,
36864,61.38896942138672,40.0,,,,,,,,,,,,,,,
37888,56.087127685546875,40.0,-0.0636140305432491,0.0003,0.548583984375,58.29173856973648,180,0.2,-4.993819834291935,26.24504280090332,0.0,0.099422395,,,,,
38912,56.823150634765625,40.0,,,,,,,,,,,,,,,
39936,56.94541931152344,40.0,-0.050130235741380605,0.0003,0.536865234375,46.83262857794762,190,0.2,-4.931372877955437,24.936771392822266,0.0,0.11156432,,,,,
40960,57.78611373901367,40.0,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,404,40.0,56.66823571999999,20,101
41984,60.35437774658203,40.0,-0.0641259785857983,0.0003,0.54541015625,43.497417885065076,200,0.2,-4.840101294219494,19.288238525390625,0.0,0.107914776,,,,,
43008,49.972129821777344,40.0,,,,,,,,,,,,,,,
44032,53.207801818847656,40.0,-0.04356008968898095,0.0003,0.55166015625,34.94112554192543,210,0.2,-4.742638058960438,13.85678768157959,0.0,0.10045703,,,,,
45056,60.505130767822266,40.0,,,,,,,,,,,,,,,
46080,52.98536682128906,40.0,-0.04089616825367557,0.0003,0.56142578125,39.09111328125,220,0.2,-4.6799500122666355,24.271337509155273,0.0,0.09080164,,,,,
47104,44.08507537841797,40.0,,,,,,,,,,,,,,,
48128,47.355003356933594,40.0,-0.058557540079345924,0.0003,0.5287109375,51.36754776835441,230,0.2,-4.612313209474086,20.803695678710938,0.0,0.08907084,,,,,
49152,58.34661865234375,40.0,,,,,,,,,,,,,,,
50176,60.31938171386719,40.0,-0.06108677349402569,0.0003,0.56669921875,40.61855996847153,240,0.2,-4.53339419066906,15.929473876953125,-1.1920928955078125e-07,0.116218045,,,,,
51200,64.05394744873047,40.0,,,,,,,,,,,,,,,
52224,57.71824264526367,40.0,-0.0540711575304158,0.0003,0.575830078125,49.374636960029605,250,0.2,-4.4980656281113625,27.93660545349121,0.0,0.10174003,,,,,
53248,50.79045867919922,40.0,,,,,,,,,,,,,,,
54272,44.9146728515625,40.0,-0.05858111236593686,0.0003,0.5798828125,39.84741510748863,260,0.2,-4.446174204349518,20.376754760742188,0.0,0.10260821,,,,,
55296,42.07666778564453,40.0,,,,,,,,,,,,,,,
56320,47.57801818847656,40.0,-0.06481278230785392,0.0003,0.592578125,44.6257599234581,270,0.2,-4.355352534353733,28.86739730834961,0.0,0.1026894,,,,,
57344,61.70698928833008,40.0,,,,,,,,,,,,,,,
58368,60.268653869628906,40.0,-0.05912770755530801,0.0003,0.593408203125,45.46658828258514,280,0.2,-4.286010038852692,31.76465606689453,0.0,0.1109398,,,,,
59392,65.93890380859375,40.0,,,,,,,,,,,,,,,
60416,57.07880783081055,40.0,-0.05397183754248545,0.0003,0.662353515625,39.49578670859337,290,0.2,-4.216636174917221,17.88408088684082,0.0,0.12816723,,,,,
61440,64.73423767089844,40.0,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,401,40.0,57.679337319999995,30,152
62464,66.25289154052734,40.0,-0.04725296199321747,0.0003,0.636962890625,37.93049488067627,300,0.2,-4.19526033103466,18.45903968811035,0.0,0.11270584,,,,,
63488,65.49971771240234,40.0,,,,,,,,,,,,,,,
64512,50.517913818359375,40.0,-0.054892871744232255,0.0003,0.58837890625,38.28790975213051,310,0.2,-4.141674636304378,18.128341674804688,0.0,0.094394065,,,,,
65536,40.7269287109375,40.0,,,,,,,,,,,,,,,
66560,54.664634704589844,40.0,-0.04081197264895309,0.0003,0.566845703125,31.637817430496217,320,0.2,-4.11150984019041,11.07975959777832,5.960464477539063e-08,0.08921561,,,,,
67584,70.71202087402344,40.0,,,,,,,,,,,,,,,
68608,68.23361206054688,40.0,-0.05837234208011068,0.0003,0.590625,45.422651344537734,330,0.2,-4.098634800314903,28.497325897216797,5.960464477539063e-08,0.086772636,,,,,
69632,62.601810455322266,40.0,,,,,,,,,,,,,,,
70656,45.52638244628906,40.0,-0.04734041927731596,0.0003,0.59755859375,35.84980902671814,340,0.2,-4.054817622900009,13.269421577453613,0.0,0.102009945,,,,,
71680,66.79827880859375,40.0,,,,,,,,,,,,,,,
72704,56.12675094604492,40.0,-0.045689158694585785,0.0003,0.6330078125,36.219935345649716,350,0.2,-4.02615963742137,21.2952938079834,1.1920928955078125e-07,0.10078209,,,,,
73728,59.82304000854492,40.0,,,,,,,,,,,,,,,
74752,48.83071517944336,40.0,-0.05221067318343557,0.0003,0.57529296875,37.60045770406723,360,0.2,-3.991774331778288,15.801183700561523,1.1920928955078125e-07,0.09842138,,,,,
75776,62.93321228027344,40.0,,,,,,,,,,,,,,,
76800,66.81434631347656,40.0,-0.06688066849019378,0.0003,0.585302734375,46.867462766170505,370,0.2,-3.9562303371727467,27.44402503967285,-1.1920928955078125e-07,0.09717956,,,,,
77824,56.90346145629883,40.0,,,,,,,,,,,,,,,
78848,58.881446838378906,40.0,-0.0528553577081766,0.0003,0.595703125,42.44295848011971,380,0.2,-3.8904815338552,20.628936767578125,0.0,0.115198076,,,,,
79872,68.57437896728516,40.0,,,,,,,,,,,,,,,
80896,66.6565170288086,40.0,-0.05285383618902415,0.0003,0.603369140625,40.6150158405304,390,0.2,-3.8808727376163006,21.952579498291016,0.0,0.098769866,,,,,
81920,51.26853942871094,40.0,,,,,,,,,,,,,,,
81920,,,,,,,,,,,,,392,40.0,63.05742807000001,40,208
82944,68.87901306152344,40.0,-0.056021355840493926,0.0003,0.587548828125,35.64243985414505,400,0.2,-3.8743992015719413,12.313189506530762,1.1920928955078125e-07,0.0907361,,,,,
83968,31.61772918701172,40.0,,,,,,,,,,,,,,,
84992,50.133697509765625,40.0,-0.05374791675712913,0.0003,0.5927734375,33.70040071606636,410,0.2,-3.8422218419611456,14.065593719482422,0.0,0.10602216,,,,,
86016,65.60751342773438,40.0,,,,,,,,,,,,,,,
87040,49.90904998779297,40.0,-0.03216129397333134,0.0003,0.60888671875,28.989802074432372,420,0.2,-3.8291709408164025,13.124550819396973,0.0,0.10575006,,,,,
88064,50.37335205078125,40.0,,,,,,,,,,,,,,,
89088,66.17462158203125,40.0,-0.03075008890591562,0.0003,0.61337890625,35.81171151399612,430,0.2,-3.8189373180270194,12.426194190979004,0.0,0.10217741,,,,,
90112,65.20836639404297,40.0,,,,,,,,,,,,,,,
91136,68.90599060058594,40.0,-0.04478691722470103,0.0003,0.5849609375,27.310789677500726,440,0.2,-3.771480183303356,12.703930854797363,1.1920928955078125e-07,0.10949983,,,,,
92160,65.60969543457031,40.0,,,,,,,,,,,,,,,
93184,64.86940002441406,40.0,-0.046519737492781134,0.0003,0.59501953125,36.37980695366859,450,0.2,-3.724274459481239,18.091798782348633,1.1920928955078125e-07,0.10445432,,,,,
94208,68.10137939453125,40.0,,,,,,,,,,,,,,,
95232,77.4500961303711,40.0,-0.03266434602846857,0.0003,0.654052734375,33.17225051522255,460,0.2,-3.703817939758301,25.036649703979492,0.0,0.11857828,,,,,
96256,65.3440170288086,40.0,,,,,,,,,,,,,,,
97280,63.39942169189453,40.0,-0.04068022840074263,0.0003,0.63662109375,37.13776208162308,470,0.2,-3.693457414209843,21.178064346313477,0.0,0.11573389,,,,,
98304,58.57952880859375,40.0,,,,,,,,,,,,,,,
99328,61.690189361572266,40.0,-0.055446635402040555,0.0003,0.60048828125,36.49857780337334,480,0.2,-3.6823382407426832,20.45409393310547,0.0,0.09582125,,,,,
100352,69.55998229980469,40.0,,,,,,,,,,,,,,,
101376,73.90948486328125,40.0,-0.053046799046569504,0.0003,0.613818359375,43.01532399058342,490,0.2,-3.649566828459501,21.337472915649414,0.0,0.10512162,,,,,
102400,72.61437225341797,40.0,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,394,40.0,64.43166798,50,259
103424,54.155799865722656,40.0,-0.06207309974706732,0.0003,0.621875,39.02390779256821,500,0.2,-3.6561715506017207,12.104888916015625,0.0,0.09895162,,,,,
104448,65.51200103759766,40.0,,,,,,,,,,,,,,,
