eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
12.0,14.958470344543457,1024,,,,,,,,,,,,,,,
12.0,13.529403686523438,2048,,,,,,,,,,,,,,,
12.0,12.860371589660645,3072,0.0003,10.649175643920898,10,0.0017811059951782227,0.2,-0.0634873713424895,27.23929597735405,0.096175775,-3.8937335312366486,0.523388671875,,,,,
12.0,13.357389450073242,4096,,,,,,,,,,,,,,,
12.0,13.154328346252441,5120,0.0003,7.6699442863464355,20,0.0,0.2,-0.05434251536498778,20.663086074590684,0.07850772,-3.8742952801287176,0.445166015625,,,,,
12.0,13.205367088317871,6144,,,,,,,,,,,,,,,
12.0,14.970085144042969,7168,0.0003,10.060508728027344,30,0.0,0.2,-0.052626860211603343,24.153970873355867,0.0722892,-3.8566669918596745,0.43603515625,,,,,
12.0,15.116415977478027,8192,,,,,,,,,,,,,,,
12.0,13.963724136352539,9216,0.0003,12.33310317993164,40,0.0,0.2,-0.05113797862431966,25.206829804182053,0.06790641,-3.8603403992950915,0.39970703125,,,,,
12.0,13.991975784301758,10240,,,,,,,,,,,,,,,
12.0,15.277471542358398,11264,0.0003,9.38519287109375,50,0.0,0.2,-0.04933630609884858,23.01029554903507,0.06756401,-3.8579109027981757,0.407568359375,,,,,
12.0,12.30177116394043,12288,,,,,,,,,,,,,,,
12.0,13.911855697631836,13312,0.0003,11.271496772766113,60,0.0,0.2,-0.050754712405614556,24.788507491350174,0.08076512,-3.8352320797741415,0.428369140625,,,,,
12.0,17.16799545288086,14336,,,,,,,,,,,,,,,
12.0,14.60168743133545,15360,0.0003,6.836872577667236,70,0.0,0.2,-0.05040776298264973,22.253358897566795,0.07071327,-3.8183959133923056,0.421826171875,,,,,
12.0,11.522104263305664,16384,,,,,,,,,,,,,,,
12.0,12.38715934753418,17408,0.0003,14.224787712097168,80,-3.6954879760742188e-06,0.2,-0.04895098639826756,21.851720294356348,0.073168635,-3.808200804889202,0.44345703125,,,,,
12.0,12.95456314086914,18432,,,,,,,,,,,,,,,
12.0,14.722497940063477,19456,0.0003,8.55907154083252,90,-2.384185791015625e-07,0.2,-0.04584605371055659,20.832111370563506,0.06532244,-3.802804820239544,0.3904296875,,,,,
12.0,16.525331497192383,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,15.432771019999997,1144,17,10,12.0
12.0,16.704708099365234,21504,0.0003,11.550416946411133,100,0.0,0.2,-0.05272426024021115,25.025599375367165,0.07555294,-3.7747929468750954,0.4455078125,,,,,
12.0,13.55901050567627,22528,,,,,,,,,,,,,,,
12.0,17.835180282592773,23552,0.0003,9.128743171691895,110,1.1920928955078125e-07,0.2,-0.04690856507950229,22.818107336759567,0.0744343,-3.751535715907812,0.40146484375,,,,,
12.0,12.831482887268066,24576,,,,,,,,,,,,,,,
12.0,13.883943557739258,25600,0.0003,7.139975547790527,120,0.0,0.2,-0.047795724822208285,20.189768543839456,0.069716156,-3.7229589454829695,0.41171875,,,,,
12.0,15.66268539428711,26624,,,,,,,,,,,,,,,
12.0,14.558841705322266,27648,0.0003,7.297865867614746,130,0.0,0.2,-0.039038923000043725,19.220285087823868,0.06699735,-3.684326158463955,0.3884765625,,,,,
12.0,14.396780014038086,28672,,,,,,,,,,,,,,,
12.0,14.187786102294922,29696,0.0003,7.910866737365723,140,0.0,0.2,-0.046198890729283446,19.863004463911057,0.07157518,-3.6764917731285096,0.396923828125,,,,,
12.0,13.932708740234375,30720,,,,,,,,,,,,,,,
12.0,16.093219757080078,31744,0.0003,7.6401143074035645,150,0.0,0.2,-0.04298320810485166,18.727637794613837,0.060208537,-3.6413479700684546,0.380908203125,,,,,
12.0,14.592836380004883,32768,,,,,,,,,,,,,,,
12.0,15.009838104248047,33792,0.0003,7.684354305267334,160,0.0,0.2,-0.04033063691604184,18.94562483429909,0.07484758,-3.5839386612176893,0.391064453125,,,,,
12.0,14.462113380432129,34816,,,,,,,,,,,,,,,
12.0,10.955471992492676,35840,0.0003,8.06065559387207,170,0.0,0.2,-0.03818616472417489,18.287105697393418,0.07252046,-3.568862463533878,0.414013671875,,,,,
12.0,10.27641487121582,36864,,,,,,,,,,,,,,,
12.0,13.106532096862793,37888,0.0003,8.958342552185059,180,1.0728836059570312e-06,0.2,-0.04002940458303783,20.52013871073723,0.08217877,-3.547495321184397,0.398193359375,,,,,
12.0,13.756185531616211,38912,,,,,,,,,,,,,,,
12.0,14.873422622680664,39936,0.0003,11.076763153076172,190,-1.1920928955078125e-07,0.2,-0.04144889338349458,19.159168547391893,0.085823,-3.5029177494347095,0.41572265625,,,,,
12.0,16.792598724365234,40960,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,16.187341190000005,1097,37,20,12.0
12.0,17.299531936645508,41984,0.0003,12.511637687683105,200,0.0,0.2,-0.046021454053698105,22.58475992977619,0.090267226,-3.481994990259409,0.379443359375,,,,,
12.0,20.230789184570312,43008,,,,,,,,,,,,,,,
12.0,15.132831573486328,44032,0.0003,9.365792274475098,210,0.0,0.2,-0.04062548060464906,17.574929350614546,0.07984682,-3.4421272948384285,0.408740234375,,,,,
12.0,14.135208129882812,45056,,,,,,,,,,,,,,,
12.0,18.074291229248047,46080,0.0003,11.647627830505371,220,0.0,0.2,-0.03656279582646675,19.211282101273536,0.07494341,-3.392602149397135,0.388330078125,,,,,
12.0,14.701403617858887,47104,,,,,,,,,,,,,,,
12.0,19.076263427734375,48128,0.0003,8.324448585510254,230,-1.1920928955078125e-07,0.2,-0.03772618866496487,18.443882343173026,0.08452525,-3.3395963959395885,0.40341796875,,,,,
12.0,14.798601150512695,49152,,,,,,,,,,,,,,,
12.0,15.881006240844727,50176,0.0003,9.042643547058105,240,0.0,0.2,-0.03724303091876209,17.27400872707367,0.07607074,-3.3252325899899007,0.370751953125,,,,,
12.0,11.195512771606445,51200,,,,,,,,,,,,,,,
12.0,16.172630310058594,52224,0.0003,10.569046020507812,250,-1.1920928955078125e-07,0.2,-0.041401382759795526,19.253642594814302,0.08758928,-3.247517850995064,0.387451171875,,,,,
12.0,12.870401382446289,53248,,,,,,,,,,,,,,,
12.0,18.391515731811523,54272,0.0003,7.818020343780518,260,0.0,0.2,-0.03289690815436188,17.16651286482811,0.07179773,-3.236806233227253,0.35419921875,,,,,
12.0,12.997249603271484,55296,,,,,,,,,,,,,,,
12.0,14.716256141662598,56320,0.0003,9.531825065612793,270,1.1920928955078125e-07,0.2,-0.03439950165338814,16.481651800870896,0.08156442,-3.2048632226884366,0.373681640625,,,,,
12.0,16.65614891052246,57344,,,,,,,,,,,,,,,
12.0,17.528596878051758,58368,0.0003,7.605584144592285,280,1.1920928955078125e-07,0.2,-0.03063979227881646,16.408172810077666,0.06830226,-3.2008308574557303,0.339208984375,,,,,
12.0,19.255949020385742,59392,,,,,,,,,,,,,,,
12.0,17.54436683654785,60416,0.0003,10.33735466003418,290,0.0,0.2,-0.04373328513465822,18.30727187693119,0.0698604,-3.1719592951238154,0.34130859375,,,,,
12.0,17.719648361206055,61440,,,,,,,,,,,,,,,
,,61440,,,,,,,,,,,14.91424591,1099,55,30,12.0
12.0,17.650617599487305,62464,0.0003,9.094576835632324,300,-1.1920928955078125e-07,0.2,-0.03149871213536244,15.185138911008835,0.064051315,-3.156471808254719,0.355322265625,,,,,
12.0,12.445352554321289,63488,,,,,,,,,,,,,,,
12.0,19.438344955444336,64512,0.0003,7.643446445465088,310,0.0,0.2,-0.03532801540568471,16.515045061707497,0.07993226,-3.0942387878894806,0.3900390625,,,,,
12.0,18.21160888671875,65536,,,,,,,,,,,,,,,
12.0,19.667417526245117,66560,0.0003,7.737389087677002,320,0.0,0.2,-0.04055551042110892,17.984432885050772,0.083844125,-3.062190156430006,0.375732421875,,,,,
12.0,16.801593780517578,67584,,,,,,,,,,,,,,,
12.0,19.253814697265625,68608,0.0003,7.985162258148193,330,0.0,0.2,-0.04435508516617119,17.100021100044252,0.08472791,-3.019545340538025,0.37958984375,,,,,
12.0,16.43515396118164,69632,,,,,,,,,,,,,,,
12.0,7.374762535095215,70656,0.0003,4.984243392944336,340,5.960464477539063e-08,0.2,-0.024798419205762912,15.054401397705078,0.07409769,-3.0193914882838726,0.389208984375,,,,,
12.0,12.809093475341797,71680,,,,,,,,,,,,,,,
12.0,19.4683895111084,72704,0.0003,6.319056987762451,350,5.960464477539063e-08,0.2,-0.03261602748680161,15.595593354105949,0.06665178,-2.9894747637212276,0.394140625,,,,,
12.0,18.094968795776367,73728,,,,,,,,,,,,,,,
12.0,19.261613845825195,74752,0.0003,7.967071533203125,360,0.0,0.2,-0.032341282811830754,17.221922427415848,0.07088179,-2.9205329954624175,0.365234375,,,,,
12.0,19.060686111450195,75776,,,,,,,,,,,,,,,
12.0,18.077289581298828,76800,0.0003,9.137129783630371,370,5.960464477539063e-08,0.2,-0.0318300486105727,16.01195545196533,0.07672293,-2.8802605524659155,0.370703125,,,,,
12.0,14.828328132629395,77824,,,,,,,,,,,,,,,
12.0,16.402856826782227,78848,0.0003,6.7422380447387695,380,5.960464477539063e-08,0.2,-0.029685646719008217,15.166916570067405,0.06754647,-2.8563582472503186,0.333984375,,,,,
12.0,19.82318115234375,79872,,,,,,,,,,,,,,,
12.0,13.011251449584961,80896,0.0003,7.3368940353393555,390,0.0,0.2,-0.01871970193606103,15.22426373064518,0.06297882,-2.8364317767322063,0.3361328125,,,,,
12.0,16.672504425048828,81920,,,,,,,,,,,,,,,
,,81920,,,,,,,,,,,17.46500257,1094,74,40,12.0
12.0,14.261821746826172,82944,0.0003,7.033031463623047,400,0.0,0.2,-0.031553358686505814,16.78289133310318,0.074727,-2.788784436136484,0.326904296875,,,,,
12.0,15.749300956726074,83968,,,,,,,,,,,,,,,
12.0,19.797252655029297,84992,0.0003,6.540615558624268,410,0.0,0.2,-0.0325751406053314,14.683025819063186,0.09711988,-2.7495785571634768,0.35966796875,,,,,
12.0,18.215543746948242,86016,,,,,,,,,,,,,,,
12.0,12.625221252441406,87040,0.0003,5.646002769470215,420,-1.1920928955078125e-07,0.2,-0.016174557378690224,13.621861839294434,0.06394417,-2.752894479036331,0.324853515625,,,,,
12.0,14.811907768249512,88064,,,,,,,,,,,,,,,
12.0,19.006940841674805,89088,0.0003,9.030279159545898,430,0.0,0.2,-0.03780028845503693,17.139211618900298,0.0882618,-2.714989026635885,0.3751953125,,,,,
12.0,18.334867477416992,90112,,,,,,,,,,,,,,,
