eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed
40.0,58.55801010131836,1024,,,,,,,,,,,,,,,
40.0,51.43488311767578,2048,,,,,,,,,,,,,,,
40.0,57.22561264038086,3072,0.626806640625,0.2,0.0003,0.192871,-0.10180836929939688,127.85456178188323,51.65196228027344,10,-6.348944552242756,0.002129673957824707,,,,,
40.0,62.5650520324707,4096,,,,,,,,,,,,,,,
40.0,54.067176818847656,5120,0.527587890625,0.2,0.0003,0.13542405,-0.07542150539229624,146.81329724788665,42.946189880371094,20,-6.27525480389595,0.0,,,,,
40.0,55.28137969970703,6144,,,,,,,,,,,,,,,
40.0,50.013633728027344,7168,0.550341796875,0.2,0.0003,0.13008836,-0.08234514935174957,131.85000569820403,31.110876083374023,30,-6.225503833591938,0.0,,,,,
40.0,50.70119857788086,8192,,,,,,,,,,,,,,,
40.0,54.854515075683594,9216,0.57978515625,0.2,0.0003,0.14023036,-0.09541705214651301,121.07164964675903,41.16956329345703,40,-6.172916473448277,0.0,,,,,
40.0,54.870628356933594,10240,,,,,,,,,,,,,,,
40.0,57.05945587158203,11264,0.5994140625,0.2,0.0003,0.14460775,-0.09331542250001804,113.69953285455703,41.374610900878906,50,-6.116149024665356,0.0,,,,,
40.0,59.14599609375,12288,,,,,,,,,,,,,,,
40.0,56.58895492553711,13312,0.576220703125,0.2,0.0003,0.1461379,-0.09103643298149108,103.33021074533463,29.744462966918945,60,-6.05044070482254,0.0,,,,,
40.0,52.040870666503906,14336,,,,,,,,,,,,,,,
40.0,56.064537048339844,15360,0.61123046875,0.2,0.0003,0.17000622,-0.08273622754495591,101.56950824260711,33.43452453613281,70,-5.962422059476376,0.0,,,,,
40.0,56.69706344604492,16384,,,,,,,,,,,,,,,
40.0,52.40667724609375,17408,0.6095703125,0.2,0.0003,0.17464943,-0.0788592530938331,94.18789921998977,46.86904525756836,80,-5.8540501445531845,0.0,,,,,
40.0,52.938926696777344,18432,,,,,,,,,,,,,,,
40.0,53.12525177001953,19456,0.56064453125,0.2,0.0003,0.14355862,-0.07816224144771695,90.38180947303772,40.432655334472656,90,-5.741895173490048,0.0,,,,,
40.0,57.99580001831055,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,56.15854747,366,40.0,10,55
40.0,55.39417266845703,21504,0.588134765625,0.2,0.0003,0.1477722,-0.07693334608338773,77.96314808130265,30.372404098510742,100,-5.658402712643147,0.0,,,,,
40.0,60.73108673095703,22528,,,,,,,,,,,,,,,
40.0,56.712833404541016,23552,0.5875,0.2,0.0003,0.15513717,-0.07266035549691878,77.85358457565307,34.6353874206543,110,-5.5659697785973545,1.1920928955078125e-07,,,,,
40.0,57.57656478881836,24576,,,,,,,,,,,,,,,
40.0,57.536399841308594,25600,0.5744140625,0.2,0.0003,0.14073534,-0.07458627601154148,72.96385616064072,39.717491149902344,120,-5.46180662214756,1.1920928955078125e-07,,,,,
40.0,56.991844177246094,26624,,,,,,,,,,,,,,,
40.0,59.24323272705078,27648,0.5517578125,0.2,0.0003,0.13395219,-0.07048972160264384,68.93176872730255,33.91617965698242,130,-5.381526799499989,0.0,,,,,
40.0,64.94977569580078,28672,,,,,,,,,,,,,,,
40.0,58.91337203979492,29696,0.57587890625,0.2,0.0003,0.13408414,-0.07507155407802202,76.13597496747971,38.507293701171875,140,-5.300598558783531,0.0,,,,,
40.0,62.98933029174805,30720,,,,,,,,,,,,,,,
40.0,56.136417388916016,31744,0.586279296875,0.2,0.0003,0.13367602,-0.07738830035086722,69.98145613670349,33.37303161621094,150,-5.213564196228981,0.0,,,,,
40.0,62.768287658691406,32768,,,,,,,,,,,,,,,
40.0,61.52778625488281,33792,0.578466796875,0.2,0.0003,0.13694206,-0.07333857877529226,75.71072607040405,42.13644027709961,160,-5.1152621254324915,0.0,,,,,
40.0,59.405364990234375,34816,,,,,,,,,,,,,,,
40.0,60.43476486206055,35840,0.591259765625,0.2,0.0003,0.12640108,-0.06283526626066305,69.0215997338295,31.108510971069336,170,-5.051876270771027,0.0,,,,,
40.0,59.714210510253906,36864,,,,,,,,,,,,,,,
40.0,60.458927154541016,37888,0.605029296875,0.2,0.0003,0.12527975,-0.06478947819850873,53.59083830118179,33.09199142456055,180,-4.963491399586201,0.0,,,,,
40.0,59.273223876953125,38912,,,,,,,,,,,,,,,
40.0,62.289432525634766,39936,0.585302734375,0.2,0.0003,0.12692611,-0.07040601845365017,69.02151794433594,40.06670379638672,190,-4.883771495521069,0.0,,,,,
40.0,67.01783752441406,40960,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,60.06434988,364,40.0,20,112
40.0,67.97515869140625,41984,0.600927734375,0.2,0.0003,0.13060549,-0.06967596532776951,67.98171489238739,32.38010025024414,200,-4.788309200108051,0.0,,,,,
40.0,60.87291717529297,43008,,,,,,,,,,,,,,,
40.0,55.825767517089844,44032,0.596533203125,0.2,0.0003,0.11819701,-0.06480401634471492,60.24435337781906,29.642253875732422,210,-4.686599130928516,0.0,,,,,
40.0,57.049415588378906,45056,,,,,,,,,,,,,,,
40.0,60.3118896484375,46080,0.63173828125,0.2,0.0003,0.13359201,-0.07975448245415465,58.409060430526736,25.407669067382812,220,-4.558312849700451,5.960464477539063e-08,,,,,
40.0,59.026432037353516,47104,,,,,,,,,,,,,,,
