time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
1024,26.289588928222656,21.0,,,,,,,,,,,,,,,
2048,29.386960983276367,21.0,,,,,,,,,,,,,,,
3072,28.904747009277344,21.0,0.0003,58.62095319032669,0.2,-5.273407019674778,0.06959461,-0.06903011381509713,10,0.483056640625,33.52129364013672,-0.002306699752807617,,,,,
4096,25.711631774902344,21.0,,,,,,,,,,,,,,,
5120,30.792255401611328,21.0,0.0003,67.51979435682297,0.2,-5.255204625427723,0.045011513,-0.055143393413163724,20,0.3671875,19.75294303894043,-1.1920928955078125e-07,,,,,
6144,29.311969757080078,21.0,,,,,,,,,,,,,,,
7168,25.63424301147461,21.0,0.0003,61.48219792842865,0.2,-5.225244422256947,0.050166093,-0.058262072649085894,30,0.380029296875,29.53194236755371,5.960464477539063e-08,,,,,
8192,28.40841293334961,21.0,,,,,,,,,,,,,,,
9216,24.770814895629883,21.0,0.0003,66.8815843462944,0.2,-5.203733432292938,0.04714546,-0.060671024688053875,40,0.386865234375,27.668926239013672,-8.344650268554688e-07,,,,,
10240,27.100570678710938,21.0,,,,,,,,,,,,,,,
11264,27.242395401000977,21.0,0.0003,52.8996319770813,0.2,-5.172473110258579,0.04989128,-0.057367399969371034,50,0.392919921875,23.362445831298828,-2.86102294921875e-06,,,,,
12288,27.94240951538086,21.0,,,,,,,,,,,,,,,
13312,31.267139434814453,21.0,0.0003,50.11033896803856,0.2,-5.161859193444252,0.05095037,-0.058652505849022415,60,0.423974609375,26.036514282226562,0.0,,,,,
14336,27.506486892700195,21.0,,,,,,,,,,,,,,,
15360,29.892261505126953,21.0,0.0003,54.06541787981987,0.2,-5.150412563979626,0.049752846,-0.058694800350349394,70,0.3927734375,22.56549835205078,0.0,,,,,
16384,25.734127044677734,21.0,,,,,,,,,,,,,,,
17408,28.65052032470703,21.0,0.0003,45.98265886306763,0.2,-5.118741805851459,0.05327935,-0.05637258242350072,80,0.41474609375,30.00372886657715,-1.1920928955078125e-07,,,,,
18432,27.514820098876953,21.0,,,,,,,,,,,,,,,
19456,29.342756271362305,21.0,0.0003,41.45620548725128,0.2,-5.093709816038609,0.043948997,-0.05255024776561186,90,0.38369140625,23.480438232421875,0.0,,,,,
20480,26.931821823120117,21.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,27.672397020000002,21.0,10,28,731
21504,27.207386016845703,21.0,0.0003,47.72861387133598,0.2,-5.068023811280727,0.05421993,-0.05601737857796252,100,0.41416015625,23.36855125427246,0.0,,,,,
22528,29.490856170654297,21.0,,,,,,,,,,,,,,,
23552,33.23321533203125,21.0,0.0003,41.44573216438293,0.2,-5.03362088650465,0.052781105,-0.05526048290194012,110,0.4025390625,19.642309188842773,0.0,,,,,
24576,25.726470947265625,21.0,,,,,,,,,,,,,,,
25600,24.591384887695312,21.0,0.0003,43.44613553285599,0.2,-4.998306792974472,0.053402863,-0.05839971539098769,120,0.427490234375,23.154354095458984,0.0,,,,,
