time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/clip_fraction,train/learning_rate,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean
1024,180.0,13.665862083435059,,,,,,,,,,,,,,,
2048,180.0,12.220197677612305,,,,,,,,,,,,,,,
3072,180.0,13.407732009887695,-5.870738095045089,16.40819549560547,0.2,-0.0468842876580311,0.021266883,10,-0.003070354461669922,40.021470391750334,0.363525390625,0.0003,,,,,
4096,180.0,13.515096664428711,,,,,,,,,,,,,,,
5120,180.0,13.830970764160156,-5.849603199958802,19.486251831054688,0.2,-0.04559557235916145,0.02389137,20,0.0,41.229782313108444,0.366064453125,0.0003,,,,,
6144,180.0,13.991280555725098,,,,,,,,,,,,,,,
7168,180.0,13.958077430725098,-5.82921285033226,11.34374713897705,0.2,-0.04671524410514394,0.022802282,30,0.0,38.132346493005755,0.37578125,0.0003,,,,,
8192,180.0,13.965645790100098,,,,,,,,,,,,,,,
9216,180.0,15.107503890991211,-5.825482505559921,21.267215728759766,0.2,-0.03844513255171478,0.020152017,40,0.0,43.92596177756786,0.292041015625,0.0003,,,,,
10240,180.0,13.799917221069336,,,,,,,,,,,,,,,
11264,180.0,13.723906517028809,-5.807759493589401,13.03216552734375,0.2,-0.04546860646805726,0.024486054,50,0.0,40.51141724586487,0.32509765625,0.0003,,,,,
12288,180.0,14.85782241821289,,,,,,,,,,,,,,,
13312,180.0,13.093711853027344,-5.7796549335122105,18.544710159301758,0.2,-0.04031807930150535,0.021259103,60,0.0,38.540109834074975,0.34248046875,0.0003,,,,,
14336,180.0,14.535127639770508,,,,,,,,,,,,,,,
15360,180.0,13.929840087890625,-5.753686060011387,20.17265510559082,0.2,-0.04503531869559083,0.020905606,70,-2.384185791015625e-07,33.121421959996226,0.31611328125,0.0003,,,,,
16384,180.0,13.908712387084961,,,,,,,,,,,,,,,
17408,180.0,15.153230667114258,-5.736722403764725,13.69288444519043,0.2,-0.04746342000144068,0.022285137,80,0.0,35.9472635447979,0.324951171875,0.0003,,,,,
18432,180.0,15.052509307861328,,,,,,,,,,,,,,,
19456,180.0,14.653124809265137,-5.710797612369061,17.06637954711914,0.2,-0.043723760139255316,0.02293621,90,0.0,42.54553623497486,0.3365234375,0.0003,,,,,
20480,180.0,14.658636093139648,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,298,68,10,14.04820656,180.0
21504,180.0,13.54251766204834,-5.694348293542862,20.982545852661133,0.2,-0.04456720697926357,0.023134053,100,0.0,42.007660403847694,0.355078125,0.0003,,,,,
22528,180.0,14.398975372314453,,,,,,,,,,,,,,,
23552,180.0,14.556900024414062,-5.663799096643925,33.0075798034668,0.2,-0.04488003648584708,0.023285456,110,-1.1920928955078125e-07,36.686771261692044,0.336865234375,0.0003,,,,,
24576,180.0,14.734313011169434,,,,,,,,,,,,,,,
25600,180.0,14.251899719238281,-5.6365967154502865,19.107097625732422,0.2,-0.04629193405562546,0.024601039,120,-1.1920928955078125e-07,42.409427005052564,0.325634765625,0.0003,,,,,
26624,180.0,13.942468643188477,,,,,,,,,,,,,,,
27648,180.0,15.281005859375,-5.60226330012083,12.593615531921387,0.2,-0.043247825669823214,0.02162592,130,1.1920928955078125e-07,34.95456642210483,0.325439453125,0.0003,,,,,
28672,180.0,15.704364776611328,,,,,,,,,,,,,,,
29696,180.0,14.367937088012695,-5.5513699650764465,19.822168350219727,0.2,-0.045792479408555666,0.024405278,140,0.0,48.63930065631867,0.363330078125,0.0003,,,,,
30720,180.0,14.621427536010742,,,,,,,,,,,,,,,
31744,180.0,14.676504135131836,-5.529841858148575,21.879638671875,0.2,-0.042764462711056696,0.022493493,150,0.0,40.38823244273662,0.33701171875,0.0003,,,,,
32768,180.0,15.522933959960938,,,,,,,,,,,,,,,
33792,180.0,14.160261154174805,-5.499402830004692,21.360599517822266,0.2,-0.03732061903283466,0.024696074,160,0.0,43.63245868682861,0.308447265625,0.0003,,,,,
34816,180.0,16.639982223510742,,,,,,,,,,,,,,,
35840,180.0,18.110858917236328,-5.468271239101886,15.659674644470215,0.2,-0.04234841909637908,0.024019357,170,-2.384185791015625e-07,39.15377476066351,0.347265625,0.0003,,,,,
36864,180.0,13.544166564941406,,,,,,,,,,,,,,,
37888,180.0,15.509220123291016,-5.410072213411331,29.14215660095215,0.2,-0.046549179599969646,0.023830147,180,1.1920928955078125e-07,37.00604084134102,0.375,0.0003,,,,,
38912,180.0,16.115753173828125,,,,,,,,,,,,,,,
39936,180.0,15.3216552734375,-5.375999574363232,13.64753246307373,0.2,-0.040913804770389105,0.023355925,190,0.0,46.1497006714344,0.34013671875,0.0003,,,,,
40960,180.0,16.017580032348633,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,311,131,20,15.560347900000004,180.0
41984,180.0,15.800621032714844,-5.311330796778202,15.952919960021973,0.2,-0.04266568486491451,0.023938928,200,0.0,40.920346677303314,0.3486328125,0.0003,,,,,
43008,180.0,16.23668670654297,,,,,,,,,,,,,,,
44032,180.0,19.1539249420166,-5.243965642154217,23.2564640045166,0.2,-0.04368607034848537,0.027229989,210,0.0,42.96810767054558,0.333984375,0.0003,,,,,
45056,180.0,16.758098602294922,,,,,,,,,,,,,,,
46080,180.0,19.27155303955078,-5.146718154847622,21.053142547607422,0.2,-0.041853148734662685,0.02883488,220,0.0,55.20383534431458,0.387841796875,0.0003,,,,,
47104,180.0,18.20170021057129,,,,,,,,,,,,,,,
48128,180.0,20.584199905395508,-5.047926124930382,23.71109390258789,0.2,-0.0433487434318522,0.033679146,230,0.0,43.88609865307808,0.39990234375,0.0003,,,,,
49152,180.0,23.536094665527344,,,,,,,,,,,,,,,
50176,180.0,20.77231788635254,-4.9364451467990875,27.650680541992188,0.2,-0.040624655236752,0.028988302,240,0.0,35.90184548795223,0.413525390625,0.0003,,,,,
51200,180.0,20.54738426208496,,,,,,,,,,,,,,,
52224,180.0,21.661582946777344,-4.8676524117588995,15.425050735473633,0.2,-0.04536231411912013,0.038222864,250,0.0,43.114858171343805,0.4216796875,0.0003,,,,,
53248,180.0,20.391786575317383,,,,,,,,,,,,,,,
54272,180.0,23.74565887451172,-4.723314161598682,16.255115509033203,0.2,-0.04094480923668016,0.035216473,260,0.0,40.524460199475286,0.414990234375,0.0003,,,,,
55296,180.0,24.834716796875,,,,,,,,,,,,,,,
56320,180.0,25.324787139892578,-4.615039952099323,13.911093711853027,0.2,-0.041864646269823426,0.04284124,270,-1.1920928955078125e-07,41.96388741135597,0.449267578125,0.0003,,,,,
57344,180.0,27.104387283325195,,,,,,,,,,,,,,,
58368,180.0,26.57324981689453,-4.519925755262375,18.226726531982422,0.2,-0.04429864820849616,0.053178314,280,1.1920928955078125e-07,39.763644522428514,0.495458984375,0.0003,,,,,
59392,180.0,25.615707397460938,,,,,,,,,,,,,,,
60416,180.0,29.15933609008789,-4.28998066931963,18.60403060913086,0.2,-0.04723485431386507,0.067222565,290,0.0,40.22684090733528,0.565673828125,0.0003,,,,,
61440,180.0,30.208314895629883,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,313,195,30,21.876914730000003,180.0
62464,180.0,31.42743682861328,-4.269161392748356,15.802848815917969,0.2,-0.041582710031070745,0.06825549,300,0.0,39.52355484962463,0.67919921875,0.0003,,,,,
63488,180.0,31.803558349609375,,,,,,,,,,,,,,,
64512,180.0,32.0584716796875,-4.222198733687401,12.893343925476074,0.2,-0.03512625665935047,0.058598414,310,0.0,48.11460896730423,0.6177734375,0.0003,,,,,
65536,180.0,30.854076385498047,,,,,,,,,,,,,,,
66560,180.0,31.99327850341797,-4.153260600566864,19.50553321838379,0.2,-0.04084615818865132,0.06323694,320,0.0,41.54961932897568,0.616796875,0.0003,,,,,
67584,180.0,35.78995132446289,,,,,,,,,,,,,,,
68608,180.0,36.73440933227539,-4.02924842312932,29.219985961914062,0.2,-0.042815551915555264,0.0794844,330,0.0,42.922967264056204,0.654296875,0.0003,,,,,
69632,180.0,38.84337615966797,,,,,,,,,,,,,,,
70656,180.0,36.525569915771484,-4.041667179018259,29.53484344482422,0.2,-0.04620185957173817,0.06003817,340,0.0,40.28862110972405,0.662744140625,0.0003,,,,,
71680,180.0,37.02786636352539,,,,,,,,,,,,,,,
72704,180.0,44.257667541503906,-4.005677837133407,34.18773651123047,0.2,-0.045129013698897325,0.046083942,350,5.960464477539063e-08,47.68994807004928,0.607275390625,0.0003,,,,,
73728,180.0,40.15766525268555,,,,,,,,,,,,,,,
74752,180.0,44.17266845703125,-3.9249047145247458,33.11026382446289,0.2,-0.0482596346293576,0.043200053,360,1.1920928955078125e-07,41.497325441241266,0.525048828125,0.0003,,,,,
75776,180.0,43.28376007080078,,,,,,,,,,,,,,,
76800,180.0,44.59716033935547,-3.800230561941862,21.353126525878906,0.2,-0.044971914336201735,0.04388863,370,0.0,46.728292512893674,0.636376953125,0.0003,,,,,
77824,180.0,45.092124938964844,,,,,,,,,,,,,,,
78848,180.0,47.0218505859375,-3.7074280090630056,16.140642166137695,0.2,-0.051151941012358294,0.049593117,380,1.1920928955078125e-07,42.78424916863442,0.672802734375,0.0003,,,,,
79872,180.0,45.938697814941406,,,,,,,,,,,,,,,
