eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations
180.0,1024,14.234634399414062,,,,,,,,,,,,,,,
180.0,2048,13.788644790649414,,,,,,,,,,,,,,,
180.0,3072,12.954788208007812,0.38876953125,10,0.024234038,0.2,0.0003,44.8571982473135,-5.868850730359554,-0.046192029541998636,0.0007015466690063477,18.4927921295166,,,,,
180.0,4096,12.580609321594238,,,,,,,,,,,,,,,
180.0,5120,12.349557876586914,0.35224609375,20,0.024745062,0.2,0.0003,43.43213003873825,-5.849790877103805,-0.03954513276694342,0.0,21.219751358032227,,,,,
180.0,6144,13.834959030151367,,,,,,,,,,,,,,,
180.0,7168,14.439146041870117,0.354833984375,30,0.02396049,0.2,0.0003,46.13124024271965,-5.825580610334873,-0.044720794988097626,0.0,23.917667388916016,,,,,
180.0,8192,14.369791984558105,,,,,,,,,,,,,,,
180.0,9216,14.414775848388672,0.3076171875,40,0.020775236,0.2,0.0003,40.57780600190163,-5.811570048332214,-0.04280245140253101,0.0,20.850784301757812,,,,,
180.0,10240,14.745746612548828,,,,,,,,,,,,,,,
180.0,11264,13.91080093383789,0.327685546875,50,0.024157397,0.2,0.0003,40.87060317993164,-5.781049114465714,-0.04169271959981415,1.1920928955078125e-07,24.592960357666016,,,,,
180.0,12288,13.52291488647461,,,,,,,,,,,,,,,
180.0,13312,14.128799438476562,0.310888671875,60,0.021693658,0.2,0.0003,42.09220239818096,-5.76219425201416,-0.04266164594155271,0.0,33.94868850708008,,,,,
180.0,14336,15.469278335571289,,,,,,,,,,,,,,,
180.0,15360,14.086278915405273,0.31044921875,70,0.022556322,0.2,0.0003,38.80966097712517,-5.728148998320103,-0.04547338455158752,0.0,17.226551055908203,,,,,
180.0,16384,14.966514587402344,,,,,,,,,,,,,,,
180.0,17408,14.224020004272461,0.30849609375,80,0.021448169,0.2,0.0003,29.206322176754476,-5.73021395355463,-0.04722731660876889,0.0,22.883983612060547,,,,,
180.0,18432,14.45770263671875,,,,,,,,,,,,,,,
180.0,19456,13.931816101074219,0.2783203125,90,0.021537207,0.2,0.0003,41.37493906617165,-5.715641351044178,-0.04658434520097217,0.0,12.241644859313965,,,,,
180.0,20480,14.426566123962402,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,64,13.795402650000002,316,180.0,10
