time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_fraction,train/learning_rate,train/value_loss,train/clip_range,train/loss,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed
1024,180.0,13.944517135620117,,,,,,,,,,,,,,,
2048,180.0,12.988761901855469,,,,,,,,,,,,,,,
3072,180.0,13.623421669006348,-0.10418420283167507,-5.793923783302307,0.2255984,-0.16258513927459717,10,0.747412109375,0.003,7.652839285321534,0.2,2.9284982681274414,,,,,
4096,180.0,15.84128475189209,,,,,,,,,,,,,,,
5120,180.0,14.108011245727539,-0.09436455468385248,-5.623336817324161,0.45093298,0.5645155906677246,20,0.80673828125,0.003,6.212356653064489,0.2,3.218458652496338,,,,,
6144,180.0,15.190181732177734,,,,,,,,,,,,,,,
7168,180.0,14.75127124786377,-0.08197988477040781,-5.409867796301842,0.44671664,0.5793938338756561,30,0.807080078125,0.003,7.116719818301499,0.2,5.7726287841796875,,,,,
8192,180.0,14.751225471496582,,,,,,,,,,,,,,,
9216,180.0,14.505900382995605,-0.10181938070309116,-5.267081139981746,0.54524,0.4428632855415344,40,0.818701171875,0.003,7.398875369876623,0.2,1.6431455612182617,,,,,
10240,180.0,16.350650787353516,,,,,,,,,,,,,,,
11264,180.0,15.77178955078125,-0.08374428648821777,-5.026264628767967,0.6290996,0.47020620107650757,50,0.820263671875,0.003,6.9309038987383245,0.2,2.0521674156188965,,,,,
12288,180.0,15.630789756774902,,,,,,,,,,,,,,,
13312,180.0,15.471402168273926,-0.07885578778150375,-4.793421395868063,0.6448666,0.46854597330093384,60,0.82626953125,0.003,6.249716986715794,0.2,2.718691110610962,,,,,
14336,180.0,15.77242660522461,,,,,,,,,,,,,,,
15360,180.0,16.62826156616211,-0.08142924466883414,-4.608804177492857,0.707528,0.5572674572467804,70,0.821435546875,0.003,6.829219163581729,0.2,3.5673952102661133,,,,,
16384,180.0,16.511714935302734,,,,,,,,,,,,,,,
17408,180.0,19.083328247070312,-0.06103126178786624,-4.341038376092911,0.6467118,0.6648437082767487,80,0.825439453125,0.003,5.864737364836037,0.2,5.660683631896973,,,,,
18432,180.0,18.989429473876953,,,,,,,,,,,,,,,
19456,180.0,21.476051330566406,-0.053766815341077745,-4.188403616845608,0.8999349,0.6232136785984039,90,0.84150390625,0.003,5.860556209459901,0.2,3.7358152866363525,,,,,
20480,180.0,20.068225860595703,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,16.65678934,10,180.0,274,74
21504,180.0,25.910615921020508,-0.042370548041071744,-3.84157399199903,0.72602737,0.6207236647605896,100,0.817724609375,0.003,6.258211386762559,0.2,1.2951030731201172,,,,,
22528,180.0,20.889198303222656,,,,,,,,,,,,,,,
23552,180.0,19.53046417236328,-0.03331321763216692,-3.6336116272956134,0.86750406,0.5780961811542511,110,0.81572265625,0.003,7.597835647687316,0.2,1.739606499671936,,,,,
24576,180.0,24.57599449157715,,,,,,,,,,,,,,,
25600,180.0,22.281661987304688,-0.05222604730515741,-3.685584231093526,0.8285972,0.4393272399902344,120,0.81533203125,0.003,5.515421962179244,0.2,5.935547828674316,,,,,
26624,180.0,24.73818588256836,,,,,,,,,,,,,,,
27648,180.0,26.899211883544922,-0.0310833382391138,-3.320032664760947,0.853234,0.5788242518901825,130,0.832958984375,0.003,4.779732224997133,0.2,4.742532730102539,,,,,
28672,180.0,26.775318145751953,,,,,,,,,,,,,,,
