time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/n_updates,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps
1024,17.288631439208984,180.0,,,,,,,,,,,,,,,
2048,18.405946731567383,180.0,,,,,,,,,,,,,,,
3072,16.081453323364258,180.0,3e-05,20.02527585029602,-5.88362846672535,-0.02034943700673466,0.0075130174,0.2,0.016748046875,19.376060485839844,0.0008554458618164062,10,,,,,
4096,16.11851692199707,180.0,,,,,,,,,,,,,,,
5120,17.315471649169922,180.0,3e-05,18.72337674573064,-5.875991776585579,-0.01942167982997489,0.0058898516,0.2,0.020263671875,12.448514938354492,0.0,20,,,,,
6144,19.083065032958984,180.0,,,,,,,,,,,,,,,
7168,17.563879013061523,180.0,3e-05,22.197168262302874,-5.86933288872242,-0.022035635747306513,0.0064186538,0.2,0.023095703125,13.797867774963379,6.854534149169922e-06,30,,,,,
8192,16.763355255126953,180.0,,,,,,,,,,,,,,,
9216,18.76319122314453,180.0,3e-05,18.41009366735816,-5.8611199542880055,-0.02317674891310162,0.0073891655,0.2,0.0326171875,15.162776947021484,1.1920928955078125e-07,40,,,,,
10240,14.825542449951172,180.0,,,,,,,,,,,,,,,
11264,16.588335037231445,180.0,3e-05,20.411319159716367,-5.853192343562841,-0.01864713786126231,0.006000554,0.2,0.016748046875,10.365378379821777,0.0,50,,,,,
12288,19.807933807373047,180.0,,,,,,,,,,,,,,,
13312,18.363359451293945,180.0,3e-05,21.745404899865388,-5.84716418236494,-0.02000170524479472,0.006314386,0.2,0.019775390625,28.16368865966797,0.0,60,,,,,
14336,20.668354034423828,180.0,,,,,,,,,,,,,,,
15360,17.873676300048828,180.0,3e-05,18.23876485005021,-5.839013397693634,-0.019137366973882308,0.005959334,0.2,0.014990234375,9.27972412109375,-1.1920928955078125e-07,70,,,,,
16384,16.62636947631836,180.0,,,,,,,,,,,,,,,
17408,18.422420501708984,180.0,3e-05,18.855283055454493,-5.8299648813903335,-0.020335282383257436,0.0064797294,0.2,0.027197265625,14.607263565063477,-1.1920928955078125e-07,80,,,,,
18432,18.919273376464844,180.0,,,,,,,,,,,,,,,
19456,18.640892028808594,180.0,3e-05,17.956529872864486,-5.82220076173544,-0.020043642534074025,0.0066084974,0.2,0.02099609375,15.343684196472168,1.1920928955078125e-07,90,,,,,
20480,19.551563262939453,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,180.0,10,18.47641128,85,239
21504,19.414222717285156,180.0,3e-05,18.346891095489262,-5.813436208665371,-0.01933453427063796,0.0057972195,0.2,0.016455078125,4.913733005523682,0.0,100,,,,,
22528,16.86219024658203,180.0,,,,,,,,,,,,,,,
23552,18.686384201049805,180.0,3e-05,19.7327860198915,-5.804073641449213,-0.019581257682148134,0.0057281614,0.2,0.02314453125,12.608559608459473,0.0,110,,,,,
24576,17.466995239257812,180.0,,,,,,,,,,,,,,,
25600,18.712825775146484,180.0,3e-05,18.995890564471484,-5.794806322455406,-0.01850676152862434,0.005443475,0.2,0.020361328125,5.4572978019714355,0.0,120,,,,,
26624,17.884883880615234,180.0,,,,,,,,,,,,,,,
27648,17.973695755004883,180.0,3e-05,19.634898953139782,-5.788498347997665,-0.0208419152731949,0.005999765,0.2,0.022216796875,18.205760955810547,0.0,130,,,,,
28672,19.443801879882812,180.0,,,,,,,,,,,,,,,
29696,19.9266300201416,180.0,3e-05,21.076849161833525,-5.7831886008381845,-0.018155603895138483,0.005878291,0.2,0.01796875,22.705209732055664,-1.1920928955078125e-07,140,,,,,
30720,18.553489685058594,180.0,,,,,,,,,,,,,,,
31744,18.160388946533203,180.0,3e-05,19.23520697802305,-5.775326215475798,-0.017799148218182383,0.005705308,0.2,0.0142578125,14.107048034667969,-1.1920928955078125e-07,150,,,,,
32768,16.823713302612305,180.0,,,,,,,,,,,,,,,
33792,17.49466323852539,180.0,3e-05,19.278960329294204,-5.767041976004839,-0.01824813799466938,0.0055202856,0.2,0.01826171875,14.431702613830566,1.1920928955078125e-07,160,,,,,
34816,20.68625831604004,180.0,,,,,,,,,,,,,,,
35840,19.328907012939453,180.0,3e-05,18.17861854583025,-5.75749724060297,-0.020403671094027232,0.006367229,0.2,0.022314453125,12.679081916809082,0.0,170,,,,,
36864,19.139944076538086,180.0,,,,,,,,,,,,,,,
37888,17.882774353027344,180.0,3e-05,18.27532988116145,-5.749743402004242,-0.019326552713755517,0.0063240402,0.2,0.023876953125,9.429841041564941,0.0,180,,,,,
38912,17.925411224365234,180.0,,,,,,,,,,,,,,,
39936,18.81989097595215,180.0,3e-05,18.8310008328408,-5.742495986819267,-0.024545944172132295,0.0069345958,0.2,0.034765625,7.797043323516846,0.0,190,,,,,
40960,20.21115493774414,180.0,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,180.0,20,18.432123110000003,158,258
41984,21.233963012695312,180.0,3e-05,18.579724046587945,-5.7369850158691404,-0.01772135767059808,0.005913095,0.2,0.011572265625,10.847644805908203,1.1920928955078125e-07,200,,,,,
43008,20.547121047973633,180.0,,,,,,,,,,,,,,,
44032,17.314762115478516,180.0,3e-05,18.546417666971685,-5.73196521550417,-0.0216305171012209,0.0061157104,0.2,0.0236328125,6.110682964324951,1.1920928955078125e-07,210,,,,,
45056,20.664037704467773,180.0,,,,,,,,,,,,,,,
46080,21.30297088623047,180.0,3e-05,20.12356693223119,-5.72328012213111,-0.01913389896908484,0.005855308,0.2,0.023193359375,7.606046199798584,0.0,220,,,,,
47104,17.317838668823242,180.0,,,,,,,,,,,,,,,
48128,21.164867401123047,180.0,3e-05,17.669152153283356,-5.7138489246368405,-0.01658491418857011,0.005568509,0.2,0.015966796875,15.475438117980957,0.0,230,,,,,
49152,19.785011291503906,180.0,,,,,,,,,,,,,,,
