eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/entropy_loss,train/clip_range,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean
40.0,40.181060791015625,1024,,,,,,,,,,,,,,,
40.0,35.446067810058594,2048,,,,,,,,,,,,,,,
40.0,41.00750732421875,3072,19.828336715698242,0.0065372167,-0.01731969211505202,3e-05,10,-0.00036013126373291016,0.016796875,42.61940724849701,-5.883998537063599,0.2,,,,,
40.0,39.76018524169922,4096,,,,,,,,,,,,,,,
40.0,37.019771575927734,5120,23.038835525512695,0.005222051,-0.0150521798623231,3e-05,20,0.0,0.014501953125,37.29159973859787,-5.876929984241724,0.2,,,,,
40.0,39.55249786376953,6144,,,,,,,,,,,,,,,
40.0,37.95771789550781,7168,24.235530853271484,0.006380109,-0.019696694294907502,3e-05,30,2.384185791015625e-07,0.02353515625,32.906954529881475,-5.870085120201111,0.2,,,,,
40.0,40.01593017578125,8192,,,,,,,,,,,,,,,
40.0,46.237083435058594,9216,22.916645050048828,0.004978237,-0.01578173821544624,3e-05,40,-1.3113021850585938e-06,0.011669921875,31.335735723376274,-5.865258523076773,0.2,,,,,
40.0,42.95287322998047,10240,,,,,,,,,,,,,,,
40.0,43.89260482788086,11264,24.653846740722656,0.0051061916,-0.01623107137857005,3e-05,50,5.960464477539063e-08,0.01162109375,30.412330015003683,-5.859129101037979,0.2,,,,,
40.0,43.187076568603516,12288,,,,,,,,,,,,,,,
40.0,38.506534576416016,13312,14.604571342468262,0.0066753076,-0.021589421390672214,3e-05,60,0.0,0.024755859375,31.0393416672945,-5.854152993857861,0.2,,,,,
40.0,43.64306640625,14336,,,,,,,,,,,,,,,
40.0,44.25994873046875,15360,23.64988899230957,0.005415285,-0.0195722921511333,3e-05,70,-1.1920928955078125e-07,0.01884765625,29.22622956633568,-5.849158688634634,0.2,,,,,
40.0,37.683013916015625,16384,,,,,,,,,,,,,,,
40.0,40.537940979003906,17408,26.538114547729492,0.005549428,-0.020285366886673727,3e-05,80,0.0,0.019384765625,32.7571105748415,-5.843812326341867,0.2,,,,,
40.0,39.082881927490234,18432,,,,,,,,,,,,,,,
40.0,38.795310974121094,19456,22.01210594177246,0.006001057,-0.018962168007419677,3e-05,90,0.0,0.013427734375,30.1704937890172,-5.836856916546822,0.2,,,,,
40.0,40.46260070800781,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,10,43,40.0,471,41.68239466
40.0,41.877933502197266,21504,16.239492416381836,0.0056704385,-0.02033778847762733,3e-05,100,-1.1920928955078125e-07,0.021923828125,29.647934333980082,-5.8286420240998265,0.2,,,,,
40.0,39.334468841552734,22528,,,,,,,,,,,,,,,
40.0,37.23481369018555,23552,19.329374313354492,0.005993809,-0.02023611238328158,3e-05,110,0.0,0.02099609375,29.76843792796135,-5.820864810794592,0.2,,,,,
40.0,41.710357666015625,24576,,,,,,,,,,,,,,,
40.0,40.026222229003906,25600,20.49990463256836,0.0064218263,-0.021907330824978997,3e-05,120,-1.1920928955078125e-07,0.023779296875,32.4256746545434,-5.814354119449854,0.2,,,,,
40.0,39.655120849609375,26624,,,,,,,,,,,,,,,
40.0,45.03148651123047,27648,21.415699005126953,0.0056701405,-0.018980726572044658,3e-05,130,5.960464477539063e-08,0.024658203125,30.9837798550725,-5.809088855981827,0.2,,,,,
40.0,44.45533752441406,28672,,,,,,,,,,,,,,,
40.0,37.85148239135742,29696,20.560884475708008,0.006137348,-0.020822775113992976,3e-05,140,5.960464477539063e-08,0.019921875,30.22204021066427,-5.803985252231359,0.2,,,,,
40.0,38.22852325439453,30720,,,,,,,,,,,,,,,
40.0,46.570289611816406,31744,19.599870681762695,0.005816226,-0.019501632127503398,3e-05,150,0.0,0.016064453125,31.41208647787571,-5.797977390885353,0.2,,,,,
40.0,44.56627655029297,32768,,,,,,,,,,,,,,,
40.0,42.732025146484375,33792,27.726890563964844,0.00559274,-0.019183172123666735,3e-05,160,5.960464477539063e-08,0.014208984375,31.798752869665623,-5.797480411827564,0.2,,,,,
40.0,42.77912521362305,34816,,,,,,,,,,,,,,,
40.0,40.3612174987793,35840,33.25227737426758,0.0050864285,-0.01790026365124504,3e-05,170,0.0,0.014111328125,30.965051180124284,-5.796118988841772,0.2,,,,,
40.0,40.09209060668945,36864,,,,,,,,,,,,,,,
40.0,39.331119537353516,37888,17.515146255493164,0.006446477,-0.018747799842458335,3e-05,180,0.0,0.02119140625,31.415777722001074,-5.788531550765038,0.2,,,,,
40.0,44.32452392578125,38912,,,,,,,,,,,,,,,
40.0,40.868431091308594,39936,16.6497859954834,0.006037869,-0.017347941196203465,3e-05,190,0.0,0.0162109375,32.32084878385067,-5.77489492893219,0.2,,,,,
40.0,37.92265319824219,40960,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,20,88,40.0,465,40.35180663
40.0,36.285152435302734,41984,14.752113342285156,0.0051925518,-0.01784062840160914,3e-05,200,5.960464477539063e-08,0.014208984375,31.636755511164665,-5.765400406718254,0.2,,,,,
40.0,41.2090950012207,43008,,,,,,,,,,,,,,,
40.0,44.060760498046875,44032,20.239778518676758,0.0062191067,-0.018636376672475308,3e-05,210,0.0,0.018212890625,29.306766110658646,-5.758411122113467,0.2,,,,,
40.0,42.73237609863281,45056,,,,,,,,,,,,,,,
40.0,38.0760498046875,46080,22.232425689697266,0.0067890086,-0.02210226428042006,3e-05,220,-4.76837158203125e-07,0.0220703125,31.80001763701439,-5.74757347330451,0.2,,,,,
40.0,38.79738235473633,47104,,,,,,,,,,,,,,,
40.0,39.20033264160156,48128,14.403657913208008,0.005354951,-0.018821314464730676,3e-05,230,0.0,0.01806640625,31.03543128967285,-5.737868700176477,0.2,,,,,
40.0,37.684783935546875,49152,,,,,,,,,,,,,,,
