eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations
80.0,27.17698097229004,1024,,,,,,,,,,,,,,,
80.0,29.269969940185547,2048,,,,,,,,,,,,,,,
80.0,31.468982696533203,3072,0.0005202293395996094,10,0.2,33.42984847128391,3e-05,-0.01314136783912545,0.003173828125,22.659008026123047,-5.884706147015095,0.0039742654,,,,,
80.0,31.065866470336914,4096,,,,,,,,,,,,,,,
80.0,31.632028579711914,5120,-3.5762786865234375e-07,20,0.2,35.02481741309166,3e-05,-0.0191578289908648,0.017724609375,24.684810638427734,-5.87868799418211,0.0062438156,,,,,
80.0,26.271011352539062,6144,,,,,,,,,,,,,,,
80.0,30.94837188720703,7168,0.0,30,0.2,32.04014573991299,3e-05,-0.020297993314125053,0.0169921875,15.759125709533691,-5.872388973087072,0.006277442,,,,,
80.0,31.723159790039062,8192,,,,,,,,,,,,,,,
80.0,30.425735473632812,9216,0.0,40,0.2,37.69197998642922,3e-05,-0.01816263217915548,0.009326171875,26.604854583740234,-5.86544197127223,0.005071424,,,,,
80.0,29.459503173828125,10240,,,,,,,,,,,,,,,
80.0,29.685152053833008,11264,1.1920928955078125e-07,50,0.2,33.27972260862589,3e-05,-0.01808426726347534,0.01796875,17.691917419433594,-5.857412020862102,0.0055873045,,,,,
80.0,29.3469295501709,12288,,,,,,,,,,,,,,,
80.0,29.471694946289062,13312,-2.9802322387695312e-06,60,0.2,35.54926957935095,3e-05,-0.017492860756465233,0.012060546875,32.166019439697266,-5.851481736451388,0.005063641,,,,,
80.0,23.218191146850586,14336,,,,,,,,,,,,,,,
80.0,29.010921478271484,15360,-2.384185791015625e-07,70,0.2,28.105469693243503,3e-05,-0.020210820978536503,0.021875,30.3835391998291,-5.845943603664637,0.005912344,,,,,
80.0,31.97726058959961,16384,,,,,,,,,,,,,,,
80.0,33.39519119262695,17408,0.0,80,0.2,31.474197870492937,3e-05,-0.018964427729224555,0.0205078125,21.335432052612305,-5.837330919504166,0.0053326534,,,,,
80.0,31.266525268554688,18432,,,,,,,,,,,,,,,
