time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean
1024,120.0,21.204105377197266,,,,,,,,,,,,,,,
2048,120.0,20.436847686767578,,,,,,,,,,,,,,,
3072,120.0,22.329580307006836,0.0003,47.41781234741211,-5.853248690068722,0.3,-0.061276048690342574,0.041538753,0.32998046875,-0.00028765201568603516,10,55.9961630538106,,,,,
4096,120.0,18.34172248840332,,,,,,,,,,,,,,,
5120,120.0,20.570695877075195,0.0003,66.75082397460938,-5.815511766076088,0.3,-0.047209744137217055,0.042175025,0.2794921875,-1.1920928955078125e-07,20,58.30348960161209,,,,,
6144,120.0,22.097742080688477,,,,,,,,,,,,,,,
7168,120.0,16.676427841186523,0.0003,60.97568130493164,-5.788291197270155,0.3,-0.054286058594152566,0.043042365,0.2943359375,0.0,30,61.15395537465811,,,,,
8192,120.0,22.038002014160156,,,,,,,,,,,,,,,
9216,120.0,19.462526321411133,0.0003,54.10469436645508,-5.753788212686777,0.3,-0.049211581458803264,0.04166374,0.23515625,0.0,40,51.79635823667049,,,,,
10240,120.0,21.694473266601562,,,,,,,,,,,,,,,
11264,120.0,20.828998565673828,0.0003,64.13601684570312,-5.72063714787364,0.3,-0.0490252895069716,0.040200613,0.25712890625,-1.1920928955078125e-07,50,63.18232522904873,,,,,
12288,120.0,19.429927825927734,,,,,,,,,,,,,,,
13312,120.0,20.156986236572266,0.0003,87.42498016357422,-5.692425061762333,0.3,-0.046563951266580264,0.039820712,0.23779296875,0.0,60,65.84574119448662,,,,,
14336,120.0,20.138051986694336,,,,,,,,,,,,,,,
15360,120.0,20.434364318847656,0.0003,75.08272552490234,-5.718479317426682,0.3,-0.04849431720140274,0.043733004,0.251904296875,0.0,70,60.60693633258343,,,,,
16384,120.0,19.72686004638672,,,,,,,,,,,,,,,
17408,120.0,20.02057647705078,0.0003,45.55792999267578,-5.718087747693062,0.3,-0.044171831318817564,0.04291849,0.267919921875,0.0,80,59.30394791960716,,,,,
18432,120.0,23.643484115600586,,,,,,,,,,,,,,,
