time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_range,train/clip_fraction,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/explained_variance,train/loss,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations
1024,13.522534370422363,180.0,,,,,,,,,,,,,,,
2048,13.642511367797852,180.0,,,,,,,,,,,,,,,
3072,13.041911125183105,180.0,0.2,0.0234375,-5.886099918186664,0.0030286256,0.008237004400143633,3.7336127205383084e+24,10,0.0003,0.0,1.1430983972148145e+24,,,,,
4096,13.106816291809082,180.0,,,,,,,,,,,,,,,
5120,13.175019264221191,180.0,0.2,0.03466796875,-5.886099891364575,0.0027163855,0.005000683770049363,3.6468419431915446e+24,20,0.0003,0.0,1.9398234338790894e+24,,,,,
6144,12.941854476928711,180.0,,,,,,,,,,,,,,,
7168,12.774476051330566,180.0,0.2,0.04345703125,-5.886099876463414,0.0029738592,0.0049341151418047955,4.5415380551149766e+24,30,0.0003,0.0,3.124515852273199e+24,,,,,
8192,12.54503059387207,180.0,,,,,,,,,,,,,,,
9216,12.852668762207031,180.0,0.2,0.03369140625,-5.886099783331156,0.002324955,-0.00010830325591086876,3.773272459301037e+24,40,0.0003,0.0,2.190852347726464e+24,,,,,
10240,13.759136199951172,180.0,,,,,,,,,,,,,,,
11264,12.185769081115723,180.0,0.2,0.00341796875,-5.886099819839001,0.00093130587,0.004194894847751129,4.818740200471228e+24,50,0.0003,0.0,2.5679271432535555e+24,,,,,
12288,12.562692642211914,180.0,,,,,,,,,,,,,,,
13312,15.912928581237793,180.0,0.2,0.0166015625,-5.886099783331156,0.0020085988,0.0020130811994022225,4.6327106857530193e+24,60,0.0003,0.0,1.256838066811952e+24,,,,,
14336,13.558958053588867,180.0,,,,,,,,,,,,,,,
15360,13.240800857543945,180.0,0.2,0.00830078125,-5.886099842935801,0.0013946097,0.0038111147350718966,5.139739901968434e+24,70,0.0003,0.0,3.197179594792174e+24,,,,,
16384,14.605276107788086,180.0,,,,,,,,,,,,,,,
