time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
1024,180.0,14.089014053344727,,,,,,,,,,,,,,,
2048,180.0,13.754524230957031,,,,,,,,,,,,,,,
3072,180.0,13.319668769836426,0.2,31.43193244934082,0.382080078125,0.0003,0.024380416,0.0009015798568725586,45.4796867787838,-0.0461048129509436,10,-5.868579021096229,,,,,
4096,180.0,13.584808349609375,,,,,,,,,,,,,,,
5120,180.0,14.187966346740723,0.2,19.24635124206543,0.351513671875,0.0003,0.023058236,0.0,39.31079021990299,-0.04560221171122976,20,-5.840198488533497,,,,,
6144,180.0,14.240211486816406,,,,,,,,,,,,,,,
7168,180.0,13.237503051757812,0.2,23.223365783691406,0.32099609375,0.0003,0.021645285,0.0,41.12296005487442,-0.04246948096406413,30,-5.826705148816108,,,,,
8192,180.0,14.27724838256836,,,,,,,,,,,,,,,
9216,180.0,13.107521057128906,0.2,18.09427833557129,0.318310546875,0.0003,0.021368816,-2.384185791015625e-06,42.347738799452785,-0.04334764999221079,40,-5.802481997013092,,,,,
10240,180.0,13.950581550598145,,,,,,,,,,,,,,,
11264,180.0,15.825722694396973,0.2,9.160400390625,0.333740234375,0.0003,0.022355936,0.0,38.05418902635574,-0.04585017382487422,50,-5.780120112001896,,,,,
12288,180.0,14.659017562866211,,,,,,,,,,,,,,,
13312,180.0,14.079830169677734,0.2,19.072132110595703,0.35478515625,0.0003,0.024509076,0.0,43.772468239068985,-0.04567037014494417,60,-5.73898766040802,,,,,
14336,180.0,13.41195297241211,,,,,,,,,,,,,,,
15360,180.0,15.705764770507812,0.2,28.6270809173584,0.3134765625,0.0003,0.022769742,-1.1920928955078125e-07,43.05712420046329,-0.041888434538850564,70,-5.724264517426491,,,,,
16384,180.0,15.860489845275879,,,,,,,,,,,,,,,
17408,180.0,14.585722923278809,0.2,16.04114532470703,0.340869140625,0.0003,0.023258088,0.0,39.727631726861,-0.04440865297801792,80,-5.702033603191376,,,,,
18432,180.0,15.666437149047852,,,,,,,,,,,,,,,
