time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/entropy_loss,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
1024,13.168224334716797,180.0,,,,,,,,,,,,,,,
2048,12.705284118652344,180.0,,,,,,,,,,,,,,,
3072,13.271528244018555,180.0,10,0.023914106,0.0003,-0.0427899262693245,16.086342869699003,0.408251953125,10.55103588104248,0.2,-2.5987625122070312e-05,-5.866283744573593,,,,,
4096,12.769989013671875,180.0,,,,,,,,,,,,,,,
5120,12.899148941040039,180.0,20,0.025122631,0.0003,-0.039554537180811165,15.838085223734378,0.416943359375,9.88914966583252,0.2,2.980232238769531e-07,-5.8306259483098986,,,,,
6144,12.65679931640625,180.0,,,,,,,,,,,,,,,
7168,14.317008972167969,180.0,30,0.025879648,0.0003,-0.04539421467925422,15.72730237096548,0.395068359375,4.686945915222168,0.2,0.0,-5.802574346959591,,,,,
8192,13.466724395751953,180.0,,,,,,,,,,,,,,,
9216,12.871366500854492,180.0,40,0.02389194,0.0003,-0.04088830876571592,14.551773811876775,0.356640625,2.852877140045166,0.2,5.960464477539063e-08,-5.789927452802658,,,,,
10240,13.053903579711914,180.0,,,,,,,,,,,,,,,
11264,13.095314025878906,180.0,50,0.0246636,0.0003,-0.03956316947587766,14.170098101347685,0.370263671875,8.467622756958008,0.2,0.0,-5.761041477322578,,,,,
12288,13.232658386230469,180.0,,,,,,,,,,,,,,,
13312,13.225689888000488,180.0,60,0.02241949,0.0003,-0.040074187569553034,14.661534006893636,0.35380859375,7.049505710601807,0.2,1.1920928955078125e-07,-5.761544880270958,,,,,
14336,13.500292778015137,180.0,,,,,,,,,,,,,,,
15360,13.331402778625488,180.0,70,0.022477753,0.0003,-0.03669097853708081,14.114538036286831,0.346044921875,3.2344353199005127,0.2,0.0,-5.713033202290535,,,,,
16384,12.659072875976562,180.0,,,,,,,,,,,,,,,
17408,13.355583190917969,180.0,80,0.022198366,0.0003,-0.041626660706242546,15.65437591969967,0.3896484375,8.767070770263672,0.2,1.1920928955078125e-07,-5.6896532595157625,,,,,
18432,12.859916687011719,180.0,,,,,,,,,,,,,,,
19456,13.921185493469238,180.0,90,0.022086322,0.0003,-0.037595305392460435,13.92619298249483,0.3537109375,5.694314479827881,0.2,1.1920928955078125e-07,-5.662012702226638,,,,,
20480,14.824810028076172,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,261,10,78,180.0,13.48715141
21504,14.5001220703125,180.0,100,0.021920526,0.0003,-0.03969917016511317,14.05009674653411,0.3693359375,15.81545352935791,0.2,-1.1920928955078125e-07,-5.634925112128258,,,,,
22528,14.573030471801758,180.0,,,,,,,,,,,,,,,
23552,14.805083274841309,180.0,110,0.022395894,0.0003,-0.034746668630396015,16.423991106450558,0.338720703125,13.384860038757324,0.2,0.0,-5.614656054973603,,,,,
24576,14.20977783203125,180.0,,,,,,,,,,,,,,,
25600,15.356698036193848,180.0,120,0.02039689,0.0003,-0.03580937386432197,16.55131820589304,0.321923828125,12.440372467041016,0.2,0.0,-5.592816428840161,,,,,
26624,14.238716125488281,180.0,,,,,,,,,,,,,,,
27648,13.82163143157959,180.0,130,0.022852615,0.0003,-0.04032415699475678,13.506342442333699,0.36240234375,7.061665058135986,0.2,0.0,-5.573546874523163,,,,,
28672,14.042795181274414,180.0,,,,,,,,,,,,,,,
29696,14.819129943847656,180.0,140,0.021758413,0.0003,-0.03638238692219602,15.12695691138506,0.3623046875,7.436814785003662,0.2,-1.1920928955078125e-07,-5.524376550316811,,,,,
30720,14.667640686035156,180.0,,,,,,,,,,,,,,,
31744,15.249052047729492,180.0,150,0.021771327,0.0003,-0.03666510462498991,12.932499432563782,0.35625,6.346925258636475,0.2,0.0,-5.496303406357765,,,,,
32768,14.772588729858398,180.0,,,,,,,,,,,,,,,
33792,16.19285774230957,180.0,160,0.024128206,0.0003,-0.037411062675528226,13.722387236356735,0.35048828125,3.644066572189331,0.2,0.0,-5.454569740593433,,,,,
34816,14.358428001403809,180.0,,,,,,,,,,,,,,,
35840,14.391609191894531,180.0,170,0.02093963,0.0003,-0.03748814085411141,15.623992982506753,0.371240234375,8.198869705200195,0.2,-1.1920928955078125e-07,-5.425135751068592,,,,,
36864,15.04708480834961,180.0,,,,,,,,,,,,,,,
37888,16.50894546508789,180.0,180,0.023578161,0.0003,-0.03741316544474103,15.322532257437706,0.36708984375,7.752989292144775,0.2,5.960464477539063e-08,-5.390185305476189,,,,,
38912,14.288835525512695,180.0,,,,,,,,,,,,,,,
39936,15.768867492675781,180.0,190,0.023875203,0.0003,-0.037296434535528535,15.578804686665535,0.37314453125,10.589932441711426,0.2,0.0,-5.36527273952961,,,,,
40960,14.70883560180664,180.0,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,290,20,140,180.0,14.2457956
41984,16.212276458740234,180.0,200,0.020316465,0.0003,-0.03596880225086352,16.476232734322547,0.32900390625,7.665469646453857,0.2,0.0,-5.33598592877388,,,,,
43008,15.387613296508789,180.0,,,,,,,,,,,,,,,
44032,15.328533172607422,180.0,210,0.021084534,0.0003,-0.036106077025760894,15.786608350276946,0.3689453125,8.025282859802246,0.2,0.0,-5.299860773980617,,,,,
45056,14.878924369812012,180.0,,,,,,,,,,,,,,,
46080,14.497989654541016,180.0,220,0.023616752,0.0003,-0.03894206372860935,16.039316937327385,0.361474609375,6.6423444747924805,0.2,0.0,-5.285182031989097,,,,,
47104,14.573503494262695,180.0,,,,,,,,,,,,,,,
48128,16.59789276123047,180.0,230,0.020888671,0.0003,-0.03271504158619791,15.492452499270438,0.344921875,4.846007347106934,0.2,5.960464477539063e-08,-5.262760458886623,,,,,
49152,15.731437683105469,180.0,,,,,,,,,,,,,,,
50176,14.770506858825684,180.0,240,0.018130446,0.0003,-0.03248226254363544,16.522701862454415,0.294189453125,8.390974044799805,0.2,0.0,-5.251215307414531,,,,,
51200,15.452747344970703,180.0,,,,,,,,,,,,,,,
52224,17.34414291381836,180.0,250,0.021863734,0.0003,-0.032622134503617416,13.626878826320171,0.330908203125,6.501011848449707,0.2,0.0,-5.208799816668034,,,,,
53248,15.195478439331055,180.0,,,,,,,,,,,,,,,
54272,17.0435791015625,180.0,260,0.021005036,0.0003,-0.03360359272774076,16.3034070327878,0.35244140625,5.565828323364258,0.2,1.1920928955078125e-07,-5.193837781250477,,,,,
55296,16.648712158203125,180.0,,,,,,,,,,,,,,,
56320,15.017251968383789,180.0,270,0.019993266,0.0003,-0.034846241486957294,19.239820732176305,0.370263671875,10.2112398147583,0.2,0.0,-5.1175356805324554,,,,,
57344,16.033592224121094,180.0,,,,,,,,,,,,,,,
58368,15.046784400939941,180.0,280,0.021198446,0.0003,-0.030481431072985288,15.213613986968994,0.333544921875,6.635655879974365,0.2,0.0,-5.119359271228314,,,,,
59392,15.67059326171875,180.0,,,,,,,,,,,,,,,
60416,15.192670822143555,180.0,290,0.022748712,0.0003,-0.03243405248504132,15.085037079453468,0.338525390625,8.111913681030273,0.2,0.0,-5.120005786418915,,,,,
61440,17.135326385498047,180.0,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,178,30,344,180.0,15.75909518
