time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations
1024,12.90365219116211,180.0,,,,,,,,,,,,,,,
2048,13.793048858642578,180.0,,,,,,,,,,,,,,,
3072,13.265695571899414,180.0,-0.041393820149824026,0.38203125,10,-0.0026650428771972656,0.02197047,0.2,-5.868120177090168,0.0003,24.664518356323242,39.566655641794206,,,,,
4096,14.632242202758789,180.0,,,,,,,,,,,,,,,
5120,13.994319915771484,180.0,-0.040874570250161925,0.408447265625,20,-1.1920928955078125e-07,0.026051426,0.2,-5.844302548468113,0.0003,19.49993324279785,38.45891262590885,,,,,
6144,14.725543975830078,180.0,,,,,,,,,,,,,,,
7168,14.922343254089355,180.0,-0.03922443568881136,0.391357421875,30,1.1920928955078125e-07,0.02381578,0.2,-5.821491338312626,0.0003,19.343658447265625,40.330722597241405,,,,,
8192,13.79342269897461,180.0,,,,,,,,,,,,,,,
9216,13.446706771850586,180.0,-0.037377131202083545,0.3560546875,40,1.1920928955078125e-07,0.024569485,0.2,-5.810495276749134,0.0003,14.068953514099121,39.992304572463034,,,,,
10240,13.111740112304688,180.0,,,,,,,,,,,,,,,
11264,16.79666519165039,180.0,-0.03857134890713496,0.336865234375,50,0.0,0.021861507,0.2,-5.799061140418052,0.0003,15.937252044677734,37.0613502830267,,,,,
12288,13.30051040649414,180.0,,,,,,,,,,,,,,,
13312,14.302370071411133,180.0,-0.036852047943102664,0.340185546875,60,0.0,0.022316307,0.2,-5.772642622888088,0.0003,18.291545867919922,44.94673070311546,,,,,
14336,13.177606582641602,180.0,,,,,,,,,,,,,,,
15360,14.834081649780273,180.0,-0.03716577306331601,0.340283203125,70,0.0,0.023430116,0.2,-5.753351382911205,0.0003,20.117603302001953,37.83302947282791,,,,,
16384,14.435935974121094,180.0,,,,,,,,,,,,,,,
17408,15.362635612487793,180.0,-0.036900286916352346,0.33544921875,80,0.0,0.021068461,0.2,-5.760567851364613,0.0003,19.561540603637695,39.09310446679592,,,,,
18432,13.316398620605469,180.0,,,,,,,,,,,,,,,
19456,12.838859558105469,180.0,-0.034977503631671424,0.306396484375,90,0.0,0.02160566,0.2,-5.748032796382904,0.0003,37.17601013183594,44.56466982960701,,,,,
20480,14.69901180267334,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,180.0,14.48881087,346,59,10
21504,14.743535995483398,180.0,-0.038558850492700004,0.338427734375,100,0.0,0.023035327,0.2,-5.731624040007591,0.0003,12.685805320739746,38.671866124868394,,,,,
22528,15.873954772949219,180.0,,,,,,,,,,,,,,,
23552,13.638673782348633,180.0,-0.03545055214635795,0.306103515625,110,1.1920928955078125e-07,0.021405183,0.2,-5.711950027942658,0.0003,10.605762481689453,35.663395470380785,,,,,
24576,14.397409439086914,180.0,,,,,,,,,,,,,,,
25600,13.47174072265625,180.0,-0.03464562556619057,0.309423828125,120,1.1920928955078125e-07,0.020782698,0.2,-5.714997571706772,0.0003,19.590200424194336,41.27581607401371,,,,,
26624,13.846405029296875,180.0,,,,,,,,,,,,,,,
27648,15.017971992492676,180.0,-0.03566136166191427,0.3244140625,130,0.0,0.019507162,0.2,-5.685780708491802,0.0003,16.234878540039062,35.57547572851181,,,,,
28672,15.170097351074219,180.0,,,,,,,,,,,,,,,
29696,15.734134674072266,180.0,-0.04045886414096458,0.321923828125,140,0.0,0.02179585,0.2,-5.675149203836918,0.0003,25.27216148376465,46.67746679782867,,,,,
30720,13.953134536743164,180.0,,,,,,,,,,,,,,,
31744,15.548221588134766,180.0,-0.039416177447128574,0.33681640625,150,0.0,0.022800628,0.2,-5.652286919951439,0.0003,17.970355987548828,42.998941379785535,,,,,
