time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/explained_variance,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
1024,180.0,13.485747337341309,,,,,,,,,,,,,,,
2048,180.0,13.200121879577637,,,,,,,,,,,,,,,
3072,180.0,13.672605514526367,0.00032526254653930664,42.965004074573514,10,-0.03807486156874802,0.0003,0.401318359375,12.34697151184082,0.2,0.024252735,-5.867797143757343,,,,,
4096,180.0,13.223122596740723,,,,,,,,,,,,,,,
5120,180.0,12.864124298095703,0.0,45.576332244277,20,-0.03371041006466839,0.0003,0.320556640625,21.061979293823242,0.2,0.020117484,-5.851164115965366,,,,,
6144,180.0,12.853120803833008,,,,,,,,,,,,,,,
7168,180.0,13.607867240905762,0.0,46.53553556203842,30,-0.037108522391645235,0.0003,0.361083984375,25.75714874267578,0.2,0.023622964,-5.822839571535587,,,,,
8192,180.0,13.795023918151855,,,,,,,,,,,,,,,
9216,180.0,14.756490707397461,0.0,40.34082806706429,40,-0.038744034433329945,0.0003,0.363818359375,27.20849609375,0.2,0.024145339,-5.804078364372254,,,,,
10240,180.0,13.49374008178711,,,,,,,,,,,,,,,
11264,180.0,13.520933151245117,0.0,42.31110610663891,50,-0.037526985735166815,0.0003,0.35927734375,18.474584579467773,0.2,0.023457937,-5.785724949836731,,,,,
12288,180.0,14.561821937561035,,,,,,,,,,,,,,,
13312,180.0,14.660080909729004,0.0,45.773520454764366,60,-0.037917359591665444,0.0003,0.334033203125,21.897106170654297,0.2,0.022372881,-5.7680791601538655,,,,,
14336,180.0,14.219390869140625,,,,,,,,,,,,,,,
15360,180.0,13.874683380126953,1.1920928955078125e-07,38.25707418620586,70,-0.03459496365685481,0.0003,0.349755859375,9.641698837280273,0.2,0.022838157,-5.747236317396164,,,,,
16384,180.0,15.212746620178223,,,,,,,,,,,,,,,
17408,180.0,13.537556648254395,0.0,32.819580611586574,80,-0.03651923089200863,0.0003,0.339111328125,15.114424705505371,0.2,0.02258781,-5.72157879024744,,,,,
18432,180.0,14.144868850708008,,,,,,,,,,,,,,,
19456,180.0,13.878988265991211,0.0,33.85582517683506,90,-0.03560741021501599,0.0003,0.326904296875,17.113826751708984,0.2,0.021879163,-5.7149449840188025,,,,,
20480,180.0,14.921822547912598,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,10,60,13.888755239999997,180.0,339
21504,180.0,15.212698936462402,0.0,43.545133757591245,100,-0.0375062096703914,0.0003,0.34619140625,31.164663314819336,0.2,0.022576097,-5.683549599349499,,,,,
22528,180.0,13.01021957397461,,,,,,,,,,,,,,,
23552,180.0,14.610456466674805,0.0,45.00807200670242,110,-0.03867657388618682,0.0003,0.3421875,26.446142196655273,0.2,0.022112006,-5.668951153755188,,,,,
24576,180.0,13.911975860595703,,,,,,,,,,,,,,,
25600,180.0,15.41314697265625,0.0,38.43259764313698,120,-0.03164026993108564,0.0003,0.282763671875,26.052173614501953,0.2,0.020349711,-5.66326557546854,,,,,
26624,180.0,16.523191452026367,,,,,,,,,,,,,,,
27648,180.0,14.809767723083496,0.0,42.41208258271217,130,-0.03504573477548547,0.0003,0.29951171875,7.886746883392334,0.2,0.02144036,-5.646997150778771,,,,,
28672,180.0,15.312247276306152,,,,,,,,,,,,,,,
29696,180.0,18.102996826171875,0.0,37.02163834273815,140,-0.03729315515083727,0.0003,0.32802734375,16.048419952392578,0.2,0.01993803,-5.63939688950777,,,,,
30720,180.0,17.294843673706055,,,,,,,,,,,,,,,
31744,180.0,13.888059616088867,0.0,39.245059901475905,150,-0.034989265199692456,0.0003,0.31103515625,17.557680130004883,0.2,0.021179326,-5.616554482281208,,,,,
32768,180.0,17.31632423400879,,,,,,,,,,,,,,,
33792,180.0,16.877796173095703,-1.1920928955078125e-07,45.27867352962494,160,-0.03129823078052141,0.0003,0.293505859375,19.51097297668457,0.2,0.0214174,-5.602721919119358,,,,,
34816,180.0,15.669469833374023,,,,,,,,,,,,,,,
35840,180.0,15.744926452636719,1.1920928955078125e-07,39.71764852702618,170,-0.03643838975840481,0.0003,0.337451171875,18.770843505859375,0.2,0.02176622,-5.588124652206898,,,,,
36864,180.0,15.754297256469727,,,,,,,,,,,,,,,
37888,180.0,15.461910247802734,0.0,38.14368167817592,180,-0.03354628392844461,0.0003,0.2884765625,17.202526092529297,0.2,0.019745778,-5.585935059189796,,,,,
38912,180.0,15.315448760986328,,,,,,,,,,,,,,,
39936,180.0,15.627437591552734,0.0,48.1544091463089,190,-0.033697875321377066,0.0003,0.289404296875,28.354690551757812,0.2,0.01991862,-5.603142978250981,,,,,
40960,180.0,15.401222229003906,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,20,121,15.02526881,180.0,337
41984,180.0,16.037429809570312,0.0,43.910178861022,200,-0.03632408319463139,0.0003,0.33046875,26.290437698364258,0.2,0.021887109,-5.583912897109985,,,,,
43008,180.0,15.344453811645508,,,,,,,,,,,,,,,
44032,180.0,17.497848510742188,1.1920928955078125e-07,40.9382969379425,210,-0.03347428593115183,0.0003,0.31015625,27.349050521850586,0.2,0.023714863,-5.558945526182652,,,,,
