time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean
1024,14.122833251953125,180.0,,,,,,,,,,,,,,,
2048,12.950408935546875,180.0,,,,,,,,,,,,,,,
3072,14.409488677978516,180.0,0.427294921875,-5.868439610302448,-0.043924698595219525,7.475293159484863,0.0007962584495544434,19.053819394111635,0.023242638,0.2,0.0003,10,,,,,
4096,14.007148742675781,180.0,,,,,,,,,,,,,,,
5120,13.111825942993164,180.0,0.363330078125,-5.853403380513191,-0.04224223112978507,7.809781074523926,-1.1920928955078125e-07,17.686824747920035,0.021894438,0.2,0.0003,20,,,,,
6144,14.491850852966309,180.0,,,,,,,,,,,,,,,
7168,13.99921989440918,180.0,0.36923828125,-5.832120828330517,-0.04155710171762621,13.484399795532227,0.0,19.18919698446989,0.022317916,0.2,0.0003,30,,,,,
8192,14.467691421508789,180.0,,,,,,,,,,,,,,,
9216,14.302337646484375,180.0,0.32822265625,-5.812184572219849,-0.03771929233917035,7.8321967124938965,0.0,16.96871483027935,0.022808086,0.2,0.0003,40,,,,,
10240,15.773319244384766,180.0,,,,,,,,,,,,,,,
11264,15.170997619628906,180.0,0.3705078125,-5.78148612678051,-0.03996505207760492,5.745691299438477,0.0,18.915430715680124,0.020765364,0.2,0.0003,50,,,,,
12288,15.501779556274414,180.0,,,,,,,,,,,,,,,
13312,15.626224517822266,180.0,0.34306640625,-5.77386794835329,-0.040842641433118845,7.531071186065674,0.0,18.838268807530405,0.022350796,0.2,0.0003,60,,,,,
14336,15.862417221069336,180.0,,,,,,,,,,,,,,,
15360,13.411706924438477,180.0,0.377490234375,-5.745141948759556,-0.040853918608627283,5.432252407073975,-1.1920928955078125e-07,18.086482083797456,0.022678446,0.2,0.0003,70,,,,,
16384,13.566226959228516,180.0,,,,,,,,,,,,,,,
17408,14.576164245605469,180.0,0.34814453125,-5.734001708030701,-0.04334159843856469,8.080288887023926,0.0,16.38099398165941,0.022598326,0.2,0.0003,80,,,,,
18432,14.090492248535156,180.0,,,,,,,,,,,,,,,
19456,14.13366985321045,180.0,0.361328125,-5.714291794598102,-0.04114091676310636,4.024384498596191,-1.1920928955078125e-07,18.105647274851798,0.023837736,0.2,0.0003,90,,,,,
20480,13.916141510009766,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,338,10,180.0,60,14.20211487
21504,16.073165893554688,180.0,0.357763671875,-5.695791858434677,-0.04038088832639915,9.982284545898438,0.0,16.279779779911042,0.024031395,0.2,0.0003,100,,,,,
22528,14.467544555664062,180.0,,,,,,,,,,,,,,,
23552,15.689079284667969,180.0,0.334375,-5.670468467473984,-0.039943541389948226,7.14180850982666,0.0,18.252066408097743,0.02082634,0.2,0.0003,110,,,,,
24576,14.764405250549316,180.0,,,,,,,,,,,,,,,
25600,13.104759216308594,180.0,0.38037109375,-5.634662441909313,-0.03790446172351949,11.10903549194336,0.0,16.83154414445162,0.021815114,0.2,0.0003,120,,,,,
26624,14.146900177001953,180.0,,,,,,,,,,,,,,,
27648,13.717397689819336,180.0,0.3474609375,-5.605759333074093,-0.03728699105413398,11.605908393859863,0.0,18.355190871655942,0.020793362,0.2,0.0003,130,,,,,
28672,16.07961654663086,180.0,,,,,,,,,,,,,,,
29696,13.68730640411377,180.0,0.3423828125,-5.583748833835125,-0.038609872329834614,6.448507308959961,0.0,19.049950140714646,0.020588614,0.2,0.0003,140,,,,,
30720,16.654891967773438,180.0,,,,,,,,,,,,,,,
31744,15.886911392211914,180.0,0.366015625,-5.5587220042943954,-0.03495561564777745,6.3102240562438965,0.0,16.8579143345356,0.02339523,0.2,0.0003,150,,,,,
32768,14.501235008239746,180.0,,,,,,,,,,,,,,,
33792,17.703201293945312,180.0,0.408349609375,-5.526065282523632,-0.04309141740232007,8.893688201904297,0.0,18.29545975625515,0.026924815,0.2,0.0003,160,,,,,
34816,15.116378784179688,180.0,,,,,,,,,,,,,,,
35840,15.735246658325195,180.0,0.31826171875,-5.498816476762295,-0.03646608170529362,11.357475280761719,1.1920928955078125e-07,19.539879260957242,0.019392535,0.2,0.0003,170,,,,,
36864,15.341194152832031,180.0,,,,,,,,,,,,,,,
37888,16.304466247558594,180.0,0.333203125,-5.480137135088444,-0.035962777541135436,12.269258499145508,0.0,18.143692721426486,0.021653293,0.2,0.0003,180,,,,,
38912,16.385066986083984,180.0,,,,,,,,,,,,,,,
39936,14.297086715698242,180.0,0.340087890625,-5.423985369503498,-0.03434595814615023,11.5205717086792,1.1920928955078125e-07,18.53900101184845,0.020424992,0.2,0.0003,190,,,,,
40960,15.889391899108887,180.0,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,332,20,180.0,123,15.590463339999996
41984,17.627052307128906,180.0,0.320458984375,-5.388290475308895,-0.03281705101107946,15.25740909576416,0.0,20.916517780721186,0.021577045,0.2,0.0003,200,,,,,
43008,17.005971908569336,180.0,,,,,,,,,,,,,,,
44032,16.545429229736328,180.0,0.350732421875,-5.367240829765796,-0.034545319742755966,7.983436107635498,0.0,17.471467719972132,0.021761201,0.2,0.0003,210,,,,,
45056,14.262857437133789,180.0,,,,,,,,,,,,,,,
