eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed
180.0,1024,13.42971420288086,,,,,,,,,,,,,,,
180.0,2048,14.236159324645996,,,,,,,,,,,,,,,
180.0,3072,12.393156051635742,0.2,-3.981590270996094e-05,-5.86893613487482,0.0002,0.023394223,18.70448154658079,10,-0.04236628854632727,0.39814453125,11.350898742675781,,,,,
180.0,4096,13.412162780761719,,,,,,,,,,,,,,,
180.0,5120,12.911438941955566,0.2,0.0,-5.843972087651491,0.0002,0.027475115,17.36786247678101,20,-0.041995059759210564,0.39560546875,13.00149917602539,,,,,
180.0,6144,14.306239128112793,,,,,,,,,,,,,,,
180.0,7168,15.054095268249512,0.2,0.0,-5.809678336977958,0.0002,0.023820926,15.137254790961743,30,-0.04064841953877476,0.381396484375,5.4942169189453125,,,,,
180.0,8192,14.614019393920898,,,,,,,,,,,,,,,
180.0,9216,13.10491943359375,0.2,0.0,-5.794052882492542,0.0002,0.020977829,18.070879972726107,40,-0.03671806398742774,0.35439453125,28.0064754486084,,,,,
180.0,10240,13.864370346069336,,,,,,,,,,,,,,,
180.0,11264,15.676197052001953,0.2,0.0,-5.771017760038376,0.0002,0.023470037,18.43919329084456,50,-0.03901306985717383,0.362353515625,36.41886901855469,,,,,
180.0,12288,13.738520622253418,,,,,,,,,,,,,,,
180.0,13312,15.535606384277344,0.2,0.0,-5.7653289720416065,0.0002,0.020276923,17.915422499924897,60,-0.03535832480338286,0.32099609375,10.02926254272461,,,,,
180.0,14336,13.962203979492188,,,,,,,,,,,,,,,
180.0,15360,14.01772689819336,0.2,0.0,-5.7456516928970816,0.0002,0.020974897,17.204150480031966,70,-0.04094866968989663,0.331298828125,13.794604301452637,,,,,
180.0,16384,12.48519515991211,,,,,,,,,,,,,,,
180.0,17408,14.739477157592773,0.2,1.1920928955078125e-07,-5.732492771744728,0.0002,0.02154174,17.296380141377448,80,-0.041360640730999876,0.33408203125,9.586814880371094,,,,,
180.0,18432,13.215340614318848,,,,,,,,,,,,,,,
180.0,19456,13.706274032592773,0.2,0.0,-5.703996615111828,0.0002,0.02085507,20.00865443199873,90,-0.03545030756431515,0.320556640625,11.956201553344727,,,,,
180.0,20480,13.390545845031738,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,10,180.0,252,14.004590770000002,81
180.0,21504,14.74799919128418,0.2,0.0,-5.6978492245078085,0.0002,0.020583097,18.32510227113962,100,-0.03593110732545028,0.317626953125,7.587136268615723,,,,,
180.0,22528,15.278046607971191,,,,,,,,,,,,,,,
180.0,23552,14.867444038391113,0.2,1.1920928955078125e-07,-5.667719547450543,0.0002,0.021264419,16.808639016002417,110,-0.03742619916374679,0.333056640625,15.471001625061035,,,,,
180.0,24576,13.884773254394531,,,,,,,,,,,,,,,
180.0,25600,13.64055347442627,0.2,-1.1920928955078125e-07,-5.645811753720045,0.0002,0.020763695,18.049843709915876,120,-0.0361013581205043,0.322509765625,22.033010482788086,,,,,
180.0,26624,14.893611907958984,,,,,,,,,,,,,,,
180.0,27648,13.907464981079102,0.2,0.0,-5.629279862344265,0.0002,0.022341307,18.11177455410361,130,-0.04058662324605393,0.351611328125,8.28189754486084,,,,,
180.0,28672,15.42837142944336,,,,,,,,,,,,,,,
180.0,29696,15.855864524841309,0.2,0.0,-5.604647310078144,0.0002,0.01952719,18.728383846953513,140,-0.033839216698834204,0.325439453125,17.41949462890625,,,,,
180.0,30720,14.614734649658203,,,,,,,,,,,,,,,
180.0,31744,15.536653518676758,0.2,0.0,-5.593618404120207,0.0002,0.021040078,18.323719503730537,150,-0.033967941056471315,0.301708984375,9.462762832641602,,,,,
180.0,32768,16.64902114868164,,,,,,,,,,,,,,,
180.0,33792,14.861635208129883,0.2,0.0,-5.575423836708069,0.0002,0.022975381,17.10943241380155,160,-0.03541390191530809,0.360546875,11.532033920288086,,,,,
180.0,34816,13.842238426208496,,,,,,,,,,,,,,,
180.0,35840,14.737966537475586,0.2,0.0,-5.532824626564979,0.0002,0.022518294,17.77025055103004,170,-0.03906726928325952,0.371484375,7.058111667633057,,,,,
180.0,36864,14.965774536132812,,,,,,,,,,,,,,,
