eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/learning_rate,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
180.0,13.42105484008789,1024,,,,,,,,,,,,,,,
180.0,13.332422256469727,2048,,,,,,,,,,,,,,,
180.0,12.801488876342773,3072,12.780952453613281,-0.016449885310794343,18.82050322368741,0.006924035,0.2,-0.0015679597854614258,10,-5.884384706616402,0.0294921875,3e-05,,,,,
180.0,12.954700469970703,4096,,,,,,,,,,,,,,,
180.0,13.295557975769043,5120,12.38817310333252,-0.02243044025817653,16.489476300030947,0.007963903,0.2,8.344650268554688e-06,20,-5.877303237468004,0.04375,3e-05,,,,,
180.0,14.34268569946289,6144,,,,,,,,,,,,,,,
180.0,14.298822402954102,7168,9.090124130249023,-0.020323551863839384,17.350039888545872,0.0076689655,0.2,2.384185791015625e-07,30,-5.869965924322605,0.0341796875,3e-05,,,,,
180.0,13.72677230834961,8192,,,,,,,,,,,,,,,
180.0,15.179349899291992,9216,10.077864646911621,-0.02190339842272806,17.865139604732395,0.008267257,0.2,2.384185791015625e-07,40,-5.8616518817842005,0.05,3e-05,,,,,
180.0,13.99449348449707,10240,,,,,,,,,,,,,,,
180.0,12.632534980773926,11264,10.661584854125977,-0.02142671424335276,19.02537908628583,0.007450331,0.2,0.0,50,-5.852454113215208,0.0341796875,3e-05,,,,,
180.0,13.555107116699219,12288,,,,,,,,,,,,,,,
180.0,14.897516250610352,13312,9.399040222167969,-0.023455369515431812,18.791981851309536,0.0081909085,0.2,0.0,60,-5.841849962621927,0.04599609375,3e-05,,,,,
180.0,14.28023910522461,14336,,,,,,,,,,,,,,,
180.0,14.523627281188965,15360,18.320669174194336,-0.02149042213732173,16.150705756619573,0.00906916,0.2,-1.1920928955078125e-07,70,-5.830792529881,0.05771484375,3e-05,,,,,
180.0,13.868141174316406,16384,,,,,,,,,,,,,,,
180.0,15.09538459777832,17408,6.979762554168701,-0.019132501183776185,16.855927919223905,0.0068236873,0.2,0.0,80,-5.82268264144659,0.0328125,3e-05,,,,,
180.0,13.632002830505371,18432,,,,,,,,,,,,,,,
180.0,14.602996826171875,19456,4.450733661651611,-0.02156660115288105,16.83014415614307,0.0070470423,0.2,0.0,90,-5.816895391792059,0.035302734375,3e-05,,,,,
180.0,15.022615432739258,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,10,70,290,180.0,13.745695790000003
180.0,13.84577751159668,21504,5.906057357788086,-0.019120903301927682,18.46365623958409,0.0057887873,0.2,0.0,100,-5.811024639755487,0.025146484375,3e-05,,,,,
180.0,13.44851303100586,22528,,,,,,,,,,,,,,,
180.0,13.941670417785645,23552,11.123613357543945,-0.019657244540940155,17.121788075566293,0.0067275884,0.2,-1.1920928955078125e-07,110,-5.803253161162138,0.037939453125,3e-05,,,,,
180.0,14.582298278808594,24576,,,,,,,,,,,,,,,
180.0,15.197336196899414,25600,2.9675374031066895,-0.020416596670838772,17.280775559321047,0.006210039,0.2,0.0,120,-5.795380286127329,0.0259765625,3e-05,,,,,
180.0,13.9976806640625,26624,,,,,,,,,,,,,,,
180.0,12.912580490112305,27648,7.299432277679443,-0.023053707203507655,17.89749125391245,0.0075861244,0.2,1.1920928955078125e-07,130,-5.790222653746605,0.033935546875,3e-05,,,,,
180.0,15.308780670166016,28672,,,,,,,,,,,,,,,
180.0,15.21198844909668,29696,15.307600021362305,-0.024361292619869346,18.43606724664569,0.008322393,0.2,0.0,140,-5.783142801374197,0.046142578125,3e-05,,,,,
180.0,13.780261993408203,30720,,,,,,,,,,,,,,,
180.0,14.62820816040039,31744,7.463015556335449,-0.02075304560639779,17.765823108516635,0.0072125774,0.2,0.0,150,-5.775356233119965,0.042724609375,3e-05,,,,,
180.0,13.738714218139648,32768,,,,,,,,,,,,,,,
180.0,15.419631958007812,33792,10.325316429138184,-0.021598073543282227,17.8451643999666,0.0064001605,0.2,0.0,160,-5.77100682258606,0.028564453125,3e-05,,,,,
180.0,14.302275657653809,34816,,,,,,,,,,,,,,,
180.0,14.975573539733887,35840,14.045348167419434,-0.018946254978618526,18.961875576898457,0.006990927,0.2,0.0,170,-5.766989623755217,0.03798828125,3e-05,,,,,
180.0,13.392782211303711,36864,,,,,,,,,,,,,,,
180.0,13.970281600952148,37888,11.146178245544434,-0.01911557178700605,18.624352607876062,0.007347919,0.2,0.0,180,-5.764095709472895,0.03505859375,3e-05,,,,,
180.0,13.892822265625,38912,,,,,,,,,,,,,,,
180.0,14.691083908081055,39936,18.706663131713867,-0.020132821468723704,20.564332983642817,0.0075260038,0.2,-1.1920928955078125e-07,190,-5.757511010766029,0.042236328125,3e-05,,,,,
180.0,13.432527542114258,40960,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,20,137,297,180.0,14.360909479999998
180.0,14.04619026184082,41984,27.2018985748291,-0.019353247349499725,19.450007655471563,0.007055035,0.2,0.0,200,-5.7489739000797275,0.037744140625,3e-05,,,,,
180.0,15.166001319885254,43008,,,,,,,,,,,,,,,
180.0,14.589506149291992,44032,11.74002456665039,-0.019507859827717765,19.36264363154769,0.007175819,0.2,-1.1920928955078125e-07,210,-5.7411411762237545,0.032861328125,3e-05,,,,,
180.0,14.436782836914062,45056,,,,,,,,,,,,,,,
180.0,13.827014923095703,46080,6.728702545166016,-0.019066090613341656,18.225299484282733,0.0062988554,0.2,0.0,220,-5.734296627342701,0.0236328125,3e-05,,,,,
180.0,13.662956237792969,47104,,,,,,,,,,,,,,,
180.0,13.393281936645508,48128,7.698836803436279,-0.017573216763776146,19.636229303851724,0.006092385,0.2,1.1920928955078125e-07,230,-5.727788622677326,0.019580078125,3e-05,,,,,
180.0,14.995078086853027,49152,,,,,,,,,,,,,,,
180.0,13.921579360961914,50176,17.04322624206543,-0.02231693188623467,16.712964982539415,0.008500954,0.2,-1.1920928955078125e-07,240,-5.718961992859841,0.0578125,3e-05,,,,,
180.0,13.728052139282227,51200,,,,,,,,,,,,,,,
180.0,13.717241287231445,52224,14.322491645812988,-0.018364535308865015,17.179546065255998,0.0060849125,0.2,0.0,250,-5.711796349287033,0.032568359375,3e-05,,,,,
180.0,14.241703033447266,53248,,,,,,,,,,,,,,,
180.0,14.311344146728516,54272,10.768802642822266,-0.01870206618696102,17.69988595843315,0.0063281367,0.2,0.0,260,-5.700189822167158,0.020947265625,3e-05,,,,,
180.0,14.377904891967773,55296,,,,,,,,,,,,,,,
180.0,14.27950668334961,56320,12.759490966796875,-0.02341688301639806,18.838098222017287,0.00842982,0.2,-2.384185791015625e-07,270,-5.685229676961899,0.065283203125,3e-05,,,,,
180.0,13.36056137084961,57344,,,,,,,,,,,,,,,
180.0,14.73742961883545,58368,6.128250598907471,-0.017097847469995032,15.999049843102693,0.0060795587,0.2,0.0,280,-5.67718318849802,0.031640625,3e-05,,,,,
180.0,14.829822540283203,59392,,,,,,,,,,,,,,,
180.0,14.465624809265137,60416,10.23381519317627,-0.02322856152168242,18.695161372795702,0.0076366067,0.2,0.0,290,-5.668400696665048,0.03955078125,3e-05,,,,,
180.0,14.96436882019043,61440,,,,,,,,,,,,,,,
,,61440,,,,,,,,,,,30,204,300,180.0,14.29471261
180.0,14.982808113098145,62464,23.211071014404297,-0.022117974076536484,20.83382241651416,0.008535444,0.2,0.0,300,-5.656718073785305,0.0666015625,3e-05,,,,,
180.0,14.082280158996582,63488,,,,,,,,,,,,,,,
180.0,13.686552047729492,64512,12.286992073059082,-0.021953498139191653,17.928552978485822,0.009070728,0.2,0.0,310,-5.645513127744198,0.06005859375,3e-05,,,,,
180.0,15.433606147766113,65536,,,,,,,,,,,,,,,
180.0,16.73251724243164,66560,11.20028305053711,-0.020663988140586297,17.257084385305642,0.0072634285,0.2,0.0,320,-5.6364677511155605,0.05107421875,3e-05,,,,,
180.0,14.045642852783203,67584,,,,,,,,,,,,,,,
180.0,13.132194519042969,68608,19.459117889404297,-0.020505414792296506,19.571236945316194,0.007132554,0.2,0.0,330,-5.635106994211673,0.036572265625,3e-05,,,,,
180.0,13.474875450134277,69632,,,,,,,,,,,,,,,
180.0,13.899118423461914,70656,14.340723037719727,-0.018099518984672613,20.383983878046273,0.0055419104,0.2,0.0,340,-5.631838707625866,0.023681640625,3e-05,,,,,
180.0,15.10849380493164,71680,,,,,,,,,,,,,,,
180.0,14.144942283630371,72704,14.95914363861084,-0.019352234243160637,20.851398065686226,0.008021569,0.2,0.0,350,-5.6171706058084965,0.04951171875,3e-05,,,,,
180.0,12.983102798461914,73728,,,,,,,,,,,,,,,
180.0,14.468311309814453,74752,8.113429069519043,-0.02022111019177828,17.767796318233014,0.007597647,0.2,1.1920928955078125e-07,360,-5.603170518577099,0.054150390625,3e-05,,,,,
180.0,15.53194808959961,75776,,,,,,,,,,,,,,,
180.0,15.778776168823242,76800,3.9781391620635986,-0.017840208906272893,18.407733999937772,0.006825803,0.2,0.0,370,-5.597269072383642,0.032763671875,3e-05,,,,,
180.0,15.188299179077148,77824,,,,,,,,,,,,,,,
180.0,15.324395179748535,78848,17.670230865478516,-0.017443229658238125,18.367490065097808,0.006935388,0.2,0.0,380,-5.5894488476216795,0.0357421875,3e-05,,,,,
180.0,16.67954444885254,79872,,,,,,,,,,,,,,,
180.0,14.722412109375,80896,7.93227481842041,-0.022100815180601786,17.716301556304096,0.0069244136,0.2,0.0,390,-5.575651289522648,0.029345703125,3e-05,,,,,
180.0,14.560243606567383,81920,,,,,,,,,,,,,,,
,,81920,,,,,,,,,,,40,271,301,180.0,15.00177283
180.0,14.313201904296875,82944,8.656030654907227,-0.01733247302217933,22.318565791100262,0.006106369,0.2,-1.1920928955078125e-07,400,-5.56939512565732,0.018310546875,3e-05,,,,,
180.0,14.591500282287598,83968,,,,,,,,,,,,,,,
180.0,13.564757347106934,84992,17.043506622314453,-0.018910935495296145,18.054642349854113,0.007465535,0.2,-1.1920928955078125e-07,410,-5.559208226203919,0.038671875,3e-05,,,,,
180.0,16.143413543701172,86016,,,,,,,,,,,,,,,
180.0,17.129581451416016,87040,17.235017776489258,-0.018730102352492395,15.949432124570013,0.0068265563,0.2,0.0,420,-5.542535452544689,0.0330078125,3e-05,,,,,
180.0,15.428182601928711,88064,,,,,,,,,,,,,,,
180.0,15.629500389099121,89088,15.145371437072754,-0.017804605175297184,19.273718693852423,0.006197001,0.2,0.0,430,-5.526842357218266,0.018896484375,3e-05,,,,,
180.0,16.075347900390625,90112,,,,,,,,,,,,,,,
180.0,14.897377014160156,91136,27.166522979736328,-0.01946764915337553,17.38072069361806,0.0074045756,0.2,0.0,440,-5.506525056809187,0.04609375,3e-05,,,,,
180.0,15.996274948120117,92160,,,,,,,,,,,,,,,
180.0,15.175260543823242,93184,4.291230201721191,-0.01695291303221893,18.578098714724185,0.0068849484,0.2,0.0,450,-5.499458888173104,0.03486328125,3e-05,,,,,
180.0,17.565887451171875,94208,,,,,,,,,,,,,,,
180.0,16.72140884399414,95232,13.497014045715332,-0.023388484699535184,18.298204393312336,0.008391071,0.2,0.0,460,-5.492913319170475,0.052392578125,3e-05,,,,,
180.0,14.88894271850586,96256,,,,,,,,,,,,,,,
180.0,15.986824035644531,97280,14.339927673339844,-0.016474627104616956,19.664304300397635,0.005961231,0.2,0.0,470,-5.476821375638247,0.017822265625,3e-05,,,,,
180.0,15.396833419799805,98304,,,,,,,,,,,,,,,
180.0,15.530112266540527,99328,17.79522705078125,-0.01766361784266337,20.961192017048596,0.006384775,0.2,0.0,480,-5.467489581555128,0.029638671875,3e-05,,,,,
180.0,14.90292739868164,100352,,,,,,,,,,,,,,,
180.0,14.302774429321289,101376,6.0486741065979,-0.018441297663594015,19.129588980972766,0.007004948,0.2,0.0,490,-5.457013069838285,0.04111328125,3e-05,,,,,
180.0,15.040597915649414,102400,,,,,,,,,,,,,,,
,,102400,,,,,,,,,,,50,341,299,180.0,15.28324013
180.0,15.558971405029297,103424,20.484289169311523,-0.01966940286656609,18.281733386963605,0.006960753,0.2,0.0,500,-5.447012193500996,0.036865234375,3e-05,,,,,
180.0,15.555734634399414,104448,,,,,,,,,,,,,,,
180.0,14.119929313659668,105472,13.959355354309082,-0.016970053804834608,19.855886090174316,0.007047942,0.2,1.7881393432617188e-07,510,-5.42846887782216,0.0267578125,3e-05,,,,,
180.0,17.611019134521484,106496,,,,,,,,,,,,,,,
180.0,15.663375854492188,107520,23.945362091064453,-0.016724474129114243,18.993825099244713,0.006392258,0.2,0.0,520,-5.411082698404789,0.03017578125,3e-05,,,,,
180.0,15.63691520690918,108544,,,,,,,,,,,,,,,
180.0,15.939626693725586,109568,13.820014953613281,-0.018500845626113004,20.565633840858936,0.0064218594,0.2,0.0,530,-5.400297253578901,0.024267578125,3e-05,,,,,
180.0,15.636883735656738,110592,,,,,,,,,,,,,,,
180.0,15.348016738891602,111616,7.86680269241333,-0.019073812118949717,18.918769259378315,0.0066071795,0.2,0.0,540,-5.388863383233547,0.0392578125,3e-05,,,,,
180.0,15.885793685913086,112640,,,,,,,,,,,,,,,
180.0,16.901653289794922,113664,10.681797981262207,-0.01756328832852887,18.14072970673442,0.0071528237,0.2,1.1920928955078125e-07,550,-5.375821731984615,0.027783203125,3e-05,,,,,
180.0,17.083024978637695,114688,,,,,,,,,,,,,,,
180.0,16.293926239013672,115712,7.6321845054626465,-0.02000131941967993,17.532838313654064,0.00810124,0.2,0.0,560,-5.348376718908549,0.050244140625,3e-05,,,,,
180.0,14.143848419189453,116736,,,,,,,,,,,,,,,
180.0,17.060880661010742,117760,15.431068420410156,-0.016041752848468604,20.33473421931267,0.0061701667,0.2,1.1920928955078125e-07,570,-5.326704642176628,0.020849609375,3e-05,,,,,
180.0,17.68672752380371,118784,,,,,,,,,,,,,,,
180.0,17.395214080810547,119808,9.508373260498047,-0.01808751573043992,20.183061457425357,0.0066569136,0.2,0.0,580,-5.304973378032446,0.03173828125,3e-05,,,,,
180.0,15.112079620361328,120832,,,,,,,,,,,,,,,
180.0,16.80463981628418,121856,6.531363487243652,-0.019371698096438194,19.424827088043095,0.0072677834,0.2,-1.1920928955078125e-07,590,-5.291714061051607,0.037841796875,3e-05,,,,,
180.0,16.124509811401367,122880,,,,,,,,,,,,,,,
,,122880,,,,,,,,,,,60,408,301,180.0,16.189732450000005
180.0,15.698206901550293,123904,11.25782299041748,-0.016660587128353655,18.148803670704364,0.005982278,0.2,0.0,600,-5.274831005930901,0.02802734375,3e-05,,,,,
180.0,18.671123504638672,124928,,,,,,,,,,,,,,,
180.0,16.107595443725586,125952,14.562177658081055,-0.016202512665222456,19.904166604578496,0.0054393206,0.2,0.0,610,-5.2519493736326694,0.01240234375,3e-05,,,,,
180.0,17.928482055664062,126976,,,,,,,,,,,,,,,
180.0,19.573711395263672,128000,15.210015296936035,-0.01811869924640632,18.36740279942751,0.005899716,0.2,0.0,620,-5.2306743957102295,0.024560546875,3e-05,,,,,
180.0,18.69852066040039,129024,,,,,,,,,,,,,,,
180.0,19.36014175415039,130048,8.112051010131836,-0.01467708907330234,18.145570651814342,0.0050620884,0.2,0.0,630,-5.211499155312777,0.011328125,3e-05,,,,,
180.0,17.34598731994629,131072,,,,,,,,,,,,,,,
180.0,18.710350036621094,132096,4.383370876312256,-0.016188616561703385,20.820575892552732,0.005958231,0.2,0.0,640,-5.193963395059109,0.02060546875,3e-05,,,,,
180.0,15.752527236938477,133120,,,,,,,,,,,,,,,
180.0,18.82809066772461,134144,11.228348731994629,-0.017050060660767485,18.870090333744884,0.006354909,0.2,0.0,650,-5.170128738880157,0.019677734375,3e-05,,,,,
180.0,18.970664978027344,135168,,,,,,,,,,,,,,,
180.0,22.026844024658203,136192,14.237746238708496,-0.017362742210752912,17.903755244612693,0.0068747494,0.2,0.0,660,-5.120327666401863,0.031396484375,3e-05,,,,,
180.0,19.572376251220703,137216,,,,,,,,,,,,,,,
180.0,19.07465362548828,138240,8.664073944091797,-0.01760091574396938,21.234016113728284,0.0060923058,0.2,0.0,670,-5.085623877495527,0.024609375,3e-05,,,,,
180.0,17.37723159790039,139264,,,,,,,,,,,,,,,
180.0,18.15708351135254,140288,11.51264476776123,-0.015373482313589194,21.086973141878843,0.006510196,0.2,0.0,680,-5.072633701562881,0.028564453125,3e-05,,,,,
180.0,18.244388580322266,141312,,,,,,,,,,,,,,,
180.0,22.305408477783203,142336,7.888787746429443,-0.01684310435084626,18.822420559450983,0.007852074,0.2,1.1920928955078125e-07,690,-5.056205935031175,0.02734375,3e-05,,,,,
180.0,18.85405158996582,143360,,,,,,,,,,,,,,,
,,143360,,,,,,,,,,,70,474,302,180.0,17.97216899
180.0,19.841367721557617,144384,18.532859802246094,-0.015890470252998057,20.99688171967864,0.005807914,0.2,-1.1920928955078125e-07,700,-5.0298661008477215,0.019775390625,3e-05,,,,,
180.0,19.234928131103516,145408,,,,,,,,,,,,,,,
180.0,20.50313949584961,146432,13.78995418548584,-0.014699342741005239,21.164802174270154,0.006172756,0.2,0.0,710,-4.993079096823931,0.022509765625,3e-05,,,,,
180.0,20.738401412963867,147456,,,,,,,,,,,,,,,
180.0,22.86941909790039,148480,18.31150245666504,-0.01703466786275385,21.282859443873168,0.006565269,0.2,0.0,720,-4.93835161998868,0.03017578125,3e-05,,,,,
180.0,20.796527862548828,149504,,,,,,,,,,,,,,,
180.0,21.381452560424805,150528,15.080838203430176,-0.019276030547189293,20.29401136264205,0.0067735435,0.2,0.0,730,-4.878742843866348,0.019140625,3e-05,,,,,
180.0,23.248699188232422,151552,,,,,,,,,,,,,,,
180.0,24.62908935546875,152576,12.005163192749023,-0.01879939294885844,21.020974153280257,0.00666574,0.2,0.0,740,-4.830084563046694,0.02236328125,3e-05,,,,,
180.0,21.034038543701172,153600,,,,,,,,,,,,,,,
180.0,22.37314224243164,154624,19.490150451660156,-0.014497677747931448,23.684682121127842,0.005985472,0.2,0.0,750,-4.795176516473293,0.012255859375,3e-05,,,,,
180.0,24.783870697021484,155648,,,,,,,,,,,,,,,
180.0,26.319416046142578,156672,14.949514389038086,-0.016446653290950054,19.571076091378927,0.0052752635,0.2,0.0,760,-4.774291548132896,0.017431640625,3e-05,,,,,
180.0,23.788223266601562,157696,,,,,,,,,,,,,,,
180.0,24.47834014892578,158720,13.563254356384277,-0.016934388616573415,18.814941469579935,0.0069585303,0.2,0.0,770,-4.7579524800181385,0.025927734375,3e-05,,,,,
180.0,25.55047607421875,159744,,,,,,,,,,,,,,,
180.0,22.916339874267578,160768,27.294649124145508,-0.01827689188576187,19.05521126911044,0.008549075,0.2,0.0,780,-4.717628553509712,0.030908203125,3e-05,,,,,
180.0,24.167783737182617,161792,,,,,,,,,,,,,,,
180.0,27.330162048339844,162816,17.03516960144043,-0.017991591937243357,19.825084209069608,0.007467148,0.2,0.0,790,-4.681486439704895,0.05078125,3e-05,,,,,
180.0,25.619922637939453,163840,,,,,,,,,,,,,,,
,,163840,,,,,,,,,,,80,541,302,180.0,23.067529720000003
180.0,28.046245574951172,164864,15.606766700744629,-0.01628997973348305,21.44838960915804,0.006609393,0.2,0.0,800,-4.641004515439272,0.017431640625,3e-05,,,,,
180.0,28.207977294921875,165888,,,,,,,,,,,,,,,
180.0,26.829729080200195,166912,16.59748649597168,-0.016919523292744997,21.933093702793123,0.006155328,0.2,0.0,810,-4.5687632113695145,0.021337890625,3e-05,,,,,
180.0,29.03913116455078,167936,,,,,,,,,,,,,,,
180.0,28.9291934967041,168960,5.2560882568359375,-0.014385693034273572,21.39641088694334,0.0059517752,0.2,0.0,820,-4.519217756390572,0.01435546875,3e-05,,,,,
180.0,27.089120864868164,169984,,,,,,,,,,,,,,,
180.0,30.629165649414062,171008,19.71141815185547,-0.014142418957999326,21.367514456808568,0.0068868296,0.2,0.0,830,-4.493442022055388,0.006396484375,3e-05,,,,,
180.0,29.38965606689453,172032,,,,,,,,,,,,,,,
180.0,30.882400512695312,173056,12.774259567260742,-0.0142387696163496,19.775473710894584,0.0062379935,0.2,1.1920928955078125e-07,840,-4.470458999276161,0.016748046875,3e-05,,,,,
180.0,29.783653259277344,174080,,,,,,,,,,,,,,,
180.0,30.247207641601562,175104,22.249256134033203,-0.014788202376439585,20.107345525175333,0.0061223037,0.2,0.0,850,-4.452911117672921,0.024169921875,3e-05,,,,,
180.0,33.29343795776367,176128,,,,,,,,,,,,,,,
180.0,29.99527931213379,177152,13.914644241333008,-0.013370448394562117,20.56060136258602,0.0049576517,0.2,0.0,860,-4.448237197846174,0.0095703125,3e-05,,,,,
180.0,30.32944107055664,178176,,,,,,,,,,,,,,,
180.0,33.208839416503906,179200,6.9774041175842285,-0.015298507460101973,23.90926214978099,0.0068287393,0.2,0.0,870,-4.416417403519153,0.01201171875,3e-05,,,,,
180.0,31.86605453491211,180224,,,,,,,,,,,,,,,
180.0,28.862762451171875,181248,13.266210556030273,-0.01337280775551335,24.045197304338217,0.005790066,0.2,0.0,880,-4.367919550091028,0.011572265625,3e-05,,,,,
180.0,33.8095703125,182272,,,,,,,,,,,,,,,
180.0,30.899446487426758,183296,10.072813987731934,-0.014439474765822524,21.372097223997116,0.0058002835,0.2,0.0,890,-4.342600126564503,0.0162109375,3e-05,,,,,
180.0,33.62517547607422,184320,,,,,,,,,,,,,,,
,,184320,,,,,,,,,,,90,609,302,180.0,31.14437958
180.0,34.15672302246094,185344,13.561690330505371,-0.014325552384616459,19.645587276294826,0.007160348,0.2,0.0,900,-4.2963970802724365,0.014990234375,3e-05,,,,,
180.0,35.990692138671875,186368,,,,,,,,,,,,,,,
180.0,37.31597900390625,187392,15.435216903686523,-0.011581743686474511,23.903647872805596,0.00611128,0.2,-1.1920928955078125e-07,910,-4.271485218405724,0.01611328125,3e-05,,,,,
180.0,36.754241943359375,188416,,,,,,,,,,,,,,,
180.0,40.184513092041016,189440,6.2438201904296875,-0.013285592013562563,20.018724653869867,0.0061305324,0.2,0.0,920,-4.257428897172213,0.01015625,3e-05,,,,,
180.0,36.681602478027344,190464,,,,,,,,,,,,,,,
180.0,39.571372985839844,191488,11.143731117248535,-0.01338012566739053,24.630650175362824,0.0058941985,0.2,0.0,930,-4.227649299055338,0.01337890625,3e-05,,,,,
180.0,38.11136245727539,192512,,,,,,,,,,,,,,,
180.0,43.000022888183594,193536,18.806806564331055,-0.0157816004997585,20.09362498894334,0.0074207466,0.2,0.0,940,-4.1960466966032985,0.03134765625,3e-05,,,,,
180.0,42.23723602294922,194560,,,,,,,,,,,,,,,
180.0,39.84697341918945,195584,10.158223152160645,-0.011700921320152703,20.0534052439034,0.004204633,0.2,0.0,950,-4.181223534047604,0.014794921875,3e-05,,,,,
180.0,36.22389221191406,196608,,,,,,,,,,,,,,,
180.0,38.18852233886719,197632,9.979487419128418,-0.013446644789655692,23.07243315950036,0.0047630104,0.2,0.0,960,-4.165957983583212,0.01650390625,3e-05,,,,,
