time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
1024,13.65008544921875,12.0,,,,,,,,,,,,,,,
2048,15.573507308959961,12.0,,,,,,,,,,,,,,,
3072,10.419869422912598,12.0,10,0.0003,-3.9051144517958165,-0.05780768869444728,0.343310546875,-0.0005623102188110352,3758.783869934082,0.2,1732.276611328125,0.03661393,,,,,
4096,14.33737564086914,12.0,,,,,,,,,,,,,,,
5120,14.301517486572266,12.0,20,0.0003,-3.8978713020682334,-0.05854661627090536,0.322265625,0.0,3814.2422676086426,0.2,1646.17333984375,0.034936856,,,,,
6144,14.40829849243164,12.0,,,,,,,,,,,,,,,
7168,13.055473327636719,12.0,30,0.0003,-3.8925507187843325,-0.056767755979672076,0.312744140625,-8.344650268554688e-07,4304.107479095459,0.2,1918.197021484375,0.03560822,,,,,
8192,16.011943817138672,12.0,,,,,,,,,,,,,,,
9216,16.069612503051758,12.0,40,0.0003,-3.8845079824328423,-0.053755259985337034,0.3052734375,-1.1920928955078125e-07,4034.9924919128416,0.2,1800.3665771484375,0.030782279,,,,,
10240,12.514310836791992,12.0,,,,,,,,,,,,,,,
11264,10.67412281036377,12.0,50,0.0003,-3.8782973006367683,-0.05203660489642061,0.3365234375,1.1920928955078125e-07,4364.146453857422,0.2,1678.75341796875,0.036176343,,,,,
12288,15.710016250610352,12.0,,,,,,,,,,,,,,,
13312,11.786781311035156,12.0,60,0.0003,-3.870450296252966,-0.054050093106343414,0.297412109375,-1.1920928955078125e-07,4465.165077209473,0.2,1878.5147705078125,0.037881874,,,,,
14336,12.104599952697754,12.0,,,,,,,,,,,,,,,
15360,15.071697235107422,12.0,70,0.0003,-3.8613809324800967,-0.052484223918872884,0.302490234375,-1.1920928955078125e-07,3953.683698272705,0.2,1265.358642578125,0.031954754,,,,,
16384,12.513528823852539,12.0,,,,,,,,,,,,,,,
17408,16.713520050048828,12.0,80,0.0003,-3.850125440955162,-0.05608233173843473,0.34189453125,0.0,3991.6497718811033,0.2,1766.8155517578125,0.041253388,,,,,
18432,13.980804443359375,12.0,,,,,,,,,,,,,,,
19456,17.215984344482422,12.0,90,0.0003,-3.845692714303732,-0.052652004506671804,0.326318359375,0.0,3961.3137802124024,0.2,1949.700927734375,0.038088612,,,,,
20480,11.205310821533203,12.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,126.26924312999999,12.0,10,102,198
21504,15.283418655395508,12.0,100,0.0003,-3.8252129182219505,-0.05741693049785681,0.3400390625,-1.1920928955078125e-07,4243.706303405762,0.2,1894.8887939453125,0.04096424,,,,,
22528,7.9902448654174805,12.0,,,,,,,,,,,,,,,
23552,13.692954063415527,12.0,110,0.0003,-3.797352146357298,-0.058476927760057154,0.3677734375,5.960464477539063e-08,4286.601274108887,0.2,1738.21533203125,0.050253864,,,,,
24576,15.4182767868042,12.0,,,,,,,,,,,,,,,
25600,18.003732681274414,12.0,120,0.0003,-3.7707658395171166,-0.053474424267187716,0.356396484375,0.0,4578.467747497559,0.2,2228.287841796875,0.05339846,,,,,
26624,15.50570011138916,12.0,,,,,,,,,,,,,,,
27648,16.569232940673828,12.0,130,0.0003,-3.745635323226452,-0.051987397333141415,0.3720703125,0.0,4065.5480567932127,0.2,1723.001220703125,0.05675554,,,,,
28672,17.634510040283203,12.0,,,,,,,,,,,,,,,
29696,15.195802688598633,12.0,140,0.0003,-3.699131878465414,-0.055739766135229726,0.38388671875,-1.1920928955078125e-07,4596.576327514648,0.2,2113.3740234375,0.060315218,,,,,
30720,15.109359741210938,12.0,,,,,,,,,,,,,,,
