time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/n_updates,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations
1024,27.0,39.134639739990234,,,,,,,,,,,,,,,
2048,27.0,34.346343994140625,,,,,,,,,,,,,,,
3072,27.0,37.92292785644531,83956.0042602539,-0.016565526274644072,-5.885081788897514,43642.1953125,-0.0001386404037475586,0.00316172,0.00361328125,0.0003,0.2,10,,,,,
4096,27.0,38.83210754394531,,,,,,,,,,,,,,,
5120,27.0,36.07263946533203,80919.53018798828,-0.01595557471155189,-5.881636269390583,38868.2109375,1.7881393432617188e-07,0.0035699625,0.00537109375,0.0003,0.2,20,,,,,
6144,27.0,45.403133392333984,,,,,,,,,,,,,,,
7168,27.0,38.71101379394531,80984.82589111329,-0.015689277203637175,-5.877827018499374,41355.921875,-1.1920928955078125e-07,0.0035374896,0.003466796875,0.0003,0.2,30,,,,,
8192,27.0,38.2370719909668,,,,,,,,,,,,,,,
9216,27.0,39.769264221191406,83139.51520996094,-0.014559286429721397,-5.8744379669427875,36002.19921875,0.0,0.0034221958,0.00302734375,0.0003,0.2,40,,,,,
10240,27.0,35.41876983642578,,,,,,,,,,,,,,,
11264,27.0,37.593017578125,83311.26169433593,-0.015678564186237053,-5.871018789708614,42371.39453125,1.7881393432617188e-07,0.0036043948,0.005419921875,0.0003,0.2,50,,,,,
12288,27.0,35.8336181640625,,,,,,,,,,,,,,,
13312,27.0,42.40595626831055,80411.56882324218,-0.01650932549528079,-5.867065100371837,39643.46484375,0.0,0.003900207,0.00771484375,0.0003,0.2,60,,,,,
14336,27.0,39.50347137451172,,,,,,,,,,,,,,,
15360,27.0,40.37818908691406,77893.90281982422,-0.014967703193542547,-5.863114495575428,38056.92578125,-2.384185791015625e-07,0.0038204317,0.0025390625,0.0003,0.2,70,,,,,
16384,27.0,43.0400390625,,,,,,,,,,,,,,,
