eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean
27.0,1024,44.12400436401367,,,,,,,,,,,,,,,
27.0,2048,41.15037155151367,,,,,,,,,,,,,,,
27.0,3072,45.19816970825195,0.2,85.5739605665207,-0.03901060920470627,10,-5.871217146515846,0.017221462,0.0003,37.16268539428711,0.314208984375,7.68899917602539e-06,,,,,
27.0,4096,36.57960510253906,,,,,,,,,,,,,,,
27.0,5120,40.61297607421875,0.2,112.8960258603096,-0.014025128004141152,20,-5.863622809946537,0.0059460322,0.0003,45.934600830078125,0.03642578125,0.0,,,,,
27.0,6144,37.16140365600586,,,,,,,,,,,,,,,
27.0,7168,37.59425354003906,0.2,90.0951231598854,-0.022742928493244108,30,-5.851543959975243,0.012299234,0.0003,40.19890213012695,0.092578125,-1.1920928955078125e-07,,,,,
27.0,8192,41.36298370361328,,,,,,,,,,,,,,,
27.0,9216,38.92779541015625,0.2,102.36283400058747,-0.02494465887793922,40,-5.843955004215241,0.01360796,0.0003,40.035579681396484,0.106103515625,0.0,,,,,
27.0,10240,38.70913314819336,,,,,,,,,,,,,,,
27.0,11264,37.94601821899414,0.2,90.79679127931595,-0.034477284280001186,50,-5.823303544521332,0.025193034,0.0003,35.504756927490234,0.2142578125,0.0,,,,,
27.0,12288,39.14616394042969,,,,,,,,,,,,,,,
27.0,13312,47.719871520996094,0.2,82.30014259815216,-0.024258783471304925,60,-5.803663809597492,0.017565228,0.0003,31.41489028930664,0.130859375,0.0,,,,,
27.0,14336,34.75005340576172,,,,,,,,,,,,,,,
27.0,15360,42.663124084472656,0.2,78.64849864244461,-0.026593392400536688,70,-5.788680294156075,0.0208148,0.0003,31.940628051757812,0.1671875,-1.1920928955078125e-07,,,,,
27.0,16384,37.5490837097168,,,,,,,,,,,,,,,
27.0,17408,36.1878662109375,0.2,68.43837139606475,-0.026429263172030915,80,-5.747931435704231,0.021885905,0.0003,26.079713821411133,0.19716796875,0.0,,,,,
27.0,18432,36.38050079345703,,,,,,,,,,,,,,,
27.0,19456,38.96391296386719,0.2,60.85266435146332,-0.022823677927954124,90,-5.754863582551479,0.021245642,0.0003,29.13011932373047,0.210546875,0.0,,,,,
27.0,20480,36.98223114013672,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,10,39.47644610999999,65,312,27.0
