eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
21.0,24.309202194213867,1024,,,,,,,,,,,,,,,
21.0,22.93294334411621,2048,,,,,,,,,,,,,,,
21.0,27.26192855834961,3072,0.0003,16.6487979888916,10,-0.00034737586975097656,0.2,-0.07756896167993546,51.33485324978828,0.081012264,-5.270103545486927,0.4705078125,,,,,
21.0,27.81460189819336,4096,,,,,,,,,,,,,,,
21.0,27.148242950439453,5120,0.0003,23.817337036132812,20,-1.1920928955078125e-07,0.2,-0.06318834943231195,59.713914573192596,0.04704257,-5.241999165713787,0.375341796875,,,,,
21.0,25.413692474365234,6144,,,,,,,,,,,,,,,
21.0,28.509532928466797,7168,0.0003,13.54356575012207,30,0.0,0.2,-0.05742727399920113,59.78141186833382,0.043981094,-5.208909334242344,0.391455078125,,,,,
21.0,30.994834899902344,8192,,,,,,,,,,,,,,,
21.0,27.893739700317383,9216,0.0003,27.16172981262207,40,0.0,0.2,-0.05709400234045461,60.125943338871004,0.05316508,-5.197509320080281,0.398193359375,,,,,
21.0,28.12353515625,10240,,,,,,,,,,,,,,,
21.0,24.6728515625,11264,0.0003,18.18341636657715,50,1.7881393432617188e-07,0.2,-0.054083727177930994,51.69385797381401,0.04467874,-5.181896761059761,0.355126953125,,,,,
21.0,23.994518280029297,12288,,,,,,,,,,,,,,,
21.0,22.85548973083496,13312,0.0003,14.826342582702637,60,0.0,0.2,-0.05556771086994559,44.70106372833252,0.043873727,-5.174768744409084,0.35888671875,,,,,
21.0,30.121183395385742,14336,,,,,,,,,,,,,,,
21.0,23.081682205200195,15360,0.0003,19.69551658630371,70,0.0,0.2,-0.056725230382289736,38.5216700732708,0.0404898,-5.1517851367592815,0.360009765625,,,,,
21.0,22.851367950439453,16384,,,,,,,,,,,,,,,
21.0,20.78018569946289,17408,0.0003,16.39535903930664,80,0.0,0.2,-0.04991545917582698,41.66256623864174,0.046597444,-5.140245187282562,0.3689453125,,,,,
21.0,28.779571533203125,18432,,,,,,,,,,,,,,,
21.0,25.813444137573242,19456,0.0003,17.098676681518555,90,1.1920928955078125e-07,0.2,-0.055313039681641384,41.67078007459641,0.040822,-5.144963936507702,0.373583984375,,,,,
21.0,26.804954528808594,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,25.80077501,732,27,10,21.0
21.0,22.16065788269043,21504,0.0003,23.405746459960938,100,0.0,0.2,-0.052669852957478724,37.28741978406906,0.052378464,-5.11269573867321,0.4296875,,,,,
21.0,28.556657791137695,22528,,,,,,,,,,,,,,,
21.0,26.78142547607422,23552,0.0003,15.098969459533691,110,0.0,0.2,-0.05103344658855349,41.577059131860736,0.049743284,-5.110313349962235,0.41328125,,,,,
21.0,25.110401153564453,24576,,,,,,,,,,,,,,,
21.0,31.661577224731445,25600,0.0003,20.075634002685547,120,0.0,0.2,-0.05319389959040564,32.48031512498856,0.05510288,-5.071027594804764,0.455517578125,,,,,
21.0,27.40975570678711,26624,,,,,,,,,,,,,,,
21.0,24.878887176513672,27648,0.0003,12.725983619689941,130,0.0,0.2,-0.052416912015178244,33.227576327323916,0.049225815,-5.060035014152527,0.40986328125,,,,,
21.0,27.535926818847656,28672,,,,,,,,,,,,,,,
21.0,29.831096649169922,29696,0.0003,18.691791534423828,140,-1.1920928955078125e-07,0.2,-0.04845751695102081,32.510439676046374,0.049588352,-5.046604809165001,0.4095703125,,,,,
21.0,24.934669494628906,30720,,,,,,,,,,,,,,,
21.0,25.221019744873047,31744,0.0003,16.981609344482422,150,0.0,0.2,-0.04945561047643423,30.198445028066637,0.046743736,-5.011043830215931,0.393408203125,,,,,
21.0,23.083986282348633,32768,,,,,,,,,,,,,,,
21.0,27.379413604736328,33792,0.0003,21.173519134521484,160,0.0,0.2,-0.05195097171817906,35.27019652724266,0.052860066,-4.975842526555061,0.426220703125,,,,,
21.0,27.085124969482422,34816,,,,,,,,,,,,,,,
21.0,27.133880615234375,35840,0.0003,16.67275619506836,170,0.0,0.2,-0.05085871433839202,32.731640017032625,0.049307328,-4.93748165667057,0.43203125,,,,,
21.0,28.800424575805664,36864,,,,,,,,,,,,,,,
21.0,21.319602966308594,37888,0.0003,18.91478729248047,180,5.960464477539063e-08,0.2,-0.05014381548389792,28.663628274202345,0.052453846,-4.932986421883106,0.40419921875,,,,,
21.0,25.206880569458008,38912,,,,,,,,,,,,,,,
21.0,34.51040267944336,39936,0.0003,11.834098815917969,190,0.0,0.2,-0.05232146295020357,31.477866899967193,0.04990692,-4.896174477040768,0.436474609375,,,,,
21.0,25.02963638305664,40960,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,26.512963640000002,724,56,20,21.0
21.0,31.79495620727539,41984,0.0003,14.326391220092773,200,0.0,0.2,-0.04950248874083627,31.17211462855339,0.04653046,-4.887781274318695,0.422412109375,,,,,
21.0,24.845417022705078,43008,,,,,,,,,,,,,,,
21.0,26.049001693725586,44032,0.0003,11.458462715148926,210,0.0,0.2,-0.04754955253156368,26.14937700331211,0.048821263,-4.843752011656761,0.433251953125,,,,,
21.0,30.815933227539062,45056,,,,,,,,,,,,,,,
21.0,24.925838470458984,46080,0.0003,13.297188758850098,220,-1.1920928955078125e-07,0.2,-0.04201957712648437,30.51809365153313,0.047832876,-4.815660992264748,0.417626953125,,,,,
21.0,23.133390426635742,47104,,,,,,,,,,,,,,,
21.0,24.423206329345703,48128,0.0003,16.978124618530273,230,5.960464477539063e-08,0.2,-0.04816855795506854,29.80959751009941,0.053989097,-4.784749327600002,0.418310546875,,,,,
21.0,29.90096664428711,49152,,,,,,,,,,,,,,,
21.0,27.529464721679688,50176,0.0003,19.272945404052734,240,0.0,0.2,-0.04553113392030354,32.90517952442169,0.05126813,-4.721996054053307,0.4265625,,,,,
21.0,30.970552444458008,51200,,,,,,,,,,,,,,,
21.0,30.051054000854492,52224,0.0003,11.032755851745605,250,-1.1920928955078125e-07,0.2,-0.042470637225778776,27.60465043783188,0.052060656,-4.692848163843155,0.4271484375,,,,,
21.0,32.41951370239258,53248,,,,,,,,,,,,,,,
21.0,31.910541534423828,54272,0.0003,13.78590202331543,260,-1.1920928955078125e-07,0.2,-0.04551282390602864,30.242509526014327,0.052549645,-4.658806519210339,0.43818359375,,,,,
