eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
180.0,1024,15.319921493530273,,,,,,,,,,,,,,,
180.0,2048,13.416751861572266,,,,,,,,,,,,,,,
180.0,3072,13.652186393737793,0.024169777,34.6243896484375,44.03822323679924,-5.86869280487299,0.395703125,0.0001716017723083496,0.2,0.0003,-0.042901874519884586,10,,,,,
180.0,4096,13.459981918334961,,,,,,,,,,,,,,,
180.0,5120,13.739669799804688,0.0227761,23.776662826538086,46.28788994550705,-5.847842612862587,0.34501953125,6.16908073425293e-05,0.2,0.0003,-0.041428229690063746,20,,,,,
180.0,6144,14.123641967773438,,,,,,,,,,,,,,,
180.0,7168,13.325803756713867,0.022916015,17.277772903442383,46.87818803191185,-5.8225266769528385,0.363232421875,4.124641418457031e-05,0.2,0.0003,-0.03853467605804326,30,,,,,
180.0,8192,12.797135353088379,,,,,,,,,,,,,,,
180.0,9216,14.00865364074707,0.024298782,18.814979553222656,36.09765822887421,-5.796308992803096,0.34599609375,0.0,0.2,0.0003,-0.034970530125428924,40,,,,,
180.0,10240,13.819429397583008,,,,,,,,,,,,,,,
180.0,11264,13.151615142822266,0.023609351,14.451444625854492,41.54074614048004,-5.77113384604454,0.34248046875,1.1920928955078125e-07,0.2,0.0003,-0.036052612094499635,50,,,,,
180.0,12288,13.315114974975586,,,,,,,,,,,,,,,
180.0,13312,15.554738998413086,0.021838224,18.087772369384766,42.96260908842087,-5.767741161584854,0.33173828125,-1.1920928955078125e-07,0.2,0.0003,-0.0412944015377434,60,,,,,
180.0,14336,14.676029205322266,,,,,,,,,,,,,,,
180.0,15360,14.054376602172852,0.021962399,19.439483642578125,36.42174922525883,-5.7357177719473835,0.343994140625,0.0,0.2,0.0003,-0.03913537534244824,70,,,,,
180.0,16384,15.41589069366455,,,,,,,,,,,,,,,
180.0,17408,14.857784271240234,0.023425387,15.300246238708496,31.89229085147381,-5.715894801914692,0.364404296875,-1.1920928955078125e-07,0.2,0.0003,-0.04009855989424978,80,,,,,
180.0,18432,15.632086753845215,,,,,,,,,,,,,,,
180.0,19456,16.45252227783203,0.024667624,20.483890533447266,40.22940216958523,-5.686359506845474,0.35068359375,0.0,0.2,0.0003,-0.039559509578975846,90,,,,,
180.0,20480,15.137404441833496,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,63,10,14.80912856,180.0,322
180.0,21504,15.947776794433594,0.021385986,23.06769561767578,34.48249952793121,-5.659199891984462,0.334423828125,0.0,0.2,0.0003,-0.03848654890753096,100,,,,,
180.0,22528,15.054376602172852,,,,,,,,,,,,,,,
180.0,23552,16.168415069580078,0.023074001,13.214112281799316,47.250528800487515,-5.634067589044571,0.3138671875,5.960464477539063e-08,0.2,0.0003,-0.040946580965828615,110,,,,,
180.0,24576,14.43322467803955,,,,,,,,,,,,,,,
180.0,25600,13.836750030517578,0.021657344,24.220129013061523,39.53951290845871,-5.603122529387474,0.337939453125,0.0,0.2,0.0003,-0.035742598347133024,120,,,,,
180.0,26624,15.253105163574219,,,,,,,,,,,,,,,
180.0,27648,15.30504322052002,0.020562053,24.215633392333984,46.76104475855827,-5.555885538458824,0.3201171875,-1.1920928955078125e-07,0.2,0.0003,-0.03681902081007138,130,,,,,
180.0,28672,16.728164672851562,,,,,,,,,,,,,,,
180.0,29696,16.702938079833984,0.023706812,18.783143997192383,38.693889427185056,-5.532328988611698,0.37880859375,0.0,0.2,0.0003,-0.04069831597735174,140,,,,,
180.0,30720,15.545282363891602,,,,,,,,,,,,,,,
