eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/value_loss,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,train/loss,train/clip_fraction,train/policy_gradient_loss,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed
27.0,1024,36.06504440307617,,,,,,,,,,,,,,,
27.0,2048,39.14099884033203,,,,,,,,,,,,,,,
27.0,3072,37.963722229003906,90.327339220047,10,-0.0009202957153320312,0.0003,-5.843434883654117,0.11413005,0.2,37.036102294921875,0.52373046875,-0.09209854907821864,,,,,
27.0,4096,37.79221725463867,,,,,,,,,,,,,,,
27.0,5120,36.362857818603516,107.641694688797,20,1.1920928955078125e-07,0.0003,-5.791893415153027,0.056465145,0.2,35.83900451660156,0.423486328125,-0.06062658808659762,,,,,
27.0,6144,41.271141052246094,,,,,,,,,,,,,,,
27.0,7168,44.05349349975586,97.57787936925888,30,0.0,0.0003,-5.766058003902435,0.06067946,0.2,44.1709098815918,0.452294921875,-0.07373537597013638,,,,,
27.0,8192,38.364112854003906,,,,,,,,,,,,,,,
27.0,9216,41.00569152832031,91.92274112701416,40,0.0,0.0003,-5.733532410860062,0.06722393,0.2,35.58872985839844,0.46552734375,-0.07538158677052706,,,,,
27.0,10240,32.20286560058594,,,,,,,,,,,,,,,
27.0,11264,38.323890686035156,84.17551581859588,50,0.0,0.0003,-5.694550463557244,0.06867646,0.2,32.959381103515625,0.47646484375,-0.06917728259868454,,,,,
27.0,12288,33.610015869140625,,,,,,,,,,,,,,,
27.0,13312,43.038963317871094,86.33612787723541,60,0.0,0.0003,-5.663165092468262,0.06987324,0.2,30.639816284179688,0.458740234375,-0.07271723725716583,,,,,
27.0,14336,38.23841857910156,,,,,,,,,,,,,,,
27.0,15360,40.90582275390625,74.43263028860092,70,0.0,0.0003,-5.632894118130207,0.069469124,0.2,31.631032943725586,0.491796875,-0.06739646336063743,,,,,
27.0,16384,42.26502990722656,,,,,,,,,,,,,,,
27.0,17408,36.55695343017578,64.88771600723267,80,-1.1920928955078125e-07,0.0003,-5.591887806355953,0.06866191,0.2,35.8389892578125,0.46494140625,-0.061709274811437356,,,,,
27.0,18432,35.89082336425781,,,,,,,,,,,,,,,
27.0,19456,40.65501403808594,62.145617592334744,90,0.0,0.0003,-5.532840552926063,0.06850756,0.2,27.01779556274414,0.44267578125,-0.06435202426509931,,,,,
27.0,20480,39.066062927246094,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,10,261,27.0,38.99884165,78
27.0,21504,40.268577575683594,56.17885903120041,100,0.0,0.0003,-5.488233435153961,0.06172061,0.2,20.272106170654297,0.44326171875,-0.06148427909356542,,,,,
27.0,22528,37.669639587402344,,,,,,,,,,,,,,,
27.0,23552,39.311058044433594,58.273715156316754,110,0.0,0.0003,-5.447448796033859,0.061571255,0.2,29.680736541748047,0.423974609375,-0.06491184349870309,,,,,
27.0,24576,41.70133590698242,,,,,,,,,,,,,,,
27.0,25600,39.65657043457031,52.87259800434113,120,0.0,0.0003,-5.4030564174056055,0.060704514,0.2,22.406078338623047,0.431982421875,-0.0642707878141664,,,,,
27.0,26624,38.28373336791992,,,,,,,,,,,,,,,
27.0,27648,40.77295684814453,54.408510375022885,130,0.0,0.0003,-5.368005409836769,0.053643815,0.2,24.190874099731445,0.4505859375,-0.058629459387157114,,,,,
27.0,28672,41.756072998046875,,,,,,,,,,,,,,,
27.0,29696,43.467796325683594,53.58302458524704,140,0.0,0.0003,-5.355878172814846,0.06006936,0.2,19.585468292236328,0.4490234375,-0.06356951218331233,,,,,
27.0,30720,32.15913772583008,,,,,,,,,,,,,,,
27.0,31744,40.48783874511719,52.34817870259285,150,0.0,0.0003,-5.3334204971790315,0.060294256,0.2,29.752822875976562,0.443603515625,-0.061398426373489204,,,,,
27.0,32768,39.610164642333984,,,,,,,,,,,,,,,
27.0,33792,40.38255310058594,43.451258081197736,160,0.0,0.0003,-5.282331822812557,0.05487296,0.2,14.682519912719727,0.4125,-0.05817553052911535,,,,,
27.0,34816,42.029048919677734,,,,,,,,,,,,,,,
27.0,35840,43.7249755859375,46.23950617313385,170,0.0,0.0003,-5.222970472276211,0.065688565,0.2,22.952016830444336,0.46669921875,-0.056626342120580375,,,,,
27.0,36864,44.09686279296875,,,,,,,,,,,,,,,
27.0,37888,36.852325439453125,48.67253256440163,180,0.0,0.0003,-5.165978614985943,0.060766563,0.2,17.369388580322266,0.4517578125,-0.05640134167624637,,,,,
27.0,38912,42.98268127441406,,,,,,,,,,,,,,,
27.0,39936,39.87818908691406,42.78925501108169,190,0.0,0.0003,-5.100830887258053,0.066497974,0.2,26.32304573059082,0.46416015625,-0.06044199613970704,,,,,
27.0,40960,45.442230224609375,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,20,258,27.0,41.07973492,158
27.0,41984,40.67802429199219,44.57748264670372,200,0.0,0.0003,-5.0166138261556625,0.05763654,0.2,25.962928771972656,0.4474609375,-0.05814574338728562,,,,,
27.0,43008,41.14457702636719,,,,,,,,,,,,,,,
