time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
1024,180.0,13.80622386932373,,,,,,,,,,,,,,,
2048,180.0,14.41128158569336,,,,,,,,,,,,,,,
3072,180.0,14.141350746154785,0.2,24.944091796875,0.387353515625,0.0003,0.026306722,0.0004285573959350586,34.585317853093144,-0.04562603681988549,10,-5.869039395451546,,,,,
4096,180.0,13.008806228637695,,,,,,,,,,,,,,,
5120,180.0,14.364514350891113,0.2,24.596914291381836,0.338671875,0.0003,0.024399301,0.0,44.03327630460262,-0.046230700088199225,20,-5.848085059225559,,,,,
6144,180.0,13.456476211547852,,,,,,,,,,,,,,,
7168,180.0,13.773693084716797,0.2,12.49625015258789,0.351318359375,0.0003,0.022489905,-1.1920928955078125e-07,42.862598192691806,-0.04307755873014685,30,-5.824415147304535,,,,,
8192,180.0,14.195581436157227,,,,,,,,,,,,,,,
9216,180.0,14.886119842529297,0.2,22.172439575195312,0.35361328125,0.0003,0.022408605,0.0,43.17001104950905,-0.04187075761001324,40,-5.794718988239765,,,,,
10240,180.0,13.796749114990234,,,,,,,,,,,,,,,
11264,180.0,12.90836238861084,0.2,15.510289192199707,0.350927734375,0.0003,0.022233997,0.0,35.74455378651619,-0.04315001819340978,50,-5.765551748871803,,,,,
12288,180.0,13.865467071533203,,,,,,,,,,,,,,,
13312,180.0,15.533300399780273,0.2,17.86628532409668,0.33994140625,0.0003,0.025910199,-1.1920928955078125e-07,37.84163163602352,-0.04575990459998138,60,-5.742836879193783,,,,,
14336,180.0,14.020105361938477,,,,,,,,,,,,,,,
15360,180.0,13.8706636428833,0.2,15.956551551818848,0.376416015625,0.0003,0.0261107,0.0,40.106141263246535,-0.044128217987599784,70,-5.711882901191712,,,,,
16384,180.0,13.673378944396973,,,,,,,,,,,,,,,
17408,180.0,14.630683898925781,0.2,20.411151885986328,0.32900390625,0.0003,0.022551129,0.0,42.15019502937794,-0.04518953115621116,80,-5.682365868985653,,,,,
18432,180.0,16.341018676757812,,,,,,,,,,,,,,,
19456,180.0,14.112682342529297,0.2,11.361202239990234,0.330322265625,0.0003,0.022883115,0.0,46.43026580810547,-0.0448855697264662,90,-5.6656917333602905,,,,,
20480,180.0,14.283050537109375,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,61,10,331,14.040129440000003,180.0
21504,180.0,13.568567276000977,0.2,12.41711711883545,0.372900390625,0.0003,0.025333758,1.1920928955078125e-07,33.51709533035755,-0.044946877080656124,100,-5.618294335901737,,,,,
22528,180.0,15.251717567443848,,,,,,,,,,,,,,,
23552,180.0,15.0996732711792,0.2,27.3156795501709,0.396142578125,0.0003,0.028647937,-1.1920928955078125e-07,41.91348244547844,-0.05185944919358008,110,-5.57784206867218,,,,,
24576,180.0,16.570070266723633,,,,,,,,,,,,,,,
25600,180.0,15.293318748474121,0.2,13.64566421508789,0.428955078125,0.0003,0.03170831,0.0,39.841951358318326,-0.048692654966725965,120,-5.496769835054875,,,,,
26624,180.0,15.203446388244629,,,,,,,,,,,,,,,
27648,180.0,15.939244270324707,0.2,26.02683448791504,0.41025390625,0.0003,0.032259308,0.0,39.02107138931751,-0.05181564724771306,130,-5.45008045732975,,,,,
28672,180.0,17.55529022216797,,,,,,,,,,,,,,,
29696,180.0,16.11606788635254,0.2,24.054317474365234,0.392919921875,0.0003,0.029640347,0.0,42.32407256364822,-0.04596949640836101,140,-5.383944116532803,,,,,
30720,180.0,17.72827911376953,,,,,,,,,,,,,,,
31744,180.0,17.208885192871094,0.2,22.110532760620117,0.432177734375,0.0003,0.032929268,0.0,41.47301618158817,-0.04864641280437354,150,-5.313785557448864,,,,,
32768,180.0,17.854507446289062,,,,,,,,,,,,,,,
33792,180.0,18.370023727416992,0.2,17.338529586791992,0.412060546875,0.0003,0.035119306,0.0,39.464474362134936,-0.05033984559413511,160,-5.231648121774197,,,,,
34816,180.0,16.705509185791016,,,,,,,,,,,,,,,
35840,180.0,17.424514770507812,0.2,31.517841339111328,0.466845703125,0.0003,0.036354557,0.0,48.883038169145586,-0.04295822208514437,170,-5.119554977118969,,,,,
36864,180.0,20.753923416137695,,,,,,,,,,,,,,,
37888,180.0,19.093215942382812,0.2,20.5913143157959,0.44169921875,0.0003,0.030586133,0.0,37.482095217704774,-0.045388129528146234,180,-5.104080478847027,,,,,
38912,180.0,19.498863220214844,,,,,,,,,,,,,,,
39936,180.0,20.505355834960938,0.2,17.30708885192871,0.401318359375,0.0003,0.03270783,5.960464477539063e-08,43.49273449778557,-0.0430354760173941,190,-5.0531784236431125,,,,,
40960,180.0,19.28531265258789,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,124,20,329,17.184989309999995,180.0
41984,180.0,23.18331527709961,0.2,14.586994171142578,0.423193359375,0.0003,0.033528604,-1.1920928955078125e-07,38.99478807449341,-0.04576943397696596,200,-4.98842114508152,,,,,
43008,180.0,21.407299041748047,,,,,,,,,,,,,,,
44032,180.0,19.898757934570312,0.2,25.798307418823242,0.446484375,0.0003,0.039471783,0.0,44.65097803473473,-0.043969553263741544,210,-4.890394495427609,,,,,
45056,180.0,23.232311248779297,,,,,,,,,,,,,,,
46080,180.0,23.292476654052734,0.2,18.78238296508789,0.41728515625,0.0003,0.036307428,0.0,47.6051883161068,-0.038422479534347076,220,-4.815341129899025,,,,,
47104,180.0,23.672304153442383,,,,,,,,,,,,,,,
48128,180.0,25.229520797729492,0.2,16.203393936157227,0.451806640625,0.0003,0.033566892,-1.1920928955078125e-07,42.289247965812685,-0.04702953064988833,230,-4.764074735343456,,,,,
49152,180.0,23.32583999633789,,,,,,,,,,,,,,,
50176,180.0,23.626073837280273,0.2,28.55150032043457,0.426611328125,0.0003,0.031731468,0.0,42.61066567599774,-0.04294929242169019,240,-4.6682372897863385,,,,,
51200,180.0,21.9067440032959,,,,,,,,,,,,,,,
52224,180.0,28.27519989013672,0.2,16.13849639892578,0.44658203125,0.0003,0.03592819,0.0,35.917916199564935,-0.04186199223913718,250,-4.642535451054573,,,,,
53248,180.0,26.72056007385254,,,,,,,,,,,,,,,
