eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/n_updates,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps
21.0,24.186073303222656,1024,,,,,,,,,,,,,,,
21.0,27.026763916015625,2048,,,,,,,,,,,,,,,
21.0,26.321430206298828,3072,0.233740234375,-0.05945596341043711,-5.296544885635376,0.020511832,0.0003,0.2,12490.55078125,-1.621246337890625e-05,23325.667599487304,10,,,,,
21.0,25.97031021118164,4096,,,,,,,,,,,,,,,
21.0,27.998977661132812,5120,0.280859375,-0.06384479512926192,-5.290692047774792,0.02478319,0.0003,0.2,12470.6875,5.960464477539063e-08,25552.590698242188,20,,,,,
21.0,27.149093627929688,6144,,,,,,,,,,,,,,,
21.0,24.73699951171875,7168,0.24375,-0.06252620929153636,-5.284931717813015,0.021766901,0.0003,0.2,16281.6845703125,0.0,28351.000677490236,30,,,,,
21.0,25.72068214416504,8192,,,,,,,,,,,,,,,
21.0,25.590831756591797,9216,0.24091796875,-0.06327634351328015,-5.282276320457458,0.021287374,0.0003,0.2,11747.525390625,1.1920928955078125e-07,24680.330303955077,40,,,,,
21.0,27.87774658203125,10240,,,,,,,,,,,,,,,
21.0,27.045635223388672,11264,0.25947265625,-0.06338235067669303,-5.27875689715147,0.02229284,0.0003,0.2,12356.615234375,0.0,27694.952935791014,50,,,,,
21.0,23.599170684814453,12288,,,,,,,,,,,,,,,
21.0,23.506542205810547,13312,0.250634765625,-0.057615290285320954,-5.2737347587943075,0.0216933,0.0003,0.2,12260.71875,-1.1920928955078125e-07,24396.327099609374,60,,,,,
21.0,25.963388442993164,14336,,,,,,,,,,,,,,,
21.0,27.6596622467041,15360,0.270458984375,-0.059981495561078194,-5.267766110599041,0.025001012,0.0003,0.2,9834.9658203125,0.0,23468.592291259767,70,,,,,
21.0,29.60020637512207,16384,,,,,,,,,,,,,,,
21.0,25.93602180480957,17408,0.2439453125,-0.06240161923924461,-5.26242581307888,0.02349294,0.0003,0.2,11493.71484375,0.0,23522.129309082033,80,,,,,
21.0,26.305313110351562,18432,,,,,,,,,,,,,,,
21.0,32.17554473876953,19456,0.27138671875,-0.05943956083501689,-5.256963393092155,0.023838658,0.0003,0.2,11284.6416015625,1.1920928955078125e-07,26597.78757324219,90,,,,,
21.0,24.04043197631836,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,375.77179727999993,10,21.0,51,397
21.0,23.41643524169922,21504,0.264453125,-0.06337159400573,-5.249310520291329,0.024152383,0.0003,0.2,12061.9638671875,1.1920928955078125e-07,27408.30824584961,100,,,,,
21.0,28.701967239379883,22528,,,,,,,,,,,,,,,
21.0,21.457351684570312,23552,0.26787109375,-0.058284864365123215,-5.240558290481568,0.025855493,0.0003,0.2,12544.8447265625,-1.1920928955078125e-07,26777.526977539062,110,,,,,
21.0,24.50293731689453,24576,,,,,,,,,,,,,,,
21.0,27.967689514160156,25600,0.25771484375,-0.06060384106822312,-5.2341126024723055,0.023983166,0.0003,0.2,11588.84765625,0.0,23682.800341796876,120,,,,,
21.0,29.10973358154297,26624,,,,,,,,,,,,,,,
21.0,25.14566421508789,27648,0.24951171875,-0.06968652865616605,-5.228682312369346,0.022787621,0.0003,0.2,12217.595703125,0.0,26696.75673828125,130,,,,,
21.0,26.81124496459961,28672,,,,,,,,,,,,,,,
21.0,25.091293334960938,29696,0.275537109375,-0.06066799872205593,-5.222853484749794,0.024121072,0.0003,0.2,13645.7060546875,0.0,27176.075604248046,140,,,,,
21.0,25.425249099731445,30720,,,,,,,,,,,,,,,
21.0,22.03412437438965,31744,0.27060546875,-0.06370028298115357,-5.214687724411488,0.02477008,0.0003,0.2,13347.421875,0.0,25877.356549072265,150,,,,,
21.0,25.701251983642578,32768,,,,,,,,,,,,,,,
21.0,24.559673309326172,33792,0.26669921875,-0.06427915804088116,-5.208262132108212,0.02369099,0.0003,0.2,14275.0322265625,-1.1920928955078125e-07,23546.056982421876,160,,,,,
21.0,21.089689254760742,34816,,,,,,,,,,,,,,,
21.0,17.603134155273438,35840,0.2806640625,-0.06800205322215333,-5.200446854531765,0.025447529,0.0003,0.2,14299.275390625,0.0,29841.027233886718,170,,,,,
21.0,24.34988784790039,36864,,,,,,,,,,,,,,,
21.0,24.861045837402344,37888,0.25576171875,-0.07039933181367815,-5.188524430990219,0.023775365,0.0003,0.2,13370.7841796875,-1.1920928955078125e-07,24562.62482910156,180,,,,,
21.0,27.615901947021484,38912,,,,,,,,,,,,,,,
21.0,24.22919464111328,39936,0.27724609375,-0.05873763300478459,-5.181540797650814,0.026662655,0.0003,0.2,11088.107421875,1.1920928955078125e-07,22681.579483032227,190,,,,,
21.0,25.79705810546875,40960,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,362.08292314,20,21.0,102,399
21.0,30.536409378051758,41984,0.2681640625,-0.06056370988953859,-5.18274777084589,0.024624791,0.0003,0.2,13573.6171875,5.960464477539063e-08,23678.60751953125,200,,,,,
21.0,28.946453094482422,43008,,,,,,,,,,,,,,,
21.0,27.111339569091797,44032,0.2849609375,-0.062472295644693074,-5.186706481873989,0.025331488,0.0003,0.2,11094.828125,0.0,23702.668103027343,210,,,,,
