time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/std,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss
372240,1200.0,16379.880194,,,,,,,,,,,,,,,,
373088,,,84,24,1200.0,1,4520.67217175,,,,,,,,,,,
373440,1200.0,16284.078622,,,,,,0.9745162725448608,0.037183646,0.0,-0.036266250326298176,0.8181226253509521,0.2,1810,2.1684982467442753,0.0003,0.371435546875,-277.3772476196289
374640,1200.0,16252.017605,,,,,,,,,,,,,,,,
375136,,,69,58,1200.0,2,4523.532470350001,,,,,,,,,,,
375840,1200.0,17751.106335,,,,,,0.9737296104431152,0.034057297,-1.1920928955078125e-07,-0.03555025103560183,1.1278250217437744,0.2,1820,2.5429052628576754,0.0003,0.360693359375,-277.23317794799806
377040,1200.0,17693.483055,,,,,,,,,,,,,,,,
377184,,,65,93,1200.0,3,4527.117848340001,,,,,,,,,,,
378240,1200.0,16132.596177,,,,,,0.9732434153556824,0.035775326,-1.1920928955078125e-07,-0.037020186294103044,1.0205140113830566,0.2,1830,2.4211289316415785,0.0003,0.367431640625,-277.1417212486267
379232,,,67,120,1200.0,4,4528.83164534,,,,,,,,,,,
379440,1200.0,13947.559822,,,,,,0.9731279015541077,0.037302725,0.0,-0.03874604388256557,1.1694813966751099,0.2,1840,2.2213304586708547,0.0003,0.366796875,-277.07884187698363
380640,1200.0,13924.44753,,,,,,,,,,,,,,,,
381280,,,65,156,1200.0,5,4532.45544077,,,,,,,,,,,
381840,1200.0,14623.944588,,,,,,0.9734185338020325,0.03567759,1.1920928955078125e-07,-0.035351963614084526,1.297921895980835,0.2,1850,2.132777201384306,0.0003,0.3556640625,-277.0822218894958
383040,1200.0,14706.173992,,,,,,,,,,,,,,,,
383328,,,63,192,1200.0,6,4535.82387514,,,,,,,,,,,
384240,1200.0,16283.461058,,,,,,0.9740986227989197,0.03341965,0.0,-0.03502161057840567,1.2531105279922485,0.2,1860,2.970782058686018,0.0003,0.35673828125,-277.21255416870116
385376,,,64,222,1200.0,7,4537.72097678,,,,,,,,,,,
385440,1200.0,16344.809555,,,,,,0.9741179943084717,0.033487856,0.0,-0.039766526062157935,1.2599444389343262,0.2,1870,2.3297466024756432,0.0003,0.37314453125,-277.2625308036804
386640,1200.0,16382.696255,,,,,,,,,,,,,,,,
387424,,,63,260,1200.0,8,4541.80747632,,,,,,,,,,,
387840,1200.0,16710.756833,,,,,,0.9727423787117004,0.030313112,0.0,-0.03495551907399204,1.697424292564392,0.2,1880,3.385381195694208,0.0003,0.3625,-277.06629095077517
389040,1200.0,16724.152351,,,,,,,,,,,,,,,,
389472,,,62,295,1200.0,9,4545.71199962,,,,,,,,,,,
390240,1200.0,17144.539902,,,,,,0.9723220467567444,0.035665117,0.0,-0.03941288437054027,2.104482889175415,0.2,1890,2.773834481462836,0.0003,0.383740234375,-276.9166591644287
391440,1200.0,17158.990442,,,,,,,,,,,,,,,,
391520,,,62,328,1200.0,10,4549.774249499999,,,,,,,,,,,
392640,1200.0,14171.888381,,,,,,0.9715978503227234,0.034507807,-1.1920928955078125e-07,-0.030649178382009267,1.1034449338912964,0.2,1900,2.9843902844935655,0.0003,0.364306640625,-276.75259323120116
393568,,,63,356,1200.0,11,4551.59057713,,,,,,,,,,,
393840,1200.0,13903.319923,,,,,,0.9717605113983154,0.032749467,0.0,-0.03413885543996002,1.3411082029342651,0.2,1910,2.483679846301675,0.0003,0.354833984375,-276.7152647972107
395040,1200.0,13996.165288,,,,,,,,,,,,,,,,
395616,,,62,390,1200.0,12,4556.042295740001,,,,,,,,,,,
396240,1200.0,13497.72107,,,,,,0.9717591404914856,0.037177123,5.960464477539063e-08,-0.037604583805659786,1.0048606395721436,0.2,1920,2.73516104221344,0.0003,0.365087890625,-276.70227870941164
397440,1200.0,13472.608914,,,,,,,,,,,,,,,,
397664,,,62,427,1200.0,13,4560.111738040001,,,,,,,,,,,
398640,1200.0,13200.003695,,,,,,0.9706966876983643,0.033344522,-1.1920928955078125e-07,-0.03488290584937204,1.417205572128296,0.2,1930,2.769292177632451,0.0003,0.353076171875,-276.5688721656799
399712,,,62,456,1200.0,14,4562.51152671,,,,,,,,,,,
399840,1200.0,11379.059657,,,,,,0.9705323576927185,0.02995424,0.0,-0.03362702035228722,1.7036110162734985,0.2,1940,3.4864509485661985,0.0003,0.3462890625,-276.4525708198547
401040,1200.0,11356.64296,,,,,,,,,,,,,,,,
401760,,,62,493,1200.0,15,4566.71534323,,,,,,,,,,,
402240,1200.0,11751.754361,,,,,,0.9699935913085938,0.034637325,0.0,-0.03620761646598112,1.0410945415496826,0.2,1950,2.695436181873083,0.0003,0.351220703125,-276.35224800109864
403440,1200.0,11765.213444,,,,,,,,,,,,,,,,
403808,,,61,530,1200.0,16,4571.75131871,,,,,,,,,,,
404640,1200.0,10978.858787,,,,,,0.9692462086677551,0.038490023,5.960464477539063e-08,-0.038202226324938235,1.1714385747909546,0.2,1960,2.8977817334234715,0.0003,0.38984375,-276.1822540283203
405840,1200.0,10948.794052,,,,,,,,,,,,,,,,
405856,,,61,566,1200.0,17,4576.917550359999,,,,,,,,,,,
407040,1200.0,14892.707985,,,,,,0.9689103960990906,0.03860621,5.960464477539063e-08,-0.03911322177154943,1.2804317474365234,0.2,1970,2.9921839118003843,0.0003,0.387109375,-276.0992317199707
407904,,,61,594,1200.0,18,4578.99024599,,,,,,,,,,,
408240,1200.0,16600.307992,,,,,,0.9694833159446716,0.035856888,0.0,-0.039002227000310086,1.4055871963500977,0.2,1980,2.5649054765701296,0.0003,0.380908203125,-276.11763973236083
409440,1200.0,16601.233987,,,,,,,,,,,,,,,,
409952,,,61,630,1200.0,19,4583.999057800001,,,,,,,,,,,
410640,1200.0,13765.209362,,,,,,0.969538152217865,0.032889154,0.0,-0.03519894068303984,1.6878374814987183,0.2,1990,3.1993947476148605,0.0003,0.358984375,-276.14287109375
411840,1200.0,13760.570981,,,,,,,,,,,,,,,,
412000,,,61,666,1200.0,20,4588.97222859,,,,,,,,,,,
413040,1200.0,12100.918168,,,,,,0.9695391654968262,0.03434449,0.0,-0.03628999961074442,1.5064150094985962,0.2,2000,3.659973417967558,0.0003,0.359912109375,-276.1280594825745
414048,,,62,692,1200.0,21,4590.99129532,,,,,,,,,,,
414240,1200.0,11690.189169,,,,,,0.9696797728538513,0.035962157,0.0,-0.03339004788431339,1.2689589262008667,0.2,2010,3.117461805045605,0.0003,0.370068359375,-276.1157280921936
415440,1200.0,11673.739178,,,,,,,,,,,,,,,,
416096,,,62,726,1200.0,22,4596.29186311,,,,,,,,,,,
416640,1200.0,11879.677137,,,,,,0.9697045087814331,0.037276812,0.0,-0.04047133892890997,1.7654846906661987,0.2,2020,3.7848741888999937,0.0003,0.363916015625,-276.1157464981079
417840,1200.0,11860.62985,,,,,,,,,,,,,,,,
418144,,,61,760,1200.0,23,4601.24725843,,,,,,,,,,,
419040,1200.0,12023.385806,,,,,,0.9689140319824219,0.036854547,-1.1920928955078125e-07,-0.04015402448712848,1.9654691219329834,0.2,2030,3.2057549342513085,0.0003,0.36328125,-275.9966341972351
420192,,,62,785,1200.0,24,4603.79704908,,,,,,,,,,,
420240,1200.0,12055.960693,,,,,,0.9686813354492188,0.037707683,5.960464477539063e-08,-0.04130255364289041,1.3664684295654297,0.2,2040,3.181397865340114,0.0003,0.3947265625,-275.864559173584
421440,1200.0,12051.616751,,,,,,,,,,,,,,,,
422240,,,62,819,1200.0,25,4608.48581455,,,,,,,,,,,
422640,1200.0,14150.375939,,,,,,0.9686263203620911,0.03697245,0.0,-0.0352479700173717,1.4949089288711548,0.2,2050,3.088357190787792,0.0003,0.3701171875,-275.7944257736206
423840,1200.0,14170.130382,,,,,,,,,,,,,,,,
424288,,,62,855,1200.0,26,4613.24591505,,,,,,,,,,,
425040,1200.0,13567.230328,,,,,,0.9683073163032532,0.039351366,0.0,-0.035842671152204277,1.495348572731018,0.2,2060,3.124151027947664,0.0003,0.37158203125,-275.7584234237671
426240,1200.0,13609.329985,,,,,,,,,,,,,,,,
426336,,,62,889,1200.0,27,4618.583730480001,,,,,,,,,,,
427440,1200.0,11240.804839,,,,,,0.9671238660812378,0.034864433,0.0,-0.03730411979195196,1.3143547773361206,0.2,2070,4.646563020348549,0.0003,0.34921875,-275.5697498321533
428384,,,62,914,1200.0,28,4621.62889743,,,,,,,,,,,
428640,1200.0,11830.38394,,,,,,0.9666689038276672,0.036453303,5.960464477539063e-08,-0.03837445542158093,1.318089246749878,0.2,2080,3.2441881336271763,0.0003,0.371337890625,-275.4328577041626
