eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
27.0,36.26363754272461,1024,,,,,,,,,,,,,,,
27.0,35.9039306640625,2048,,,,,,,,,,,,,,,
27.0,27.788150787353516,3072,0.0003,23.773147583007812,10,0.000330507755279541,0.2,-0.08779675004770979,67.60235658884048,0.08421002,-5.849987827241421,0.50615234375,,,,,
27.0,39.43219757080078,4096,,,,,,,,,,,,,,,
27.0,36.745479583740234,5120,0.0003,26.725065231323242,20,0.0,0.2,-0.063769551506266,92.62667754888534,0.052647915,-5.819152677059174,0.406884765625,,,,,
27.0,38.720882415771484,6144,,,,,,,,,,,,,,,
27.0,40.628440856933594,7168,0.0003,28.609853744506836,30,5.960464477539063e-08,0.2,-0.0710774609236978,82.04505089521408,0.06334842,-5.790440054237843,0.429248046875,,,,,
27.0,34.77340316772461,8192,,,,,,,,,,,,,,,
27.0,39.636077880859375,9216,0.0003,26.322505950927734,40,0.0,0.2,-0.07468159882118926,82.50497385263444,0.06063507,-5.752507339417934,0.443994140625,,,,,
27.0,38.98570251464844,10240,,,,,,,,,,,,,,,
27.0,37.066314697265625,11264,0.0003,20.552047729492188,50,0.0,0.2,-0.07650675469776616,69.40579005479813,0.0652297,-5.718486051261425,0.461572265625,,,,,
27.0,33.79576110839844,12288,,,,,,,,,,,,,,,
27.0,33.160579681396484,13312,0.0003,27.5482234954834,60,0.0,0.2,-0.06685465578630101,63.85806317329407,0.06720411,-5.678770495951175,0.4640625,,,,,
27.0,35.073692321777344,14336,,,,,,,,,,,,,,,
27.0,35.88938903808594,15360,0.0003,20.64522361755371,70,0.0,0.2,-0.06840530891204252,58.15576019287109,0.078561485,-5.648080867528916,0.486865234375,,,,,
27.0,41.085975646972656,16384,,,,,,,,,,,,,,,
27.0,40.170284271240234,17408,0.0003,25.532209396362305,80,0.0,0.2,-0.06159824182395823,53.314482527971265,0.06253271,-5.6345944792032245,0.43359375,,,,,
