eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed
27.0,40.502899169921875,1024,,,,,,,,,,,,,,,
27.0,39.06964111328125,2048,,,,,,,,,,,,,,,
27.0,42.65650177001953,3072,0.51357421875,0.2,0.0003,0.095840186,-0.08070246264687739,83.17443467378617,37.213802337646484,10,-5.845620013773441,0.0009014606475830078,,,,,
27.0,45.84734344482422,4096,,,,,,,,,,,,,,,
27.0,40.294219970703125,5120,0.424853515625,0.2,0.0003,0.05357225,-0.061203191010281446,108.40260348320007,38.162628173828125,20,-5.810008309781551,0.0,,,,,
27.0,36.382537841796875,6144,,,,,,,,,,,,,,,
27.0,34.61449432373047,7168,0.427978515625,0.2,0.0003,0.057476617,-0.06313634386751801,100.88446416854859,36.29591369628906,30,-5.78757672905922,0.0,,,,,
27.0,37.557884216308594,8192,,,,,,,,,,,,,,,
27.0,41.50305938720703,9216,0.42236328125,0.2,0.0003,0.058754522,-0.06562200853368268,95.03085306882858,27.694950103759766,40,-5.75973739027977,0.0,,,,,
27.0,42.471134185791016,10240,,,,,,,,,,,,,,,
27.0,38.98377227783203,11264,0.456689453125,0.2,0.0003,0.07220568,-0.07114689669106156,91.46507785320281,43.04268264770508,50,-5.724337656795979,0.0,,,,,
27.0,36.84027099609375,12288,,,,,,,,,,,,,,,
27.0,36.733795166015625,13312,0.4521484375,0.2,0.0003,0.06845531,-0.07199305503745564,87.29262076616287,36.2624626159668,60,-5.693653890490532,0.0,,,,,
27.0,42.88227081298828,14336,,,,,,,,,,,,,,,
27.0,39.53448486328125,15360,0.452001953125,0.2,0.0003,0.06915893,-0.06845460631884634,76.79714218378066,41.26119613647461,70,-5.657345502078533,0.0,,,,,
27.0,37.626441955566406,16384,,,,,,,,,,,,,,,
27.0,38.940513610839844,17408,0.473681640625,0.2,0.0003,0.0752241,-0.06657912232913077,62.678079557418826,34.36915969848633,80,-5.5904369607567785,0.0,,,,,
27.0,40.38943862915039,18432,,,,,,,,,,,,,,,
