time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
1024,14.321619033813477,180.0,,,,,,,,,,,,,,,
2048,12.42774772644043,180.0,,,,,,,,,,,,,,,
3072,14.330699920654297,180.0,42.32722079455853,0.0003,-5.867043201625347,-0.03706059003598057,-0.0006339550018310547,22.361894607543945,10,0.2,0.391943359375,0.026568672,,,,,
4096,14.575559616088867,180.0,,,,,,,,,,,,,,,
5120,12.808631896972656,180.0,36.18887023329735,0.0003,-5.837250071763992,-0.03614893220801605,0.00025981664657592773,20.838441848754883,20,0.2,0.36923828125,0.024297155,,,,,
6144,14.674325942993164,180.0,,,,,,,,,,,,,,,
7168,13.685623168945312,180.0,51.28653166294098,0.0003,-5.812044832110405,-0.039285677805310115,-0.00016450881958007812,47.530296325683594,30,0.2,0.40234375,0.02590447,,,,,
8192,14.13703727722168,180.0,,,,,,,,,,,,,,,
9216,14.092948913574219,180.0,46.75876647531986,0.0003,-5.796525412797928,-0.033685708807024636,0.000302731990814209,24.24431610107422,40,0.2,0.34990234375,0.023834407,,,,,
10240,16.077585220336914,180.0,,,,,,,,,,,,,,,
11264,14.512344360351562,180.0,34.968488389253615,0.0003,-5.771573680639267,-0.03529731857124716,0.0004876255989074707,20.710376739501953,50,0.2,0.34091796875,0.024464887,,,,,
12288,14.425698280334473,180.0,,,,,,,,,,,,,,,
13312,15.015912055969238,180.0,37.72116808891296,0.0003,-5.743623220920563,-0.03536566065449733,0.0,22.013980865478516,60,0.2,0.370849609375,0.022950817,,,,,
14336,14.699792861938477,180.0,,,,,,,,,,,,,,,
15360,13.894773483276367,180.0,44.21120842695236,0.0003,-5.736931663751602,-0.032842111578793264,-6.54458999633789e-05,35.12543869018555,70,0.2,0.33837890625,0.02526918,,,,,
16384,13.442373275756836,180.0,,,,,,,,,,,,,,,
17408,15.861849784851074,180.0,41.696649697422984,0.0003,-5.707665292918682,-0.03482165059540421,3.62396240234375e-05,18.351022720336914,80,0.2,0.33232421875,0.022156276,,,,,
18432,14.638517379760742,180.0,,,,,,,,,,,,,,,
19456,15.180948257446289,180.0,43.4139722943306,0.0003,-5.695328116416931,-0.036145447815943046,3.159046173095703e-06,25.05486488342285,90,0.2,0.324365234375,0.022765271,,,,,
20480,15.014286041259766,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,323,10,63,180.0,14.05531355
21504,13.956889152526855,180.0,37.912059128284454,0.0003,-5.669078519940376,-0.03623883071850287,0.0,16.21955680847168,100,0.2,0.349658203125,0.023668239,,,,,
22528,15.77109432220459,180.0,,,,,,,,,,,,,,,
23552,15.088577270507812,180.0,43.924190908670425,0.0003,-5.638238753378391,-0.038111346650111955,5.960464477539063e-08,23.43878936767578,110,0.2,0.3490234375,0.02183798,,,,,
24576,14.525186538696289,180.0,,,,,,,,,,,,,,,
