eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed
180.0,1024,13.911771774291992,,,,,,,,,,,,,,,
180.0,2048,15.851365089416504,,,,,,,,,,,,,,,
180.0,3072,13.066995620727539,0.401025390625,-5.867099715769291,0.023570988,11.452637672424316,0.0003,10,37.23343089520931,-0.039904285996453834,0.2,0.00010842084884643555,,,,,
180.0,4096,13.500045776367188,,,,,,,,,,,,,,,
180.0,5120,13.281696319580078,0.370947265625,-5.845907644927502,0.024135945,28.437076568603516,0.0003,20,41.1444537550211,-0.03813191861554514,0.2,0.0,,,,,
180.0,6144,14.834896087646484,,,,,,,,,,,,,,,
180.0,7168,13.593666076660156,0.390380859375,-5.816442811489106,0.025204085,19.45390510559082,0.0003,30,39.80640826523304,-0.041352042733342385,0.2,0.0,,,,,
180.0,8192,14.089595794677734,,,,,,,,,,,,,,,
180.0,9216,13.784595489501953,0.356494140625,-5.792908412218094,0.021583598,13.897751808166504,0.0003,40,41.667149764299396,-0.036683211344643495,0.2,0.0,,,,,
180.0,10240,14.07988452911377,,,,,,,,,,,,,,,
180.0,11264,14.944443702697754,0.3529296875,-5.7767724469304085,0.024992058,21.128692626953125,0.0003,50,44.048190826177596,-0.03908771450223867,0.2,5.960464477539063e-08,,,,,
180.0,12288,13.747879028320312,,,,,,,,,,,,,,,
180.0,13312,14.15582275390625,0.359033203125,-5.756138552725315,0.023914983,16.837997436523438,0.0003,60,37.86499393582344,-0.039590619040609454,0.2,-1.1920928955078125e-07,,,,,
180.0,14336,13.690317153930664,,,,,,,,,,,,,,,
180.0,15360,14.17973804473877,0.36513671875,-5.731205751001835,0.025435193,33.89525604248047,0.0003,70,46.18306174278259,-0.03780002224521013,0.2,-1.1920928955078125e-07,,,,,
180.0,16384,14.30832290649414,,,,,,,,,,,,,,,
180.0,17408,14.093315124511719,0.3654296875,-5.701314264535904,0.023492549,28.752408981323242,0.0003,80,38.79949524700642,-0.039136823687294965,0.2,0.0,,,,,
180.0,18432,14.217708587646484,,,,,,,,,,,,,,,
180.0,19456,15.775652885437012,0.372314453125,-5.664247919619084,0.022325099,20.47075843811035,0.0003,90,50.35981121659279,-0.031531905973679386,0.2,5.960464477539063e-08,,,,,
180.0,20480,15.264130592346191,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,14.233846020000001,180.0,281,10,72
