time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
1024,180.0,12.817327499389648,,,,,,,,,,,,,,,
2048,180.0,13.857464790344238,,,,,,,,,,,,,,,
3072,180.0,14.592375755310059,0.2,17.835498809814453,0.4005859375,0.0003,0.023987986,0.0006161332130432129,50.74600442647934,-0.04478905273135751,10,-5.867865064740181,,,,,
4096,180.0,13.13819408416748,,,,,,,,,,,,,,,
5120,180.0,14.656192779541016,0.2,17.371110916137695,0.38515625,0.0003,0.022975639,0.0,32.636873537302016,-0.04604522982263006,20,-5.845808951556682,,,,,
6144,180.0,15.142738342285156,,,,,,,,,,,,,,,
7168,180.0,12.231008529663086,0.2,38.41920471191406,0.322216796875,0.0003,0.022828199,-1.1920928955078125e-07,39.721658408641815,-0.040945194978849034,30,-5.82560568600893,,,,,
8192,180.0,14.751678466796875,,,,,,,,,,,,,,,
9216,180.0,13.051031112670898,0.2,20.019601821899414,0.339453125,0.0003,0.022957813,0.0,37.03240005373955,-0.04177915242617018,40,-5.795488542318344,,,,,
10240,180.0,13.589470863342285,,,,,,,,,,,,,,,
11264,180.0,14.828709602355957,0.2,20.548702239990234,0.310205078125,0.0003,0.023211874,0.0,35.60685538649559,-0.043791136229992846,50,-5.7801175460219385,,,,,
12288,180.0,14.754648208618164,,,,,,,,,,,,,,,
13312,180.0,14.690784454345703,0.2,17.227046966552734,0.33974609375,0.0003,0.022022948,5.960464477539063e-08,31.752248936891554,-0.045433589455205946,60,-5.749475112557411,,,,,
14336,180.0,13.668237686157227,,,,,,,,,,,,,,,
15360,180.0,14.852953910827637,0.2,18.979534149169922,0.360693359375,0.0003,0.026651789,-1.1920928955078125e-07,43.6026485145092,-0.044729572744108735,70,-5.726017418503761,,,,,
16384,180.0,14.13197135925293,,,,,,,,,,,,,,,
17408,180.0,15.026079177856445,0.2,16.03078842163086,0.33369140625,0.0003,0.023382924,-1.1920928955078125e-07,45.40202848315239,-0.04363527884124778,80,-5.695466823875904,,,,,
18432,180.0,14.615952491760254,,,,,,,,,,,,,,,
19456,180.0,14.42466926574707,0.2,17.267715454101562,0.313134765625,0.0003,0.022362953,0.0,42.540317684412,-0.04873254840204026,90,-5.685140100121498,,,,,
20480,180.0,15.597173690795898,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,58,10,347,14.491835889999999,180.0
21504,180.0,15.117097854614258,0.2,23.95159912109375,0.360498046875,0.0003,0.024185088,1.1920928955078125e-07,38.103131759166715,-0.044388126328703946,100,-5.629761816561222,,,,,
22528,180.0,14.203653335571289,,,,,,,,,,,,,,,
23552,180.0,17.319374084472656,0.2,16.867759704589844,0.382470703125,0.0003,0.023514168,0.0,38.42766168415547,-0.050044835271546614,110,-5.576735319197178,,,,,
24576,180.0,13.494759559631348,,,,,,,,,,,,,,,
25600,180.0,16.559642791748047,0.2,32.73988723754883,0.35068359375,0.0003,0.024446968,0.0,36.738852721452716,-0.04852794527541846,120,-5.5570497289299965,,,,,
26624,180.0,15.933307647705078,,,,,,,,,,,,,,,
