time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate,train/loss,train/clip_range,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean
1024,27.0,38.80860900878906,,,,,,,,,,,,,,,
2048,27.0,37.98102569580078,,,,,,,,,,,,,,,
3072,27.0,37.55171203613281,-0.058709804114187136,71133.60124511718,-5.885514362156391,0.0003,37189.50390625,0.2,-7.355213165283203e-05,0.28515625,0.03006311,10,,,,,
4096,27.0,30.365371704101562,,,,,,,,,,,,,,,
5120,27.0,39.39891052246094,-0.055169984721578656,61891.265173339845,-5.883428971469402,0.0003,28852.634765625,0.2,0.0,0.314501953125,0.030848539,20,,,,,
6144,27.0,31.958698272705078,,,,,,,,,,,,,,,
7168,27.0,38.995025634765625,-0.057842932734638454,73482.94619140626,-5.881024242937565,0.0003,34582.796875,0.2,0.0,0.29375,0.027467495,30,,,,,
8192,27.0,37.383880615234375,,,,,,,,,,,,,,,
9216,27.0,37.213706970214844,-0.055857567337807265,56702.22869873047,-5.878756080567837,0.0003,26082.29296875,0.2,5.960464477539063e-08,0.2939453125,0.029332709,40,,,,,
10240,27.0,38.7515983581543,,,,,,,,,,,,,,,
11264,27.0,29.86845588684082,-0.05896572661586106,60540.7523071289,-5.876396748423576,0.0003,23869.453125,0.2,-1.1920928955078125e-07,0.284375,0.026782017,50,,,,,
12288,27.0,38.94898223876953,,,,,,,,,,,,,,,
13312,27.0,36.355743408203125,-0.06265804122667759,65277.33364257812,-5.874122308194638,0.0003,31614.087890625,0.2,1.1920928955078125e-07,0.296337890625,0.028053,60,,,,,
14336,27.0,33.50959014892578,,,,,,,,,,,,,,,
15360,27.0,35.64598083496094,-0.05839431955246255,68642.38542480468,-5.87169613391161,0.0003,29769.802734375,0.2,0.0,0.2896484375,0.029287657,70,,,,,
16384,27.0,35.76448059082031,,,,,,,,,,,,,,,
17408,27.0,40.201541900634766,-0.061499874503351745,66198.04912109375,-5.8691877782344815,0.0003,27571.66796875,0.2,1.1920928955078125e-07,0.3005859375,0.028014243,80,,,,,
18432,27.0,41.81324005126953,,,,,,,,,,,,,,,
19456,27.0,34.43648910522461,-0.0621743785799481,67195.4458618164,-5.866929203271866,0.0003,34456.13671875,0.2,0.0,0.29990234375,0.029490113,90,,,,,
20480,27.0,33.64581298828125,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,347,647.29289238,10,58,27.0
21504,27.0,33.33429718017578,-0.060256763058714566,66457.80205078125,-5.864863874018193,0.0003,36415.05859375,0.2,0.0,0.298193359375,0.029443005,100,,,,,
22528,27.0,34.884708404541016,,,,,,,,,,,,,,,
23552,27.0,33.070980072021484,-0.06053099547862075,59841.13142089844,-5.862834246456623,0.0003,25561.9609375,0.2,0.0,0.324560546875,0.034092136,110,,,,,
24576,27.0,37.11467742919922,,,,,,,,,,,,,,,
25600,27.0,37.33890914916992,-0.05144416922121309,63391.58477783203,-5.8604824304580685,0.0003,32647.5,0.2,-2.384185791015625e-07,0.317578125,0.032675933,120,,,,,
26624,27.0,39.3359375,,,,,,,,,,,,,,,
